hours,max_ff,time,inlet_T,outlet_T,block_T,Sn_T,bottom_right_T,mass_flow,SOC,power,TPV_height,TPV_density
56.23413251903491,1.7782794100389228,394763.6102836251,2172.9999999999995,2173.0000244649436,2173.000008892865,2173.0000086885057,2173.0000265227577,0.03870150526860302,0.01738057466100447,0.00022723923902416283,1.6436756442446318e-07,204526.27485540122
56.23413251903491,1.7782794100389228,396788.0390543103,2172.9999999999995,2173.0000229432003,2173.0000087676885,2173.0000086010145,2173.000024554492,0.038701505268603095,0.017380573817959138,0.00021310473710359218,1.5414374243838124e-07,204526.27411383807
56.23413251903491,1.7782794100389228,398812.46782499563,2172.9999999999995,2173.000021711236,2173.0000086665855,2173.000008530408,2173.0000229599605,0.038701505268602984,0.017380573023882247,0.00020166180823572583,1.458667962570839e-07,204526.27779734108
56.23413251903491,1.7782794100389228,400836.8965956809,2172.9999999999995,2173.0000207145667,2173.000008584955,2173.0000084734697,2173.0000216689123,0.03870150526860304,0.01738057226943647,0.0001924043835843183,1.3917068037404903e-07,204526.2775177684
56.23413251903491,1.7782794100389228,402861.3253663661,2172.9999999999995,2173.0000199085007,2173.000008519069,2173.000008427544,2173.0000206240693,0.038701505268603095,0.017380571547048244,0.000184917350864383,1.3375513114562754e-07,204526.27730675612
56.23413251903491,1.7782794100389228,404885.75413705135,2172.9999999999995,2173.0000192569,2173.0000084659123,2173.000008390516,2173.0000197789027,0.03870150526860302,0.017380570850581298,0.0001788650485538772,1.2937735660560238e-07,204526.2771473036
56.23413251903491,3.1622776601683795,0.0,2172.9999999999995,2673.0000000775835,2672.9826099377565,2671.369522730489,2673.0,0.02176340737662883,1.0,2611.6088856006977,1.0,386358.1159445631
56.23413251903491,3.1622776601683795,2024.4287706852567,2172.9999999999995,2673.000000297847,2667.754586652521,2660.700825095797,2673.000000071865,0.021763455746604703,0.990000058229532,2611.614691148289,1.0000022227698822,386358.1160247482
56.23413251903491,3.1622776601683795,4048.8575413705134,2172.9999999999995,2673.0000003865453,2662.5656529966973,2655.5695897539504,2673.0000001609533,0.021763455742779228,0.9800001053442459,2611.6146911525243,1.000002222687935,386358.11605703563
56.23413251903491,3.1622776601683795,6073.28631205577,2172.9999999999995,2673.0000004753742,2657.407782383412,2650.444752421205,2673.000000249939,0.021763455738923423,0.9700001524589492,2611.614691153802,1.0000022226047314,386358.116089371
56.23413251903491,3.1622776601683795,8097.715082741027,2172.9999999999995,2673.000000564382,2652.2656760992545,2645.324283202223,2673.000000338909,0.021763455735050397,0.9600001995736498,2611.6146911539463,1.0000022225209242,386358.11612177186
56.23413251903491,3.1622776601683795,10122.143853426283,2172.9999999999995,2673.0000006535306,2647.134588003823,2640.208771364151,2673.000000427917,0.02176345573116691,0.9500002466883508,2611.614691153572,1.0000022224367857,386358.116154224
56.23413251903491,3.1622776601683795,12146.57262411154,2172.9999999999995,2673.000000742674,2642.0107506258537,2635.0969572980043,2673.0000005169504,0.02176345572728144,0.9400002938030538,2611.614691152931,1.000002222352556,386358.1161866719
56.23413251903491,3.1622776601683795,14171.001394796796,2172.9999999999995,2673.00000083166,2636.8936632822,2629.988677658472,2673.000000605941,0.021763455723400018,0.93000034091776,2611.6146911519563,1.000002222268338,386358.1162190659
56.23413251903491,3.1622776601683795,16195.430165482054,2172.9999999999995,2673.0000009202163,2631.781810726502,2624.883231374349,2673.000000694746,0.021763455719531432,0.920000388032471,2611.614691150275,1.0000022221842604,386358.11625130114
56.23413251903491,3.1622776601683795,18219.85893616731,2172.9999999999995,2673.0000010077665,2626.67387613428,2619.7799975163243,2673.000000783012,0.02176345571569157,0.910000435147192,2611.6146911467868,1.000002222100437,386358.1162831709
56.23413251903491,3.1622776601683795,20244.287706852567,2172.9999999999995,2673.000001092988,2621.5688649544404,2614.678487382053,2673.000000869848,0.02176345571191577,0.900000482261935,2611.6146911388214,1.0000022220170912,386358.11631419376
56.23413251903491,3.1622776601683795,22268.716477537822,2172.9999999999995,2673.000001172516,2616.4660511972666,2609.578316946012,2673.0000009531377,0.021763455708286937,0.8900005293767316,2611.614691118755,1.000002221934482,386358.1163431419
56.23413251903491,3.1622776601683795,24293.14524822308,2172.9999999999995,2673.000001238464,2611.3649061828683,2604.479190375248,2673.000001028028,0.02176345570501956,0.880000576491658,2611.614691071131,1.0000022218541096,386358.1163671488
56.23413251903491,3.1622776601683795,26317.574018908334,2172.9999999999995,2673.000001273697,2606.265040658143,2599.3808864580938,2673.00000108375,0.021763455702614797,0.8700006236068756,2611.614690966589,1.0000022217808866,386358.1163799734
56.23413251903491,3.1622776601683795,28342.002789593593,2172.9999999999995,2673.000001242689,2601.166163143635,2594.283221131382,2673.000001097505,0.021763455702149014,0.8600006707227102,2611.6146907487337,1.0000022217266822,386358.1163686865
56.23413251903491,3.1622776601683795,30366.43156027885,2172.9999999999995,2673.000001074097,2596.0680547805373,2589.186060827093,2673.0000010228896,0.021763455705830083,0.8500007178398025,2611.6146903098665,1.0000022217174807,386358.11630731623
56.23413251903491,3.1622776601683795,32390.860330964108,2172.9999999999995,2673.0000006295345,2590.9705494589507,2584.0893163927235,2673.000000768633,0.02176345571805719,0.8400007649593713,2611.6146894550684,1.000002221809028,386358.11614548875
56.23413251903491,3.1622776601683795,34415.28910164937,2172.9999999999995,2672.9999996492143,2585.873517510128,2578.992892809991,2673.0000001610338,0.021763455747301867,0.830000812083661,2611.614687843992,1.0000022221157745,386358.11578863504
56.23413251903491,3.1622776601683795,36439.71787233462,2172.9999999999995,2672.999997659748,2580.776859194108,2573.8967114183843,2672.9999988795475,0.02176345580934645,0.8200008592166755,2611.614684897902,1.000002222862138,386358.1150644322
56.23413251903491,3.1622776601683795,38464.146643019885,2172.9999999999995,2672.999993822364,2575.680498528939,2568.800736170072,2672.9999963491673,0.02176345593273164,0.8100009063653573,2611.6146796605894,1.000002224472237,386358.113667559
56.23413251903491,3.1622776601683795,40488.57541370513,2172.9999999999995,2672.9999866900193,2570.5843745351376,2563.704924706717,2672.999991565731,0.0217634561676476,0.8000009535414192,2611.614670596631,1.0000022277215341,386358.111071262
56.23413251903491,3.1622776601683795,42513.00418439039,2172.9999999999995,2672.999973828784,2565.4884387816596,2558.6092379150737,2672.9999828198747,0.021763456600031702,0.7900010007641092,2611.614655305536,1.0000022339840644,386358.1063895478
56.23413251903491,3.1622776601683795,44537.432955075645,2172.9999999999995,2672.9999512403087,2560.392654481099,2553.5136582093123,2672.999967270633,0.0217634573733389,0.7800010480642968,2611.6146301175995,1.0000022456218296,386358.09816694993
56.23413251903491,3.1622776601683795,46561.86172576091,2172.9999999999995,2672.9999125001164,2555.296992021527,2548.418167409341,2672.999940301391,0.02176345872146781,0.7700010954903858,2611.614589544114,1.000002266586179,386358.0840648456
56.23413251903491,3.1622776601683795,48586.29049644616,2172.9999999999995,2672.999842253615,2550.201446188583,2543.3227501901,2672.999890818284,0.021763462121311063,0.760001142915529,2611.614630611536,1.0000023484958709,386358.05849389645
56.23413251903491,3.1622776601683795,50610.71926713142,2172.9999999999995,2672.999731664622,2545.1059612331765,2538.2273759069376,2672.999812139603,0.021763465650981417,0.7500011905570205,2611.6144765399035,1.000002393695529,386358.0182375782
