% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 19 2022, 20:09"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
17.78279410038923,1,92826.18520403179,2172.9999999999995,2209.575973646544,2179.5577598998793,2177.9527458405964,2218.268837020073,0.06882208995666982
17.78279410038923,1,93466.3657916458,2172.9999999999995,2207.7750430812266,2179.1982823517646,2177.6721799415313,2216.124205964766,0.06882208995666989
17.78279410038923,1,94106.54637925982,2172.9999999999995,2206.0496405707695,2178.8565982838345,2177.4061070814087,2214.064296421239,0.06882208995666972
17.78279410038923,1,94746.72696687383,2172.9999999999995,2204.397449102701,2178.531955408891,2177.1538738279373,2212.0868410966186,0.06882208995666977
17.78279410038923,1,95386.90755448784,2172.9999999999995,2202.8161514705585,2178.2236250936653,2176.9148516498276,2210.1895601829833,0.06882208995666993
17.78279410038923,1,96027.08814210184,2172.9999999999995,2201.3034791182604,2177.930901833212,2176.688435173421,2208.370172473431,0.06882208995666973
17.78279410038923,1,96667.26872971586,2172.9999999999995,2199.85718567233,2177.6531030142323,2176.474039328464,2206.626399130544,0.0688220899566698
17.78279410038923,1,97307.44931732987,2172.9999999999995,2198.475083940257,2177.3895684139857,2176.2711001302105,2204.955971341107,0.06882208995666977
17.78279410038923,1,97947.62990494388,2172.9999999999995,2197.1549578110817,2177.139660572212,2176.0790762749957,2203.3566286601263,0.06882208995666984
17.78279410038923,1,98587.8104925579,2172.9999999999995,2195.89461464187,2176.9027643239297,2175.897446962527,2201.826123687679,0.06882208995666991
17.78279410038923,1,99227.99108017191,2172.9999999999995,2194.6919288618174,2176.67828621115,2175.7257120387007,2200.3622299831145,0.06882208995666991
17.78279410038923,1,99868.17166778592,2172.9999999999995,2193.544819631671,2176.4656541251825,2175.56339061584,2198.9627459440817,0.06882208995666969
17.78279410038923,1,100508.35225539994,2172.9999999999995,2192.451230133645,2176.264317024198,2175.41002054123,2197.6254957876404,0.06882208995666969
17.78279410038923,1,101148.53284301395,2172.9999999999995,2191.409167080686,2176.0737442948143,2175.265159494791,2196.3483353387055,0.06882208995666986
17.78279410038923,1,101788.71343062796,2172.9999999999995,2190.416651594574,2175.893425622052,2175.1283836297607,2195.129151891952,0.06882208995666983
17.78279410038923,1,102428.89401824198,2172.9999999999995,2189.4717268771956,2175.7228706789124,2174.999285983811,2193.96586475521,0.06882208995666983
17.78279410038923,1,103069.07460585599,2172.9999999999995,2188.572531269128,2175.5616082246142,2174.87747745683,2192.8564335060382,0.06882208995666973
17.78279410038923,1,103709.25519347,2172.9999999999995,2187.717266396075,2175.40918551991,2174.762585643036,2191.798860468876,0.06882208995666989
17.78279410038923,1,104349.43578108402,2172.9999999999995,2186.9041043467873,2175.2651685794563,2174.6542542003394,2190.7911840626016,0.06882208995666984
17.78279410038923,1,104989.61636869801,2172.9999999999995,2186.1313122940883,2175.1291411493617,2174.5521431996594,2189.8314869766123,0.06882208995666973
17.78279410038923,1,105629.79695631203,2172.9999999999995,2185.3972180943606,2175.0007041829504,2174.4559273336636,2188.917897856809,0.06882208995666984
17.78279410038923,1,106269.97754392604,2172.9999999999995,2184.7001768423956,2174.879475527722,2174.3652957309064,2188.0485895266343,0.06882208995666991
17.78279410038923,1,106910.15813154005,2172.9999999999995,2184.0385987692825,2174.7650893546056,2174.279952359463,2187.221780496597,0.06882208995666977
