hours,max_ff,time,inlet_T,outlet_T,block_T,Sn_T,bottom_right_T,mass_flow,SOC,power,TPV_height,TPV_density
1.2,1,0.0,2172.9999999999995,2673.000020743756,2672.956788492961,2659.5257469791604,2673.0,1.0198684001497578,1.0,126463.6868652336,1.0,266159.57106353965
1.2,1,43.2,2172.9999999999995,2663.1197533015306,2668.524900427525,2515.069153059443,2672.9999946362746,1.0198742126914973,0.9900987743261244,123965.40338569156,0.9894442486794897,263684.99598700344
1.2,1,86.4,2172.9999999999995,2636.171801832073,2663.9036713711903,2475.050883030856,2672.997281871623,1.0198742127169849,0.9805658044436729,117149.49023305593,0.9595250760844908,256956.9230910556
1.2,1,129.60000000000002,2172.9999999999995,2615.222627874277,2659.458545383509,2453.520147608877,2672.972553216753,1.0198742127139928,0.9715118085452003,111850.84070300272,0.9351227924622845,251736.8881097374
1.2,1,172.8,2172.9999999999995,2599.673231916254,2655.162135316386,2439.36054282187,2672.874696322703,1.019874212714798,0.9628228004260692,107917.95056879292,0.9163363404132795,247864.8983018729
1.2,1,216.0,2172.9999999999995,2587.1315869099312,2650.9609163815812,2428.554969429213,2672.698391007171,1.0198742127149911,0.9544147043175777,104745.80728772377,0.9006946116857714,244757.11909835893
1.2,1,259.20000000000005,2172.9999999999995,2576.6968032021746,2646.8392826337913,2419.86777210138,2672.419476976315,1.019874212714985,0.9462363738057286,102106.54991666086,0.8823856636651376,243540.62022288155
1.2,1,302.4000000000001,2172.9999999999995,2568.1263928678322,2642.7981256692274,2412.9613422513944,2672.0059199168218,1.0198742127149438,0.9382480963174691,99938.84627454617,0.8713173453711845,241398.3075548159
1.2,1,345.6,2172.9999999999995,2560.966734126428,2638.828463179521,2407.3342796922475,2671.4404911756155,1.0198742127149298,0.9304171204164756,98127.96234663989,0.8619238719985794,239607.3415096849
1.2,1,388.8,2172.9999999999995,2554.845761747403,2634.9210959053394,2402.6052090676217,2670.7161182245504,1.0198742127149318,0.9227189515835934,96579.79211888525,0.8537770850143445,238077.31774519192
1.2,1,432.0,2172.9999999999995,2549.4889938719743,2631.0639771523443,2398.520856910833,2669.853141510869,1.0198742127149392,0.9151355608074098,95224.91122281292,0.8465532618320848,236740.48778145906
1.2,1,475.2000000000001,2172.9999999999995,2544.712469196565,2627.25287382118,2394.904762678127,2668.8475883219007,1.0198742127149396,0.9076535035342641,94016.79054578702,0.8400334129603205,235551.08544839476
1.2,1,518.4000000000002,2172.9999999999995,2540.394629996009,2623.485109922746,2391.6451295129627,2667.7000645364683,1.0198742127149352,0.9002623904181957,92924.684637673,0.8340728013570395,234478.69353139668
1.2,1,561.6,2172.9999999999995,2536.451237551985,2619.757884387894,2388.6703151921315,2666.421185543348,1.0198742127149347,0.892953890089408,91927.28710013273,0.8285712549171862,233502.12122929108
1.2,1,604.8000000000002,2172.9999999999995,2532.8165168610203,2616.068331002932,2385.9271815170314,2665.027562433313,1.0198742127149376,0.8857211713238716,91007.96154015523,0.8234495956016101,232604.7693614906
1.2,1,648.0,2172.9999999999995,2529.43359386378,2612.4138471913243,2383.3704340996355,2663.5368723314305,1.0198742127149385,0.878558629395176,90152.32286989086,0.8186375311026608,231772.29384264434
1.2,1,691.2,2172.9999999999995,2526.252969337267,2608.79225650213,2380.961166407401,2661.9649290817997,1.0198742127149356,0.871461723315796,89347.85131003064,0.8140722606838248,230992.24797645173
1.2,1,734.4000000000002,2172.9999999999995,2523.233989257645,2605.201808221176,2378.6683012647964,2660.324777011741,1.0198742127149347,0.8644268136358132,88584.26428691775,0.8097012510411851,230254.44420681475
