% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 21:31"
% Table,Probe Table 1 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,45360,2173,2572.43677039357,2187.1317889633915,2172.9999999999986,2572.4646019885367,2173.000000000002,2572.4886949148863,2188.1057409650753,2190.301887833257,2574.7601580919954
20,46080,2173,2567.9002451583697,2186.6761052858674,2172.9999999999986,2567.9281303909893,2173.000000000002,2567.952298926623,2187.564749076976,2189.7552071420846,2570.329880138817
20,46800,2173,2563.332022062017,2186.28155569966,2172.9999999999986,2563.360128324759,2173.000000000002,2563.3844592950304,2187.0861773617016,2189.215225802963,2565.9110251675597
20,47520,2173,2558.7410846548282,2185.9275021477533,2172.9999999999986,2558.769416951933,2173.000000000002,2558.7939596650795,2186.66165103042,2188.670609720989,2561.5006890454897
20,48240,2173,2554.130551551716,2185.5882064380853,2172.9999999999986,2554.1589390535532,2173.000000000002,2554.1835955673787,2186.2654971524084,2188.120823701909,2557.0776602932083
20,48960,2173,2549.497366896064,2185.2379582705385,2172.9999999999986,2549.5257554228147,2173.000000000002,2549.5504300329667,2185.871290071562,2187.5781028978454,2552.609661390464
20,49680,2173,2544.832905863148,2184.860205238991,2172.9999999999986,2544.8615357166605,2173.000000000002,2544.886377965514,2185.4638628884086,2187.059067276875,2548.061160848481
20,50400,2173,2540.1262865671642,2184.4532521999977,2172.9999999999986,2540.155309125455,2173.000000000002,2540.180501004876,2185.0424787487027,2186.575793229807,2543.4038772838094
20,51120,2173,2535.353178054525,2184.036184035795,2172.9999999999986,2535.382565156472,2173.000000000002,2535.4080763678303,2184.625311528778,2186.128778672546,2538.6171868887714
20,51840,2173,2530.5083972710936,2183.613683907534,2172.9999999999986,2530.538280244545,2173.000000000002,2530.5641868110774,2184.2166284226596,2185.7134363729247,2533.7122412676335
20,52560,2173,2525.627990298842,2183.2105937276347,2172.9999999999986,2525.6580535812254,2173.000000000002,2525.684111157781,2183.824125273312,2185.3030711963797,2528.812458555586
20,53280,2173,2520.72418708955,2182.8458630769287,2172.9999999999986,2520.754363271477,2173.000000000002,2520.7805229762066,2183.4536380958343,2184.8920175863286,2523.9470479926777
20,54000,2173,2515.8140564135992,2182.543985941,2172.9999999999986,2515.844227040144,2173.000000000002,2515.8703804277047,2183.1104775733766,2184.49248466241,2519.11122366125
20,54720,2173,2510.9092015245456,2182.2575383026483,2172.9999999999986,2510.9392831502664,2173.000000000002,2510.965370657625,2182.7784569025716,2184.1144120527647,2514.2870578728766
20,55440,2173,2505.9911960098602,2181.9721718935184,2172.9999999999986,2506.021320726194,2173.000000000002,2506.047460605597,2182.4519289671484,2183.745535772427,2509.4450076725493
20,56160,2173,2501.0574492816436,2181.6849850623385,2172.9999999999986,2501.087678088507,2173.000000000002,2501.113922191809,2182.1289637954023,2183.3811930488373,2504.582210750801
20,56880,2173,2496.1092453187803,2181.3956284763412,2172.9999999999986,2496.139566610525,2173.000000000002,2496.1659061926443,2181.810204634171,2183.022220586322,2499.699470670722
