% Model,LargeGraphiteBlockCharge_v3_rad_spacing.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 27 2022, 14:38"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.001,10260,2673,2255.7251404910326,2453.5748652450798,2490.0049174330034,2215.340572603762,0.24229738871773204,5.233893360880596E8,2486.7845457074536
5,0.001,10350,2673,2257.638568041858,2455.7140997463703,2491.9741637879793,2216.609144757034,0.24229738871773185,5.233893360880596E8,2488.7685307416486
5,0.001,10440,2673,2259.572520499171,2457.8434545067576,2493.931457357329,2217.899418523902,0.24229738871773224,5.233893360880596E8,2490.7407563395964
5,0.001,10530,2673,2261.5483119408873,2459.961092704497,2495.8691580488417,2219.2126534462495,0.24229738871773215,5.233893360880596E8,2492.6936041786435
5,0.001,10620,2673,2263.5322553887345,2462.0690356166383,2497.797648099674,2220.546768194923,0.24229738871773196,5.233893360880596E8,2494.637402390553
5,0.001,10710,2673,2265.524844940708,2464.166920832652,2499.7164624021348,2221.902831594067,0.24229738871773215,5.233893360880596E8,2496.571635759932
5,0.001,10800,2673,2267.5461914906973,2466.2532754280733,2501.6194087335816,2223.28213032791,0.24229738871773232,5.233893360880596E8,2498.490114838733
5,0.001,10890,2673,2269.5764916426174,2468.329958383007,2503.5138252539964,2224.6820879969973,0.24229738871773193,5.233893360880596E8,2500.4002096688337
5,0.001,10980,2673,2271.6177201548303,2470.3965110487557,2505.3988179437606,2226.103719927654,0.24229738871773182,5.233893360880596E8,2502.300998515321
5,0.001,11070,2673,2273.689956797883,2472.4514550589265,2507.268025522797,2227.548133223078,0.24229738871773224,5.233893360880596E8,2504.186136363596
5,0.001,11160,2673,2275.7714701742566,2474.496541264,2509.1282991302255,2229.012881268206,0.2422973887177319,5.233893360880596E8,2506.062482691001
5,0.001,11250,2673,2277.8637419675365,2476.5312818304155,2510.978606604687,2230.498915271812,0.24229738871773268,5.233893360880596E8,2507.928972187044
5,0.001,11340,2673,2279.986233718,2478.554096723803,2512.8119905957506,2232.0072519939845,0.24229738871773202,5.233893360880596E8,2509.778668101881
5,0.001,11430,2673,2282.117497231233,2480.566774201374,2514.636159313175,2233.5356558239628,0.24229738871773215,5.233893360880596E8,2511.6192945220655
5,0.001,11520,2673,2284.2588995056467,2482.568845929524,2516.4500619722494,2235.0849850240716,0.24229738871773235,5.233893360880596E8,2513.4497544231713
5,0.001,11610,2673,2286.4289237884514,2484.55870573411,2518.2464995048313,2236.6561740045277,0.24229738871773232,5.233893360880596E8,2515.26287171064
5,0.001,11700,2673,2288.6070926418533,2486.538170140908,2520.033616933601,2238.247117355355,0.24229738871773215,5.233893360880596E8,2517.0668097686544
5,0.001,11790,2673,2290.7946651805773,2488.5067877790852,2521.8103381303945,2239.858592125838,0.24229738871773168,5.233893360880596E8,2518.860442098139
5,0.001,11880,2673,2293.009148200597,2490.46296295885,2523.569290787718,2241.491399428874,0.2422973887177319,5.233893360880596E8,2520.6364177755986
5,0.001,11970,2673,2295.2309791788007,2492.408492218719,2525.318904189258,2243.143633938816,0.24229738871773193,5.233893360880596E8,2522.4031909421365
5,0.001,12060,2673,2297.4614280566957,2494.3429591262866,2527.0580588315024,2244.815948409033,0.24229738871773251,5.233893360880596E8,2524.1595852024348
5,0.001,12150,2673,2299.7167367705056,2496.2648492657345,2528.779373505467,2246.5089202433483,0.24229738871773282,5.233893360880596E8,2525.898240674902
5,0.001,12240,2673,2301.97867853086,2498.175823215049,2530.49128561661,2248.221003804768,0.24229738871773307,5.233893360880596E8,2527.627624125871
5,0.001,12330,2673,2304.2485975833997,2500.075535219061,2532.1926382097645,2249.9526482684555,0.24229738871773215,5.233893360880596E8,2529.3465195861204
5,0.001,12420,2673,2306.5292233766927,2501.963885092171,2533.8824652345,2251.70363796177,0.2422973887177319,5.233893360880596E8,2531.053948611921
5,0.001,12510,2673,2308.8122453318842,2503.8429337840516,2535.564646262678,2253.470510808205,0.24229738871773232,5.233893360880596E8,2532.753766250818
5,0.001,12600,2673,2311.1152891862603,2505.708856426276,2537.231853290277,2255.259252354497,0.24229738871773235,5.233893360880596E8,2534.4387384187485
5,0.001,12690,2673,2313.434367014105,2507.562876627299,2538.8850168462236,2257.0666452705245,0.24229738871773224,5.233893360880596E8,2536.109789247516
5,0.001,12780,2673,2315.7855797708567,2509.402801210074,2540.5141244218776,2258.8932812708476,0.24229738871773232,5.233893360880596E8,2537.7569252823423
5,0.001,12870,2673,2318.1397643459327,2511.231166615812,2542.133513749662,2260.7375495090405,0.24229738871773254,5.233893360880596E8,2539.3944964043217
