% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 15:53"
% Table,Accumulated Probe Table 26 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,2736,2673,2462.3,2396.1,2563.3,2300,1.2238
1,1,2772,2673,2463.8,2398.2,2564.2,2301.9,1.2238
1,1,2808,2673,2465.3,2400.4,2565.2,2303.8,1.2238
1,1,2844,2673,2466.8,2402.5,2566.1,2305.8,1.2238
1,1,2880,2673,2468.3,2404.6,2567.1,2307.7,1.2238
1,1,2916,2673,2469.8,2406.7,2568,2309.6,1.2238
1,1,2952,2673,2471.2,2408.8,2568.9,2311.5,1.2238
1,1,2988,2673,2472.7,2410.9,2569.8,2313.4,1.2238
1,1,3024,2673,2474.1,2412.9,2570.7,2315.3,1.2238
1,1,3060,2673,2475.6,2415,2571.6,2317.2,1.2238
1,1,3096,2673,2477,2417,2572.5,2319,1.2238
1,1,3132,2673,2478.5,2419,2573.4,2320.9,1.2238
1,1,3168,2673,2479.9,2421,2574.3,2322.8,1.2238
1,1,3204,2673,2481.3,2423,2575.2,2324.7,1.2238
1,1,3240,2673,2482.7,2424.9,2576,2326.5,1.2238
1,1,3276,2673,2484.1,2426.9,2576.9,2328.4,1.2238
1,1,3312,2673,2485.4,2428.8,2577.7,2330.2,1.2238
1,1,3348,2673,2486.8,2430.8,2578.6,2332.1,1.2238
1,1,3384,2673,2488.2,2432.7,2579.4,2333.9,1.2238
1,1,3420,2673,2489.5,2434.6,2580.2,2335.8,1.2238
1,1,3456,2673,2490.9,2436.4,2581,2337.6,1.2238
1,1,3492,2673,2492.2,2438.3,2581.8,2339.4,1.2238
1,1,3528,2673,2493.5,2440.2,2582.6,2341.3,1.2238
1,1,3564,2673,2494.9,2442,2583.4,2343.1,1.2238
1,1,3600,2673,2496.2,2443.8,2584.2,2344.9,1.2238
1,1,3636,2673,2497.5,2445.7,2585,2346.7,1.2238
1,1,3672,2673,2498.8,2447.5,2585.8,2348.5,1.2238
1,1,3708,2673,2500,2449.2,2586.6,2350.3,1.2238
1,1,3744,2673,2501.3,2451,2587.3,2352.1,1.2238
1,1,3780,2673,2502.6,2452.8,2588.1,2353.9,1.2238
1,1,3816,2673,2503.9,2454.5,2588.8,2355.6,1.2238
1,1,3852,2673,2505.1,2456.3,2589.6,2357.4,1.2238
1,1,3888,2673,2506.3,2458,2590.3,2359.2,1.2238
1,1,3924,2673,2507.6,2459.7,2591,2360.9,1.2238
1,1,3960,2673,2508.8,2461.4,2591.8,2362.7,1.2238
1,1,3996,2673,2510,2463.1,2592.5,2364.4,1.2238
1,1,4032,2673,2511.2,2464.7,2593.2,2366.2,1.2238
1,1,4068,2673,2512.4,2466.4,2593.9,2367.9,1.2238
1,1,4104,2673,2513.6,2468,2594.6,2369.6,1.2238
1,1,4140,2673,2514.8,2469.7,2595.3,2371.4,1.2238
1,1,4176,2673,2516,2471.3,2596,2373.1,1.2238
1,1,4212,2673,2517.2,2472.9,2596.7,2374.8,1.2238
1,1,4248,2673,2518.3,2474.5,2597.3,2376.5,1.2238
1,1,4284,2673,2519.5,2476.1,2598,2378.2,1.2238
1,1,4320,2673,2520.6,2477.7,2598.7,2379.9,1.2238
1,1,4356,2673,2521.8,2479.2,2599.3,2381.6,1.2238
1,1,4392,2673,2522.9,2480.8,2600,2383.3,1.2238
1,1,4428,2673,2524,2482.3,2600.6,2384.9,1.2238
1,1,4464,2673,2525.2,2483.8,2601.3,2386.6,1.2238
1,1,4500,2673,2526.3,2485.4,2601.9,2388.3,1.2238
1,1,4536,2673,2527.4,2486.9,2602.5,2389.9,1.2238
1,1,4572,2673,2528.5,2488.4,2603.2,2391.6,1.2238
1,1,4608,2673,2529.6,2489.8,2603.8,2393.2,1.2238
1,1,4644,2673,2530.6,2491.3,2604.4,2394.9,1.2238
1,1,4680,2673,2531.7,2492.8,2605,2396.5,1.2238
1,1,4716,2673,2532.8,2494.2,2605.6,2398.1,1.2238
1,1,4752,2673,2533.8,2495.7,2606.2,2399.7,1.2238
1,1,4788,2673,2534.9,2497.1,2606.8,2401.3,1.2238
1,1,4824,2673,2535.9,2498.5,2607.4,2403,1.2238
1,1,4860,2673,2537,2499.9,2608,2404.6,1.2238
1,1,4896,2673,2538,2501.3,2608.6,2406.1,1.2238
1,1,4932,2673,2539,2502.7,2609.1,2407.7,1.2238
1,1,4968,2673,2540,2504.1,2609.7,2409.3,1.2238
1,1,5004,2673,2541,2505.4,2610.3,2410.9,1.2238
1,1,5040,2673,2542,2506.8,2610.8,2412.4,1.2238
1,1,5076,2673,2543,2508.1,2611.4,2414,1.2238
1,1,5112,2673,2544,2509.5,2611.9,2415.6,1.2238
1,1,5148,2673,2545,2510.8,2612.5,2417.1,1.2238
1,1,5184,2673,2546,2512.1,2613,2418.6,1.2238
1,1,5220,2673,2546.9,2513.4,2613.6,2420.2,1.2238
1,1,5256,2673,2547.9,2514.7,2614.1,2421.7,1.2238
1,1,5292,2673,2548.9,2516,2614.6,2423.2,1.2238
1,1,5328,2673,2549.8,2517.2,2615.1,2424.7,1.2238
1,1,5364,2673,2550.7,2518.5,2615.6,2426.3,1.2238
1,1,5400,2673,2551.7,2519.8,2616.2,2427.8,1.2238
1,1,5436,2673,2552.6,2521,2616.7,2429.2,1.2238
1,1,5472,2673,2553.5,2522.2,2617.2,2430.7,1.2238
1,1,5508,2673,2554.4,2523.5,2617.7,2432.2,1.2238
1,1,5544,2673,2555.4,2524.7,2618.2,2433.7,1.2238
1,1,5580,2673,2556.3,2525.9,2618.7,2435.2,1.2238
1,1,5616,2673,2557.2,2527.1,2619.1,2436.6,1.2238
1,1,5652,2673,2558,2528.3,2619.6,2438.1,1.2238
1,1,5688,2673,2558.9,2529.4,2620.1,2439.5,1.2238
1,1,5724,2673,2559.8,2530.6,2620.6,2441,1.2238
1,1,5760,2673,2560.7,2531.8,2621,2442.4,1.2238
1,1,5796,2673,2561.5,2532.9,2621.5,2443.8,1.2238
1,1,5832,2673,2562.4,2534.1,2622,2445.2,1.2238
1,1,5868,2673,2563.3,2535.2,2622.4,2446.7,1.2238
1,1,5904,2673,2564.1,2536.3,2622.9,2448.1,1.2238
1,1,5940,2673,2564.9,2537.4,2623.3,2449.5,1.2238
1,1,5976,2673,2565.8,2538.5,2623.8,2450.9,1.2238
1,1,6012,2673,2566.6,2539.6,2624.2,2452.3,1.2238
1,1,6048,2673,2567.4,2540.7,2624.7,2453.6,1.2238
1,1,6084,2673,2568.2,2541.8,2625.1,2455,1.2238
1,1,6120,2673,2569.1,2542.9,2625.5,2456.4,1.2238
1,1,6156,2673,2569.9,2544,2625.9,2457.7,1.2238
1,1,6192,2673,2570.7,2545,2626.4,2459.1,1.2238
