% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 13:58"
% Table,Probe Table 1 - 
% Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
0,2672.9999999999995,2173.0000326686113,2173.003067411315,2177.170489414486,2172.999999999993,4.895367680285041
0.01440364870588425,2672.9999999999995,2173.0000434368185,2173.0044668663704,2178.6852078510337,2172.999999999991,4.895396221832501
0.0288072974117685,2672.9999999999995,2173.0000528817445,2173.0060917869637,2180.1499642349017,2172.999999999989,4.8953962097987445
0.057614594823537,2672.9999999999995,2173.0000691083114,2173.0097815365325,2182.982114581527,2172.999999999986,4.8953962229296755
0.0864218922353055,2672.9999999999995,2173.0000815394915,2173.0143509973464,2185.6198559995632,2172.9999999999845,4.895396221162029
0.115229189647074,2672.9999999999995,2173.000093579997,2173.0193859909477,2188.1547934573855,2172.9999999999845,4.8953962210045
0.172843784470611,2672.9999999999995,2173.000118423662,2173.0308491065944,2192.9173736039497,2172.9999999999864,4.895396221033926
0.230458379294148,2672.9999999999995,2173.000143779203,2173.0433326676985,2197.4550013626763,2172.9999999999895,4.895396221031347
0.345687568941222,2672.9999999999995,2173.0001944346573,2173.070946032185,2205.94709050168,2172.999999999998,4.895396221031727
0.460916758588296,2672.9999999999995,2173.0002441146953,2173.10041283243,2214.030730938134,2173.000000000006,4.895396221031693
0.57614594823537,2672.9999999999995,2173.000292781474,2173.131358973835,2221.788352319433,2173.0000000000114,4.895396221031685
0.806604327529518,2672.9999999999995,2173.000385997412,2173.1976937947256,2236.3245263555677,2173.0000000000155,4.895396221031708
1.037062706823666,2672.9999999999995,2173.0004947320617,2173.2676463255534,2250.0634311374847,2173.0000000000123,4.895396221031695
1.2675210861178139,2672.9999999999995,2173.000735964113,2173.3407597660484,2263.105752529616,2173.000000000001,4.895396221031695
1.72843784470611,2672.9999999999995,2173.0320758913776,2173.4972430990556,2286.9263014059306,2172.9999999997945,4.895396221031695
2.189354603294406,2672.9999999999995,2173.2085862044087,2173.6617433923293,2308.9581891565185,2172.999999999295,4.895396221031698
2.6502713618827016,2672.9999999999995,2173.7892595103967,2173.83335255569,2329.3518991221495,2172.9999999987494,4.8953962210316995
3.5721048790592937,2672.9999999999995,2179.810624667918,2174.1947452845857,2364.681686823136,2172.9999999970164,4.895396221031689
4.493938396235886,2672.9999999999995,2192.6751397422295,2174.566138817195,2394.769960302866,2172.9999999964634,4.895396221031693
5.4157719134124775,2672.9999999999995,2211.9927863293206,2174.939725307084,2419.854152922672,2173.0000000119585,4.895396221031703
6.337605430589069,2672.9999999999995,2235.420042501736,2175.309481605287,2440.325779598047,2173.000000052863,4.895396221031689
8.181272464942253,2672.9999999999995,2280.6623887529677,2176.0147849807577,2468.2143046848414,2172.9999999801057,4.895396221031695
10.024939499295437,2672.9999999999995,2317.4668630515084,2176.682758207547,2487.230721234448,2172.9999999198694,4.895396221031693
11.86860653364862,2672.9999999999995,2345.193046481495,2177.3167011308515,2500.749948148114,2173.0000003964687,4.895396221031708
15.555940602354989,2672.9999999999995,2379.915762876036,2178.4863458138916,2517.95655519345,2172.9999993940414,4.895396221031698
19.243274671061357,2672.9999999999995,2403.009241619538,2179.5800529563176,2529.7411559328134,2172.999993170139,4.895396221031678
26.617942808474094,2672.9999999999995,2431.0527527923296,2181.5750551081705,2544.407148812758,2172.9999963079554,4.895396221031687
33.99261094588683,2672.9999999999995,2449.610281586009,2183.429404026534,2554.2456100324466,2173.0000151488857,4.895396221031701
48.741947220712305,2672.9999999999995,2471.969995853509,2186.8011451899774,2566.200645491449,2173.0001816283816,4.895396221031701
63.49128349553778,2672.9999999999995,2486.621615091522,2189.934070115822,2574.0790089218367,2173.0018122826605,4.895396221031698
92.98995604518872,2672.9999999999995,2504.1380381118447,2195.6449082043873,2583.534520856507,2173.0617215669267,4.895396221031689
122.48862859483967,2672.9999999999995,2515.584311946181,2200.9678791714855,2589.727068765222,2173.255646254585,4.895396221031695
181.48597369414156,2672.9999999999995,2529.3018574270927,2210.7216553275916,2597.1541133209707,2174.643951068838,4.895396221031693
240.48331879344346,2672.9999999999995,2538.305711868101,2219.853557379281,2602.0286283990495,2177.2015039855683,4.8953962210316995
358.47800899204725,2672.9999999999995,2549.249184849666,2236.675060824573,2607.9515376097315,2185.921059516626,4.895396221031695
476.47269919065104,2672.9999999999995,2556.6681797509764,2252.4637686566425,2611.9702113308767,2197.009186233762,4.895396221031701
656.472699190651,2672.9999999999995,2564.725054313353,2274.8945977507287,2616.346597751791,2216.15681203386,4.895396221031707
836.472699190651,2672.9999999999995,2571.457484880685,2296.1934040300252,2620.0112161243783,2235.8276835312013,4.895396221031678
1016.472699190651,2672.9999999999995,2577.2000609483794,2316.305171893683,2623.1420404188343,2255.5133151717364,4.895396221031701
1196.472699190651,2672.9999999999995,2582.346737351607,2335.3140775492325,2625.9482543622707,2274.7486490433416,4.895396221031704
1376.472699190651,2672.9999999999995,2587.1290250178695,2353.3034963473206,2628.552190470662,2293.2799056881167,4.895396221031704
1556.472699190651,2672.9999999999995,2591.658189334722,2370.4415602687072,2631.013779004547,2311.138032673747,4.895396221031701
1736.472699190651,2672.9999999999995,2595.985801774141,2386.7413004369164,2633.3594261557523,2328.241922956428,4.895396221031689
1916.472699190651,2672.9999999999995,2600.1162824973844,2402.1991654082076,2635.59103595162,2344.5641757558033,4.8953962210316915
2096.472699190651,2672.9999999999995,2604.037878621237,2416.832358742067,2637.702896613622,2360.1340602732666,4.895396221031703
