% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 18:43"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
98,1062.2486106553185,1042.2555634947464
99,1062.1885882660251,1042.209101976966
100,1062.1285658767304,1042.1626404591832
101,1062.0685434874363,1042.1161789414018
102,1062.008521098142,1042.0697174236202
103,1061.9484987088472,1042.023255905839
104,1061.888476319553,1041.9767943880568
105,1061.8284539302595,1041.930332870276
106,1061.7684315409651,1041.8838713524945
107,1061.7084091516708,1041.8374098347128
108,1061.648386762377,1041.790948316932
109,1061.5883643730826,1041.7444867991505
110,1061.5283419837883,1041.6980252813673
111,1061.4683195944942,1041.651563763587
112,1061.4082972051997,1041.6051022458048
113,1061.3482748159056,1041.5586407280239
114,1061.288252426611,1041.5121792102425
115,1061.2282300373174,1041.4657176924609
116,1061.168207648023,1041.419256174679
117,1061.108185258728,1041.372794656898
118,1061.048162869435,1041.3263331391165
119,1060.9881404801401,1041.2798716213351
120,1060.9281180908456,1041.2334101035538
121,1060.8680957015522,1041.1869485857721
122,1060.8080733122576,1041.1404870679894
123,1060.7480509229626,1041.094025550208
124,1060.688028533669,1041.0475640324269
125,1060.6280061443751,1041.0011025146457
126,1060.567983755081,1040.954640996864
127,1060.5079613657856,1040.9081794790823
128,1060.4479389764922,1040.861717961301
129,1060.3879165871983,1040.8152564435193
130,1060.3278941979042,1040.768794925738
131,1060.2678718086097,1040.7223334079567
132,1060.2078494193156,1040.675871890175
133,1060.1478270300215,1040.629410372394
134,1060.0878046407274,1040.5829488546124
135,1060.0277822514327,1040.5364873368299
136,1059.9677598621386,1040.4900258190485
137,1059.9077374728442,1040.4435643012673
138,1059.8477150835504,1040.3971027834857
139,1059.7876926942556,1040.3506412657036
140,1059.7276703049615,1040.304179747923
141,1059.6676479156674,1040.257718230141
142,1059.607625526373,1040.211256712359
143,1059.547603137079,1040.1647951945788
144,1059.487580747785,1040.1183336767963
145,1059.4275583584906,1040.0718721590156
146,1059.3675359691963,1040.0254106412333
147,1059.3075135799024,1039.9789491234512
148,1059.2474911906077,1039.93248760567
149,1059.1874688013131,1039.8860260878898
150,1059.1274464120186,1039.8395645701069
151,1059.0674240227252,1039.7931030523255
152,1059.007401633431,1039.7466415345439
153,1058.9473792441363,1039.7001800167625
154,1058.8873568548427,1039.6537184989809
155,1058.8273344655486,1039.6072569812
156,1058.767312076254,1039.5607954634177
157,1058.7072896869606,1039.5143339456372
158,1058.6472672976654,1039.467872427855
159,1058.5872449083715,1039.4214109100733
160,1058.5272225190772,1039.3749493922921
161,1058.467200129783,1039.3284878745103
162,1058.4071777404893,1039.2820263567294
163,1058.347155351195,1039.235564838948
164,1058.2871329619004,1039.1891033211662
165,1058.2271105726063,1039.1426418033845
166,1058.167088183312,1039.0961802856027
167,1058.1070657940184,1039.0497187678207
168,1058.0470434047234,1039.00325725004
169,1057.98702101543,1038.9567957322586
170,1057.9269986261356,1038.9103342144765
171,1057.866976236841,1038.8638726966947
172,1057.8069538475468,1038.8174111789137
173,1057.746931458253,1038.7709496611326
174,1057.686909068958,1038.7244881433508
175,1057.6268866796647,1038.6780266255694
176,1057.56686429037,1038.6315651077878
177,1057.5068419010759,1038.5851035900064
178,1057.4468195117813,1038.5386420722248
179,1057.3867971224872,1038.492180554443
180,1057.3267747331934,1038.445719036661
181,1057.2667523438988,1038.3992575188809
182,1057.2067299546045,1038.3527960010983
183,1057.1467075653104,1038.306334483317
184,1057.086685176016,1038.2598729655347
185,1057.0266627867225,1038.2134114477537
186,1056.966640397428,1038.1669499299728
187,1056.9066180081336,1038.120488412191
188,1056.8465956188397,1038.0740268944091
189,1056.7865732295452,1038.027565376627
190,1056.7265508402509,1037.9811038588457
191,1056.6665284509568,1037.9346423410648
192,1056.6065060616622,1037.8881808232832
193,1056.541673037086,1037.8200415064323
194,1056.4768400125095,1037.7519021895805
