% Model,LargeGraphiteBlockCharge_v3_Tinbnd_charge_skeleton.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 26 2022, 17:21"
% Table,Accumulated Probe Table 24 - 
% hours (h),init_T_add,max_T_add,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate","State variable TimeInt (J), Domain Probe 7",Global Variable Probe 1
5,0,0,6300,2673.0000000000045,2227.094383864335,2347.708030504058,2418.1664759895416,2196.969503439518,0.24476981105158474,1.7786817141972172E8,5.2873004359916234E8
5,0,0,6480,2673.0000000000064,2229.9450424572133,2352.3336780646455,2422.3495539432383,2198.711049438043,0.24476981105158527,1.8256818417105973E8,5.2873004359916234E8
5,0,0,6660,2673,2232.8580777160782,2356.929364152002,2426.493213053874,2200.519744022309,0.24476981105158532,1.8723772673548198E8,5.2873004359916234E8
5,0,0,6840,2672.999999999998,2235.831287744576,2361.494412395936,2430.596344587203,2202.395403728415,0.2447698110515852,1.9187615486524692E8,5.2873004359916234E8
5,0,0,7020,2673,2238.863165445724,2366.028114697758,2434.658388025125,2204.3377345382823,0.24476981105158482,1.964828459156204E8,5.2873004359916234E8
5,0,0,7200,2673.000000000002,2241.9530621883546,2370.5300027536673,2438.6791690541627,2206.346419968781,0.24476981105158482,2.010571656020046E8,5.2873004359916234E8
5,0,0,7380,2673,2245.099050051346,2374.999359117497,2442.6584765078305,2208.420938763375,0.24476981105158532,2.0559852840612498E8,5.2873004359916234E8
5,0,0,7560,2673,2248.2986933486554,2379.4357288648075,2446.595969388625,2210.560837352225,0.2447698110515852,2.1010634742810106E8,5.2873004359916234E8
5,0,0,7740,2673,2251.5506065509544,2383.8385694906074,2450.492017798262,2212.765546684051,0.24476981105158502,2.1458005804017374E8,5.2873004359916234E8
5,0,0,7920,2673,2254.853632111063,2388.2073885664927,2454.3463025424926,2215.0344663340993,0.24476981105158482,2.1901910656001842E8,5.2873004359916234E8
5,0,0,8100,2673,2258.2055487792336,2392.5415094476284,2458.158103372085,2217.366688947571,0.24476981105158446,2.234229812674003E8,5.2873004359916234E8
5,0,0,8280,2673,2261.615421728921,2396.8313263962,2461.915789170382,2219.77732830449,0.24476981105158488,2.277818092703464E8,5.2873004359916234E8
5,0,0,8460,2673,2265.080237809435,2401.07668057631,2465.6202154059047,2222.2639542946827,0.24476981105158527,2.320953977415862E8,5.2873004359916234E8
5,0,0,8640,2673,2268.586522040111,2405.285558657126,2469.281549598563,2224.8104254450814,0.24476981105158488,2.3637190872302565E8,5.2873004359916234E8
5,0,0,8820,2673,2272.1323718116982,2409.4575617872847,2472.8996280333613,2227.4156565528942,0.2447698110515847,2.4061092376695025E8,5.2873004359916234E8
5,0,0,9000,2673,2275.7159015165817,2413.592298505884,2476.4742752402385,2230.0785330024546,0.24476981105158496,2.4481204441843927E8,5.2873004359916234E8
5,0,0,9180,2673,2279.3352175496993,2417.6893966054813,2480.005414133648,2232.7978911616883,0.2447698110515848,2.489748922547868E8,5.2873004359916234E8
5,0,0,9360,2673,2282.9884231701835,2421.7485033983853,2483.493022950223,2235.57252122185,0.24476981105158488,2.5309910890489385E8,5.2873004359916234E8
5,0,0,9540,2673,2286.673628298629,2425.769285805359,2486.937093696083,2238.4011701929458,0.2447698110515847,2.571843559873422E8,5.2873004359916234E8
5,0,0,9720,2673,2290.388944964774,2429.751430370556,2490.337622985042,2241.2825446635165,0.2447698110515852,2.6123031508443317E8,5.2873004359916234E8
5,0,0,9900,2673,2294.132502395533,2433.694643131898,2493.6946113473527,2244.215312882797,0.24476981105158527,2.6523668755913883E8,5.2873004359916234E8
5,0,0,10080,2673,2297.9024212365316,2437.598649640388,2497.0080725438083,2247.198107690361,0.24476981105158488,2.692031946535124E8,5.2873004359916234E8
5,0,0,10260,2673,2301.6968409723204,2441.4631947118874,2500.278039405256,2250.229529452071,0.24476981105158502,2.7312957728035694E8,5.2873004359916234E8
5,0,0,10440,2673,2305.513908390224,2445.288042432795,2503.504565349202,2253.3081487613404,0.24476981105158518,2.7701559594870245E8,5.2873004359916234E8
5,0,0,10620,2673,2309.3517925035567,2449.0729758390485,2506.687722790004,2256.432508949366,0.24476981105158532,2.808610305284354E8,5.2873004359916234E8
