time,T_in
399,750.513947
400,750.438844
401,750.395483
402,750.295664
403,750.225319
404,750.161539
405,750.071644
406,749.985896
407,749.92796
408,749.857725
409,749.77341
410,749.700471
411,749.625687
412,749.548023
413,749.470701
414,749.385884
415,749.306319
416,749.234345
417,749.149509
418,749.07061
419,748.988685
420,748.912178
421,748.831945
422,748.744271
423,748.67448
424,748.607894
425,748.515232
426,748.439321
427,748.369561
428,748.28819
429,748.213633
430,748.124216
431,748.049141
432,747.963099
433,747.92068
434,747.824203
435,747.751991
436,747.683928
437,747.598506
438,747.530164
439,747.453571
440,747.361454
441,747.289995
442,747.213454
443,747.148518
444,747.054446
445,746.990458
446,746.914302
447,746.826707
448,746.758505
449,746.682957
450,746.601153
451,746.519391
452,746.449125
453,746.3724
454,746.294019
455,746.218216
456,746.124017
457,746.05188
458,745.985664
459,745.898843
460,745.814871
461,745.759774
462,745.682151
463,745.607361
464,745.536707
465,745.467471
466,745.377757
467,745.303253
468,745.222448
469,745.145116
470,745.087202
471,745.007475
472,744.923129
473,744.85865
474,744.778691
475,744.698835
476,744.623899
477,744.54818
478,744.484218
479,744.410557
480,744.334172
481,744.232795
482,744.162871
483,744.092192
484,744.01522
485,743.951361
486,743.866547
487,743.782659
488,743.707215
489,743.62901
490,743.533604
491,743.463419
492,743.378049
493,743.305833
494,743.230163
495,743.150997
496,743.081051
497,743.001901
498,742.911996
499,742.835659
500,742.761612
501,742.683184
502,742.597335
503,742.538852
504,742.46404
505,742.378539
506,742.317295
507,742.223968
508,742.148869
509,742.084488
510,741.990115
511,741.918052
512,741.837907
513,741.763945
514,741.694836
515,741.617159
516,741.527918
517,741.444111
518,741.364749
519,741.27641
520,741.219232
521,741.125559
522,741.051518
523,740.986866
524,740.88279
525,740.821061
526,740.756167
527,740.682496
528,740.586595
529,740.513845
530,740.439846
531,740.36402
532,740.287746
533,740.216172
534,740.11334
535,740.056445
536,739.980212
537,739.884771
538,739.826403
539,739.726355
540,739.642198
541,739.584506
542,739.490007
543,739.425559
544,739.34798
545,739.262413
546,739.188623
547,739.111308
548,739.038404
549,738.944966
550,738.890348
551,738.778559
552,738.701863
553,738.61624
554,738.542248
555,738.442837
556,738.387651
557,738.33007
558,738.238155
559,738.172977
560,738.101591
561,738.024858
562,737.95775
563,737.885705
564,737.783936
565,737.71385
566,737.636006
567,737.553668
568,737.494519
569,737.409306
570,737.330488
571,737.263276
572,737.179492
573,737.125806
574,737.040504
575,736.942524
576,736.875255
577,736.806336
578,736.718626
579,736.659933
580,736.569807
581,736.505247
582,736.412612
583,736.31879
584,736.249246
585,736.169246
586,736.076489
587,736.016248
588,735.934294
589,735.845561
590,735.781163
591,735.699873
592,735.634509
593,735.562132
594,735.475518
595,735.40753
596,735.333791
597,735.256856
598,735.179418
599,735.103996
600,735.022352
601,734.969679
602,734.878221
603,734.801532
604,734.742887
605,734.664964
606,734.59042
607,734.51627
608,734.439727
609,734.383457
610,734.287189
611,734.230365
612,734.159105
613,734.071774
614,733.98382
615,733.932552
616,733.845198
617,733.773535
618,733.695509
619,733.621842
620,733.553964
621,733.476434
622,733.41135
623,733.336141
624,733.273912
625,733.144068
626,733.092442
627,732.998167
628,732.934465
629,732.867576
630,732.773285
631,732.699373
632,732.638599
633,732.554137
634,732.469697
635,732.419365
636,732.305104
637,732.241601
638,732.15845
639,732.080138
640,732.022278
641,731.916036
642,731.838324
643,731.763003
644,731.684088
645,731.608501
646,731.519913
647,731.461944
648,731.369659
649,731.29909
650,731.206796
651,731.136128
652,731.051337
653,730.977255
654,730.915221
655,730.85467
656,730.760076
657,730.681947
658,730.59897
659,730.520808
660,730.467058
661,730.382175
662,730.314308
663,730.250266
664,730.164918
665,730.099598
666,730.024365
667,729.945166
668,729.871346
669,729.813791
670,729.718663
671,729.644554
672,729.575215
673,729.488371
674,729.408817
675,729.34539
676,729.262435
677,729.194045
678,729.101875
679,729.026586
680,728.945003
681,728.86774
682,728.781546
683,728.718703
684,728.64127
685,728.567837
686,728.487109
687,728.397917
688,728.33433
689,728.253427
690,728.19316
691,728.135903
692,728.048921
693,727.951795
694,727.88288
695,727.808612
696,727.735639
697,727.663905
698,727.587369
699,727.504913
700,727.440408
701,727.362474
702,727.294588
703,727.230884
704,727.143484
705,727.065039
706,726.996629
707,726.904503
708,726.834557
709,726.754454
710,726.680815
711,726.622202
712,726.550224
713,726.466479
714,726.404148
715,726.315142
716,726.237214
717,726.164712
718,726.102821
719,726.023345
720,725.951925
721,725.86824
722,725.782918
723,725.727296
724,725.647754
725,725.57521
726,725.513896
727,725.418574
728,725.367205
729,725.2735
730,725.188084
731,725.121373
732,725.03817
733,724.956927
734,724.886253
735,724.819322
736,724.735243
737,724.669906
738,724.581995
739,724.511871
740,724.44424
741,724.379124
742,724.285037
743,724.219205
744,724.145935
745,724.082801
746,724.009483
747,723.922811
748,723.839358
749,723.759827
750,723.687291
751,723.620213
752,723.52923
753,723.473744
754,723.394594
755,723.30713
756,723.236224
757,723.170785
758,723.096754
759,723.017187
760,722.959429
761,722.857337
762,722.800027
763,722.716856
764,722.661225
765,722.585135
766,722.495463
767,722.427649
768,722.368507
769,722.274939
770,722.190695
771,722.132593
772,722.059069
773,721.986219
774,721.922875
775,721.839445
776,721.763964
777,721.689216
778,721.619564
779,721.536586
780,721.487801
781,721.386729
782,721.31352
783,721.247038
784,721.159851
785,721.101386
786,721.0224
787,720.944076
788,720.878808
789,720.794553
790,720.724554
791,720.640686
792,720.542629
793,720.474595
794,720.374613
795,720.31363
796,720.232344
797,720.152765
798,720.091326
799,720.01586
800,719.92551
801,719.842493
802,719.775079
803,719.707856
804,719.639634
805,719.55708
806,719.489693
807,719.422355
808,719.348007
809,719.296372
810,719.214145
811,719.151861
812,719.060941
813,719.005557
814,718.937286
815,718.875368
816,718.793732
817,718.725252
818,718.669533
819,718.581166
820,718.505384
821,718.432552
822,718.34787
823,718.267266
824,718.226277
825,718.120352
826,718.043777
827,717.979642
828,717.889461
829,717.829134
830,717.745531
831,717.673201
832,717.595791
833,717.51495
834,717.44575
835,717.389432
836,717.306387
837,717.235111
838,717.157199
839,717.09355
840,717.02203
841,716.934788
842,716.859382
843,716.791081
844,716.719486
845,716.632496
846,716.567229
847,716.497909
848,716.431377
849,716.366125
850,716.264433
851,716.19027
852,716.132287
853,716.03924
854,715.953904
855,715.880099
856,715.806099
857,715.731906
858,715.678788
859,715.605683
860,715.539243
861,715.469132
862,715.3774
863,715.3121
864,715.234974
865,715.151611
866,715.088407
867,715.00904
868,714.931482
869,714.878607
870,714.792497
871,714.712371
872,714.636426
873,714.560456
874,714.491488
875,714.402141
876,714.339556
877,714.271748
878,714.184724
879,714.120346
880,714.053701
881,713.989676
882,713.923332
883,713.863978
884,713.786792
885,713.713677
886,713.651674
887,713.55676
888,713.498951
889,713.419411
890,713.355545
891,713.283928
892,713.206924
893,713.140273
894,713.062581
895,712.994547
896,712.923768
897,712.861047
898,712.787906
899,712.716369
900,712.632948
901,712.579373
902,712.49736
903,712.425651
904,712.348544
905,712.282794
906,712.19817
907,712.140436
908,712.059194
909,711.979395
910,711.907774
911,711.832048
912,711.753524
913,711.681107
914,711.614067
915,711.536197
916,711.468021
917,711.395234
918,711.348859
919,711.248832
920,711.192101
921,711.114503
922,711.040405
923,710.974731
924,710.907982
925,710.833517
926,710.771354
927,710.693676
928,710.625674
929,710.552148
930,710.482215
931,710.405337
932,710.330739
933,710.258721
934,710.20654
935,710.119363
936,710.06427
937,709.999925
938,709.922573
939,709.855286
940,709.801296
941,709.722649
942,709.642691
943,709.56714
944,709.494841
945,709.442704
946,709.362365
947,709.285154
948,709.216988
949,709.136694
950,709.072512
951,709.004863
952,708.917047
953,708.856001
954,708.78371
955,708.715301
956,708.650056
957,708.562873
958,708.494233
959,708.432007
960,708.343008
961,708.277827
962,708.21817
963,708.133357
964,708.060539
965,708.000205
966,707.9148
967,707.853579
968,707.79124
969,707.732034
970,707.649716
971,707.568758
972,707.508619
973,707.426527
974,707.355673
975,707.281589
976,707.221428
977,707.146043
978,707.061228
979,706.999591
980,706.914791
981,706.836962
982,706.788465
983,706.703502
984,706.637242
985,706.583039
986,706.505684
987,706.441537
988,706.353427
989,706.304876
990,706.232186
991,706.151417
992,706.083606
993,706.009984
994,705.93484
995,705.866892
996,705.791118
997,705.713167
998,705.649706
999,705.573197
1000,705.505428
1001,705.413047
1002,705.356
1003,705.29314
1004,705.226842
1005,705.152739
1006,705.060682
1007,704.997559
1008,704.942603
1009,704.863045
1010,704.789794
1011,704.723828
1012,704.669198
1013,704.595867
1014,704.513997
1015,704.443059
1016,704.365681
1017,704.281296
1018,704.20722
1019,704.158221
1020,704.074961
1021,704.008094
1022,703.942945
1023,703.85728
1024,703.791057
1025,703.749051
1026,703.655462
1027,703.596501
1028,703.544417
1029,703.47432
1030,703.405373
1031,703.334602
1032,703.268445
1033,703.212496
1034,703.136302
1035,703.063981
1036,703.003656
1037,702.936881
1038,702.850588
1039,702.79247
1040,702.714995
1041,702.642194
1042,702.572626
1043,702.508318
1044,702.438378
1045,702.373167
1046,702.299092
1047,702.233381
1048,702.168116
1049,702.086476
1050,702.019522
1051,701.956974
1052,701.869871
1053,701.828089
1054,701.754354
1055,701.671311
1056,701.613533
1057,701.524078
1058,701.460101
1059,701.387326
1060,701.317449
1061,701.242212
1062,701.188287
1063,701.106051
1064,701.027609
1065,700.971708
1066,700.902525
1067,700.826874
1068,700.762632
1069,700.686546
1070,700.615885
1071,700.555998
1072,700.481356
1073,700.419938
1074,700.342503
1075,700.272279
1076,700.192783
1077,700.137689
1078,700.05807
1079,700.014083
1080,699.924784
1081,699.846641
1082,699.773134
1083,699.718101
1084,699.655346
1085,699.559061
1086,699.510163
1087,699.448327
1088,699.371909
1089,699.307137
1090,699.227623
1091,699.153831
1092,699.099649
1093,699.022349
1094,698.93982
1095,698.875522
