% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 18:08"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,2520,2173,2673.0000015663636,2654.1388104787848,2634.0120237865463,2673.0000007422555,0.06441310795840088,32.20655408009479
72,10,2700,2173,2673.0000012787923,2652.7910372972574,2632.6695866265454,2673.0000007763765,0.0644131079962673,32.2065540805046
72,10,2880,2173,2673.000000840202,2651.4436211967345,2631.3277025954762,2673.0000007927492,0.06441310804928004,32.20655407876003
72,10,3060,2173,2673.000000190192,2650.0965479985443,2629.9857303668496,2673.0000007820627,0.0644131081311003,32.20655407780098
72,10,3240,2173,2672.9999992516828,2648.7498059348077,2628.643266465423,2673.0000007318226,0.06441310825476979,32.20655407918346
72,10,3420,2173,2672.999997991175,2647.403313716492,2627.300559251592,2673.000000634198,0.06441310839947602,32.20655407034331
72,10,3600,2173,2672.9999962786364,2646.0570965191687,2625.9583742831946,2673.000000465957,0.06441310862431693,32.20655407245387
72,10,3780,2173,2672.999994032939,2644.711145764884,2624.6166303668256,2673.0000002101406,0.06441310890261463,32.20655406695033
72,10,3960,2173,2672.9999910971183,2643.365447480878,2623.2746732675464,2672.9999998343797,0.06441310926828671,32.20655406068103
72,10,4140,2173,2672.9999873523298,2642.0199779586706,2621.9324302152113,2672.9999993119545,0.06441310972581024,32.20655404822938
72,10,4320,2173,2672.999982686127,2640.6746997331243,2620.590107766323,2672.9999986144185,0.06441311026326538,32.20655401639223
72,10,4500,2173,2672.9999767192176,2639.3296437276226,2619.248040981879,2672.9999976604477,0.06441311105281415,32.206554026819425
72,10,4680,2173,2672.9999693196987,2637.984790798019,2617.9063242140674,2672.9999964130357,0.06441311199754562,32.20655402255906
72,10,4860,2173,2672.9999603355636,2636.640118058502,2616.564739911285,2672.9999948277596,0.06441311305017496,32.20655397017765
72,10,5040,2173,2672.9999491522217,2635.2956473686386,2615.2229675716917,2672.9999927591502,0.06441311452357788,32.20655398652515
72,10,5220,2173,2672.9999355889618,2633.9513456613013,2613.8809363512255,2672.9999901504434,0.06441311626038265,32.206553981275604
72,10,5400,2173,2672.9999194413413,2632.607181316921,2612.538847595816,2672.9999869348544,0.06441311817272166,32.2065538973264
72,10,5580,2173,2672.9998995752,2631.263191074128,2611.197193351361,2672.9999828229297,0.06441312095495763,32.206554008803984
72,10,5760,2173,2672.999875369722,2629.919368575296,2609.8555843284,2672.999977632157,0.06441312433580215,32.20655414007547
72,10,5940,2173,2672.9998471490326,2628.575661764526,2608.5137027190176,2672.9999714103087,0.06441312766090383,32.20655398484301
72,10,6120,2173,2672.9998138311234,2627.232082809451,2607.1721475400814,2672.9999638480613,0.0644131318672863,32.20655394192269
72,10,6300,2173,2672.999774214119,2625.8886439692046,2605.8307897316254,2672.9999545932815,0.06441313705478999,32.206553983818104
72,10,6480,2173,2672.999727735178,2624.545324754909,2604.489235618509,2672.9999434452216,0.0644131429468655,32.2065539359998
