% Model,tin_tegs_model_3_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 3 2024, 14:57"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
49,792.2528407161202,770.4144128235081,835.116906467411
50,792.1873944299123,770.3910504166158,834.8704164875327
51,792.1219481437043,770.367688009724,834.6239265076546
52,792.0565018574965,770.3443256028313,834.3774365277765
53,791.991055571289,770.3209631959386,834.1309465478984
54,791.9256092850807,770.2976007890467,833.88445656802
55,791.8601629988733,770.2742383821537,833.6379665881419
56,791.7947167126655,770.2508759752619,833.3914766082638
57,791.7292704264571,770.2275135683697,833.1449866283857
58,791.6638241402497,770.2041511614775,832.8984966485076
59,791.598377854042,770.1807887545849,832.6520066686293
60,791.5329315678334,770.157426347693,832.4055166887512
61,791.467485281626,770.1340639408005,832.1590267088731
62,791.4020389954181,770.1107015339079,831.912536728995
63,791.3365927092105,770.0873391270161,831.6660467491166
64,791.2711464230027,770.063976720123,831.4195567692385
65,791.2057001367948,770.0406143132305,831.1730667893604
66,791.1402538505869,770.0172519063385,830.9265768094823
67,791.074807564379,769.993889499446,830.6800868296042
68,791.0093612781716,769.970527092554,830.4335968497259
69,790.9439149919637,769.9471646856612,830.1871068698478
70,790.8784687057555,769.9238022787689,829.9406168899696
71,790.8130224195478,769.9004398718769,829.6941269100915
72,790.7475761333402,769.8770774649848,829.4476369302134
73,790.6821298471318,769.8537150580918,829.2011469503351
74,790.6166835609241,769.8303526512,828.954656970457
75,790.5512372747162,769.8069902443069,828.7081669905789
76,790.4857909885087,769.7836278374153,828.4616770107008
77,790.4203447023007,769.7602654305233,828.2151870308224
78,790.354898416093,769.7369030236305,827.9686970509443
79,790.2881005865383,769.7093880679821,827.743015485792
80,790.2172481269436,769.6694154660662,827.5797591648162
81,790.1463956673491,769.6294428641503,827.4165028438407
82,790.0755432077542,769.5894702622337,827.2532465228652
83,790.0046907481595,769.5494976603179,827.0899902018897
84,789.9338382885646,769.5095250584014,826.9267338809142
85,789.8629858289698,769.4695524564851,826.7634775599387
86,789.7921333693749,769.4295798545693,826.6002212389632
87,789.72128090978,769.3896072526528,826.4369649179874
88,789.6504284501852,769.3496346507371,826.2737085970122
89,789.5795759905906,769.3096620488209,826.1104522760364
90,789.5087235309956,769.269689446905,825.9471959550609
91,789.437871071401,769.2297168449891,825.7839396340854
92,789.367018611806,769.189744243072,825.6206833131099
93,789.2961661522113,769.1497716411562,825.4574269921344
94,789.2253136926166,769.1097990392404,825.2941706711589
95,789.1544612330218,769.0698264373239,825.1309143501834
96,789.083608773427,769.029853835408,824.9676580292077
97,789.0127563138324,768.9898812334917,824.8044017082324
98,788.9419038542378,768.9499086315757,824.6411453872566
99,788.8710513946429,768.9099360296598,824.4778890662811
100,788.8001989350481,768.8699634277434,824.3146327453056
101,788.7293464754533,768.829990825827,824.1513764243301
102,788.6584940158585,768.790018223911,823.9881201033546
103,788.5876415562635,768.750045621995,823.8248637823791
104,788.5167890966692,768.7100730200787,823.6616074614036
105,788.4459366370743,768.6701004181634,823.4983511404279
106,788.3750841774796,768.6301278162458,823.3350948194526
107,788.3042317178847,768.5901552143308,823.1718384984769
108,788.2333792582895,768.5501826124138,823.0085821775014
109,788.1625267986949,768.5102100104986,822.8453258565258
110,788.0916743391,768.4702374085826,822.6820695355503
111,788.0208218795053,768.4302648066664,822.5188132145748
112,787.9499694199106,768.3902922047497,822.3555568935991
113,787.8791169603157,768.3503196028345,822.1923005726236
114,787.8082645007216,768.3103470009179,822.0290442516481
115,787.7374120411262,768.2703743990011,821.8657879306726
116,787.6665595815314,768.2304017970853,821.7025316096971
117,787.5957071219369,768.1904291951689,821.5392752887216
118,787.5248546623421,768.1504565932532,821.3760189677461
119,787.4540022027472,768.1104839913368,821.2127626467706
120,787.3831497431526,768.0705113894212,821.0495063257948
121,787.3122972835577,768.0305387875046,820.8862500048193
122,787.2414448239625,767.9905661855888,820.7229936838438
123,787.1705923643677,767.9505935836726,820.5597373628683
124,787.099739904773,767.9106209817561,820.3964810418928
125,787.0288874451784,767.8706483798402,820.2332247209173
126,786.9580349855837,767.8306757779244,820.0699683999418
127,786.8871825259887,767.7907031760078,819.906712078966
128,786.8163300663938,767.750730574092,819.7434557579908
129,786.7454776067997,767.7107579721752,819.580199437015
130,786.6746251472047,767.6707853702592,819.4169431160395
131,786.6037726876099,767.6308127683435,819.253686795064
132,786.5329202280152,767.5908401664271,819.0904304740885
133,786.4620677684201,767.5508675645111,818.927174153113
134,786.3912153088247,767.5108949625952,818.7639178321375
135,786.3203628492304,767.4709223606792,818.600661511162
136,786.2495103896364,767.4309497587627,818.4374051901863
137,786.1786579300409,767.3909771568464,818.274148869211
138,786.1078054704461,767.3510045549306,818.1108925482353
139,786.0369530108514,767.3110319530145,817.9476362272597
140,785.9661005512571,767.2710593510989,817.7843799062842
141,785.8952480916616,767.2310867491817,817.6211235853087
142,785.8243956320671,767.191114147266,817.4578672643332
143,785.7535431724725,767.1511415453499,817.2946109433577
144,785.682690712878,767.1111689434337,817.1313546223822
145,785.6118382532828,767.071196341518,816.9680983014065
146,785.5409857936882,767.0312237396017,816.8048419804312
147,785.4701333340932,766.9912511376853,816.6415856594555
148,785.3992808744982,766.9512785357693,816.47832933848
149,785.3284284149034,766.9113059338536,816.3150730175045
150,785.2575759553091,766.8713333319373,816.151816696529
151,785.1867234957136,766.8313607300208,815.9885603755534
152,785.1158710361195,766.7913881281052,815.8253040545779
153,785.0450185765245,766.7514155261889,815.6620477336024
154,784.9741661169298,766.7114429242724,815.4987914126267
155,784.903313657335,766.6714703223569,815.3355350916512
156,784.8324611977406,766.63149772044,815.1722787706757
157,784.7616087381451,766.5915251185241,815.0090224497002
158,784.6907562785506,766.5515525166081,814.8457661287247
159,784.6194789623726,766.5071445887942,814.6933505282308
160,784.5469270764443,766.4494306832883,814.5734570891822
161,784.4743751905158,766.3917167777819,814.4535636501336
162,784.4018233045881,766.3340028722747,814.3336702110847
163,784.3292714186591,766.2762889667681,814.2137767720361
164,784.2567195327312,766.2185750612617,814.0938833329873
165,784.1841676468027,766.1608611557551,813.9739898939387
166,784.1116157608745,766.1031472502492,813.8540964548898
167,784.0390638749465,766.0454333447417,813.7342030158412
168,783.9665119890179,765.9877194392357,813.6143095767926
169,783.89396010309,765.9300055337294,813.494416137744
170,783.821408217162,765.8722916282222,813.3745226986952
171,783.7488563312336,765.814577722716,813.2546292596465
172,783.6763044453056,765.7568638172094,813.1347358205979
173,783.6037525593767,765.699149911703,813.0148423815491
174,783.5312006734486,765.6414360061965,812.8949489425005
175,783.4586487875202,765.5837221006897,812.7750555034519
176,783.3860969015918,765.5260081951832,812.655162064403
177,783.3135450156639,765.4682942896769,812.5352686253544
178,783.2409931297352,765.4105803841707,812.4153751863056
179,783.1684412438074,765.3528664786645,812.295481747257
180,783.0958893578792,765.2951525731579,812.1755883082084
181,783.023337471951,765.2374386676508,812.0556948691595
182,782.9507855860226,765.1797247621448,811.9358014301109
183,782.8782337000943,765.1220108566381,811.8159079910623
184,782.8056818141662,765.0642969511314,811.6960145520135
185,782.7331299282376,765.0065830456248,811.5761211129649
186,782.6605780423098,764.9488691401184,811.4562276739163
187,782.5880261563813,764.8911552346118,811.3363342348674
188,782.5154742704532,764.8334413291054,811.2164407958188
189,782.4429223845248,764.775727423598,811.0965473567702
190,782.3703704985966,764.7180135180922,810.9766539177214
191,782.2978186126679,764.6602996125858,810.8567604786728
192,782.22526672674,764.6025857070794,810.7368670396239
193,782.1527148408117,764.5448718015728,810.6169736005753
194,782.0801629548837,764.4871578960659,810.4970801615267
195,782.0076110689549,764.42944399056,810.3771867224779
196,781.9350591830269,764.3717300850534,810.2572932834292
197,781.8625072970987,764.3140161795462,810.1373998443806
198,781.7899554111702,764.2563022740401,810.0175064053318
199,781.7174035252423,764.1985883685337,809.8976129662832
200,781.644851639314,764.1408744630274,809.7777195272346
201,781.5722997533858,764.0831605575208,809.657826088186
202,781.4997478674571,764.0254466520141,809.5379326491371
203,781.4271959815292,763.967732746508,809.4180392100885
204,781.3546440956007,763.9100188410011,809.2981457710399
205,781.2820922096729,763.8523049354944,809.1782523319911
206,781.2095403237446,763.794591029988,809.0583588929422
207,781.1369884378164,763.7368771244817,808.9384654538936
208,781.064436551888,763.6791632189751,808.818572014845
209,780.9918846659597,763.6214493134686,808.6986785757962
210,780.9193327800314,763.5637354079616,808.5787851367476
211,780.8467808941031,763.5060215024557,808.458891697699
212,780.7742290081749,763.4483075969489,808.3389982586503
213,780.7016771222469,763.3905936914424,808.2191048196015
214,780.6291252363184,763.3328797859359,808.0992113805529
215,780.5565733503901,763.2751658804289,807.9793179415043
216,780.484021464462,763.2174519749228,807.8594245024555
217,780.4114695785335,763.1597380694162,807.7395310634068
218,780.3389176926054,763.10202416391,807.6196376243582
219,780.2663658066774,763.0443102584032,807.4997441853094
220,780.1938139207488,762.9865963528968,807.3798507462608
221,780.1212620348206,762.9288824473902,807.259957307212
222,780.0487101488923,762.8711685418837,807.1400638681633
223,779.9761582629638,762.8134546363781,807.0201704291147
224,779.9036063770359,762.7557407308705,806.9002769900659
225,779.8310544911076,762.6980268253642,806.7803835510173
226,779.7585026051789,762.6403129198574,806.6604901119687
227,779.6859507192513,762.5825990143509,806.5405966729198
228,779.6133988333227,762.5248851088445,806.4207032338712
229,779.5408469473946,762.4671712033381,806.3008097948226
230,779.468295061466,762.4094572978314,806.1809163557738
231,779.3957431755381,762.3517433923246,806.0610229167252
232,779.3231912896097,762.2940294868187,805.9411294776763
233,779.2506394036815,762.2363155813116,805.8212360386277
234,779.1780875177533,762.1786016758057,805.7013425995791
235,779.1055356318252,762.1208877702989,805.5814491605303
236,779.0329837458967,762.0631738647927,805.4615557214817
237,778.9604318599684,762.0054599592863,805.341662282433
238,778.8878799740402,761.9477460537797,805.2217688433842
239,778.8147531966116,761.8866542737252,805.1084715428173
240,778.7399017446816,761.8154288700272,805.0149626576948
241,778.6650502927516,761.7442034663283,804.9214537725724
242,778.5901988408215,761.6729780626299,804.8279448874501
243,778.5153473888914,761.6017526589317,804.7344360023277
244,778.4404959369617,761.5305272552334,804.6409271172053
245,778.3656444850312,761.4593018515351,804.5474182320828
246,778.2907930331016,761.3880764478376,804.4539093469606
247,778.2159415811717,761.3168510441384,804.3604004618381
248,778.1410901292413,761.2456256404404,804.2668915767157
249,778.0662386773113,761.1744002367421,804.1733826915932
250,777.9913872253813,761.1031748330438,804.079873806471
251,777.9165357734518,761.0319494293457,803.9863649213486
252,777.8416843215211,760.9607240256471,803.8928560362261
253,777.7668328695913,760.8894986219492,803.7993471511037
254,777.691981417661,760.8182732182512,803.7058382659815
255,777.6171299657311,760.7470478145524,803.612329380859
256,777.5422785138013,760.6758224108538,803.5188204957366
257,777.4674270618713,760.6045970071564,803.4253116106141
258,777.3925756099408,760.5333716034579,803.3318027254919
259,777.3177241580115,760.4621461997591,803.2382938403695
260,777.2428727060811,760.3909207960613,803.144784955247
261,777.168021254151,760.3196953923631,803.0512760701246
262,777.0931698022212,760.2484699886644,802.9577671850021
263,777.0183183502912,760.1772445849664,802.8642582998797
264,776.9434668983613,760.1060191812688,802.7707494147572
265,776.8686154464314,760.0347937775696,802.677240529635
266,776.793763994501,759.9635683738713,802.5837316445126
267,776.7189125425707,759.8923429701729,802.4902227593901
268,776.6440610906412,759.8211175664743,802.3967138742677
269,776.5692096387111,759.7498921627764,802.3032049891455
270,776.4943581867811,759.6786667590786,802.209696104023
271,776.4195067348512,759.6074413553798,802.1161872189006
272,776.3446552829212,759.536215951682,802.0226783337781
273,776.2698038309908,759.4649905479838,801.9291694486559
274,776.1949523790609,759.3937651442853,801.8356605635335
275,776.120100927131,759.3225397405868,801.742151678411
276,776.0452494752008,759.2513143368884,801.6486427932886
277,775.9703980232712,759.1800889331901,801.5551339081663
278,775.8955465713409,759.1088635294923,801.4616250230439
279,775.8206951194106,759.0376381257934,801.3681161379214
280,775.7458436674808,758.966412722096,801.274607252799
281,775.6709922155509,758.8951873183971,801.1810983676768
282,775.5961407636211,758.8239619146989,801.0875894825543
283,775.5212893116908,758.7527365110003,800.9940805974319
284,775.4464378597609,758.6815111073025,800.9005717123094
285,775.3715864078308,758.6102857036043,800.8070628271872
286,775.296734955901,758.5390602999058,800.7135539420648
287,775.2218835039711,758.4678348962083,800.6200450569423
288,775.1470320520406,758.3966094925094,800.5265361718201
289,775.0721806001105,758.3253840888113,800.4330272866977
290,774.9973291481807,758.2541586851128,800.3395184015752
291,774.9224776962509,758.1829332814145,800.2460095164528
292,774.8476262443203,758.1117078777161,800.1525006313306
293,774.7727747923906,758.0404824740178,800.0589917462081
294,774.6979233404609,757.9692570703194,799.9654828610857
295,774.6230718885307,757.8980316666216,799.8719739759632
296,774.5482204366008,757.8268062629235,799.778465090841
