% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
54,1064.9251397678631,1043.4529857298946,1080.0370532533855
55,1064.8823381349705,1043.4297768189188,1079.8910433024057
56,1064.8395365020776,1043.4065679079436,1079.7450333514257
57,1064.7967348691843,1043.383358996968,1079.5990234004457
58,1064.7539332362915,1043.3601500859932,1079.4530134494657
59,1064.7111316033986,1043.3369411750189,1079.3070034984858
60,1064.6683299705055,1043.3137322640434,1079.1609935475058
61,1064.6255283376133,1043.290523353068,1079.0149835965258
62,1064.5827267047196,1043.2673144420935,1078.868973645546
63,1064.539925071827,1043.2441055311176,1078.7229636945658
64,1064.4971234389334,1043.2208966201422,1078.576953743586
65,1064.454321806041,1043.197687709167,1078.430943792606
66,1064.4115201731477,1043.174478798191,1078.284933841626
67,1064.3687185402553,1043.1512698872166,1078.138923890646
68,1064.3259169073615,1043.1280609762407,1077.992913939666
69,1064.2831152744686,1043.104852065266,1077.846903988686
70,1064.2403136415762,1043.0816431542905,1077.7008940377061
71,1064.197512008683,1043.0584342433158,1077.5548840867261
72,1064.1547103757894,1043.0352253323408,1077.4088741357461
73,1064.1119087428967,1043.0120164213652,1077.2628641847662
74,1064.0691071100039,1042.9888075103902,1077.1168542337864
75,1064.0263054771112,1042.9655985994145,1076.9708442828062
76,1063.983503844218,1042.942389688439,1076.8248343318264
77,1063.940702211325,1042.9191807774644,1076.6788243808464
78,1063.897900578432,1042.8959718664903,1076.5328144298664
79,1063.8550989455389,1042.872762955514,1076.3868044788865
80,1063.8108673022093,1042.8441302029896,1076.2578528888455
81,1063.7634896359189,1042.8035649990568,1076.1664296928702
82,1063.7161119696298,1042.7629997951226,1076.0750064968952
83,1063.66873430334,1042.7224345911898,1075.98358330092
84,1063.6213566370498,1042.6818693872556,1075.8921601049449
85,1063.57397897076,1042.6413041833223,1075.8007369089696
86,1063.5266013044702,1042.6007389793883,1075.7093137129943
87,1063.4792236381809,1042.560173775455,1075.6178905170193
88,1063.4318459718907,1042.519608571522,1075.526467321044
89,1063.3844683056013,1042.4790433675882,1075.435044125069
90,1063.3370906393113,1042.4384781636563,1075.3436209290937
91,1063.289712973021,1042.3979129597217,1075.2521977331185
92,1063.2423353067313,1042.3573477557889,1075.1607745371434
93,1063.1949576404413,1042.3167825518556,1075.0693513411682
94,1063.1475799741518,1042.2762173479218,1074.9779281451931
95,1063.1002023078618,1042.2356521439876,1074.8865049492179
96,1063.052824641572,1042.1950869400546,1074.7950817532426
97,1063.005446975282,1042.1545217361215,1074.7036585572675
98,1062.9580693089922,1042.1139565321882,1074.6122353612923
99,1062.9106916427024,1042.073391328255,1074.520812165317
100,1062.8633139764127,1042.0328261243205,1074.429388969342
101,1062.8159363101229,1041.992260920388,1074.337965773367
102,1062.7685586438329,1041.9516957164547,1074.2465425773917
103,1062.721180977543,1041.9111305125202,1074.1551193814164
104,1062.673803311253,1041.870565308587,1074.0636961854414
105,1062.6264256449635,1041.8300001046537,1073.972272989466
106,1062.5790479786742,1041.7894349007195,1073.8808497934908
107,1062.5316703123842,1041.7488696967869,1073.7894265975158
108,1062.4842926460942,1041.7083044928534,1073.6980034015407
109,1062.4369149798042,1041.667739288921,1073.6065802055655
110,1062.3895373135142,1041.627174084986,1073.5151570095902
111,1062.342159647225,1041.5866088810535,1073.4237338136152
112,1062.2947819809347,1041.5460436771193,1073.33231061764
113,1062.247404314645,1041.5054784731863,1073.2408874216646
114,1062.2000266483549,1041.464913269253,1073.1494642256896
115,1062.1526489820653,1041.4243480653197,1073.0580410297143
