hours,max_ff,time,inlet_T,outlet_T,block_T,Sn_T,bottom_right_T,mass_flow,SOC,power,TPV_height,TPV_density
10,1,93600,2172.9999999999995,2173.4025767974254,2173.0762586735173,2173.044605846745,2173.645385863453,0.1223849055257926,0.01681751356228284,12.218792183318772,0.0015194881878049767,141032.35592013237
10,1,93960,2172.9999999999995,2173.382355278028,2173.072301899344,2173.042238121275,2173.613728226306,0.1223849055257926,0.016809664465928797,11.605039615547758,0.0014432335338807405,141025.55798984744
10,1,94320,2172.9999999999995,2173.3631115669186,2173.068544167356,2173.0399926608206,2173.583559165083,0.12238490552579248,0.016802210010597122,11.020964953553325,0.001370659329769181,141019.0892274425
10,1,94680,2172.9999999999995,2173.3448007626002,2173.064975835131,2173.0378633522228,2173.554812356197,0.1223849055257926,0.01679513108968356,10.465205371514713,0.0013015972303450304,141012.9344733423
10,1,95040,2172.9999999999995,2173.32737985387,2173.0615877052624,2173.0358443757113,2173.527424214973,0.12238490552579286,0.01678840947568538,9.936455416767133,0.0012358859133122185,141007.07920972464
10,1,95400,2172.9999999999995,2173.310807145974,2173.0583710108012,2173.0339302093626,2173.501333796445,0.1223849055257924,0.01678202778813513,9.433449592818471,0.0011733689245616574,141001.50936883394
10,1,95760,2172.9999999999995,2173.295043378639,2173.0553173894154,2173.0321155899373,2173.476482719624,0.12238490552579248,0.01677596945609266,8.9549962931613,0.0011138989047742263,140996.21170628743
10,1,96120,2172.9999999999995,2173.280051005883,2173.0524188673407,2173.0303954979267,2173.4528150504284,0.12238490552579248,0.016770218676658274,8.499955942561373,0.0010573348816390958,140991.1735593474
10,1,96480,2172.9999999999995,2173.2657936314395,2173.049667846695,2173.0287651684334,2173.430277211055,0.12238490552579255,0.01676476038633398,8.067223861336702,0.0010035401473371627,140986.38265651773
10,1,96840,2172.9999999999995,2173.2522368375176,2173.047057084298,2173.0272200667223,2173.4088179003215,0.12238490552579233,0.016759580229741628,7.655755419382104,0.0009523853923303317,140981.82739582207
10,1,97200,2172.9999999999995,2173.239347890428,2173.044579675785,2173.025755871722,2173.38838799337,0.12238490552579227,0.01675466452299885,7.264557101548581,0.0009037476014739518,140977.49674444634
10,1,97560,2172.9999999999995,2173.227095031091,2173.042229044957,2173.0243684821826,2173.3689404580728,0.1223849055257926,0.016750000227132803,6.89266497351944,0.0008575073825106177,140973.38000114777
10,1,97920,2172.9999999999995,2173.2154483465065,2173.0399989239763,2173.0230539899903,2173.3504302857114,0.12238490552579274,0.016745574919873392,6.539171132169333,0.0008135522599808763,140969.46708885234
10,1,98280,2172.9999999999995,2173.204379162481,2173.0378833418777,2173.021808675495,2173.3328143936637,0.1223849055257927,0.01674137676480589,6.203205273950457,0.0007717743885517777,140965.74834888396
10,1,98640,2172.9999999999995,2173.1938598061815,2173.0358766133922,2173.02062901203,2173.3160515618247,0.12238490552579273,0.016737394488969912,5.88392748807818,0.0007320696611168724,140962.21446165518
10,1,99000,2172.9999999999995,2173.1838640605038,2173.033973323526,2173.019511643291,2173.3001023686675,0.12238490552579265,0.01673361735828864,5.580542047250605,0.0006943394277037151,140958.85660042881
10,1,99360,2172.9999999999995,2173.1743670867554,2173.0321683144034,2173.018453369611,2173.2849291056627,0.12238490552579248,0.016730035149228956,5.292295060977198,0.0006584902075406136,140955.6664017931
10,1,99720,2172.9999999999995,2173.1653448763304,2173.0304566765035,2173.0174511622104,2173.2704957045735,0.12238490552579227,0.016726638126716778,5.018457833094633,0.0006244316226071845,140952.6357845343
10,1,100080,2172.9999999999995,2173.1567747227273,2173.0288337345296,2173.016502133947,2173.2567676768303,0.1223849055257924,0.016723417022815445,4.758341188206722,0.0005920781824218198,140949.7571063517
10,1,100440,2172.9999999999995,2173.148634932841,2173.027295037657,2173.015603540134,2173.243712043955,0.1223849055257926,0.01672036301357192,4.511286708984417,0.0005613481970184272,140947.02306701578
10,1,100800,2172.9999999999995,2173.14090448818,2173.0258363521843,2173.014752782433,2173.2312972856666,0.12238490552579268,0.016717467702136734,4.276656453576518,0.0005321625003746581,140944.4265944199
10,1,101160,2172.9999999999995,2173.133563601149,2173.024453648336,2173.0139473874688,2173.219493287465,0.12238490552579273,0.016714723099709877,4.0538498396745135,0.0005044465528183541,140941.96103127016
10,1,101520,2172.9999999999995,2173.1265935292718,2173.023143090535,2173.0131850021894,2173.2082712739452,0.12238490552579265,0.01671212160278081,3.8422980057988108,0.0004781297418463641,140939.62007253797
10,1,101880,2172.9999999999995,2173.119976191977,2173.0219010303053,2173.012463392241,2173.1976037498375,0.12238490552579236,0.016709655976058845,3.6414521802853503,0.00045314393714368577,140937.3976366369
10,1,102240,2172.9999999999995,2173.113694419697,2173.0207239963074,2173.0117804355464,2173.1874644507025,0.12238490552579236,0.016707319336745147,3.4507912417410753,0.00042942443276200486,140935.2879489647
10,1,102600,2172.9999999999995,2173.1077318485945,2173.019608686533,2173.011134115449,2173.177828287389,0.12238490552579245,0.016705105137364718,3.2698185238795103,0.0004069095512093422,140933.28550644286
10,1,102960,2172.9999999999995,2173.102072701128,2173.0185519619695,2173.010522524693,2173.1686713002678,0.12238490552579248,0.016703007151847468,3.0980551553167226,0.0003855398162379316,140931.3850037362
10,1,103320,2172.9999999999995,2173.096702212227,2173.0175508359985,2173.0099438450725,2173.1599706176967,0.1223849055257928,0.016701019459540608,2.935052994675996,0.00036525956341358206,140929.5814756231
10,1,103680,2172.9999999999995,2173.0916062213805,2173.0166024687724,2173.009396349973,2173.1517044010866,0.12238490552579255,0.016699136429039065,2.7803822498226722,0.00034601540097299225,140927.87016393905
10,1,104040,2172.9999999999995,2173.086771075137,2173.015704161552,2173.008878405351,2173.1438518032833,0.12238490552579233,0.016697352707069287,2.6336285186077917,0.0003277558426573877,140926.2464739112
10,1,104400,2172.9999999999995,2173.0821838999527,2173.0148533483757,2173.008388459331,2173.13639293046,0.1223849055257924,0.016695663205620083,2.494401070214731,0.00031043233898407185,140924.70608380702
10,1,104760,2172.9999999999995,2173.077832492897,2173.0140475897388,2173.0079250357244,2173.1293087981157,0.12238490552579233,0.016694063087437868,2.362329527941565,0.0002939988654648503,140923.24488741352
10,1,105120,2172.9999999999995,2173.0737050712078,2173.013284567976,2173.007486736159,2173.1225812929943,0.1223849055257926,0.016692547755119067,2.237056267794387,0.00027841097751805715,140921.85892510213
10,1,105480,2172.9999999999995,2173.06979053834,2173.012562079942,2173.007072231897,2173.1161931397255,0.1223849055257928,0.016691112840046953,2.118244493462794,0.00026362681593782917,140920.54446917152
10,1,105840,2172.9999999999995,2173.0660783129542,2173.0118780321727,2173.006680263093,2173.1101278585834,0.1223849055257928,0.016689754190376934,2.0055730458892627,0.0002496064617119939,140919.29796277854
10,1,106200,2172.9999999999995,2173.0625582431326,2173.011230436128,2173.0063096355657,2173.1043697310197,0.1223849055257926,0.016688467861591314,1.8987337995723428,0.00023631161259126017,140918.1159944357
10,1,106560,2172.9999999999995,2173.0592207088093,2173.0106174026228,2173.0059592173834,2173.098903769494,0.12238490552579227,0.01668725010688669,1.797434771508418,0.0002237059704746335,140916.99533154897
