% Model,tin_tegs_model_6_Rcont_2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 6 2024, 14:53"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
0,797.3649737108366,708.6383339997001,862.5474503952395
100,804.7525243500985,724.8124606622722,849.6559728496646
200,804.7706951310505,734.9163556612083,837.5285351581512
300,801.9572537600179,741.6191816555987,826.951971336147
400,797.2259161620353,745.15435782274,817.2112945696773
500,791.2400457782858,745.6620465514275,808.1490688489763
600,784.669855330514,744.733677231832,799.4064202461824
700,778.0588764877904,743.6205079399865,790.7155755198822
800,770.9727335820942,740.3545129300808,782.6282196158651
900,763.8865906763979,737.0885179201749,774.5408637118481
1000,756.9039641634968,733.0329039193733,766.9248454112175
1100,750.0298208840461,728.1497840616427,759.8027800573753
1200,743.1556776045952,723.2666642039123,752.6807147035332
1300,736.2815343251445,718.3835443461819,745.5586493496912
1400,729.4073910456935,713.5004244884516,738.4365839958491
1500,722.8102601164517,708.4538535096245,731.7202548559693
1600,716.5034329221536,703.2359888289129,725.4291296401251
1700,710.1966057278552,698.0181241482012,719.1380044242809
1800,703.8897785335571,692.8002594674895,712.8468792084366
1900,697.582951339259,687.5823947867779,706.5557539925924
2000,691.5773369717966,682.4287463348647,700.5856814093802
2100,685.8873879837927,677.3423952834105,694.9520659490952
2200,680.1974389957888,672.2560442319567,689.3184504888102
2300,674.5074900077848,667.1696931805023,683.6848350285252
2400,668.8175410197813,662.0833421290486,678.0512195682401
2500,663.3992795366861,657.1322667490346,672.6750625701864
2600,658.265741450772,652.3229577293879,667.5687172001058
2700,653.1322033648581,647.5136487097415,662.4623718300251
2800,647.9986652789441,642.704339690095,657.3560264599445
2900,642.8651271930302,637.8950306704484,652.2496810898638
3000,637.9664743001435,633.2403228049574,647.3591345026421
3100,633.3139766735019,628.7476340423838,642.6947409826496
3200,628.6614790468606,624.2549452798099,638.0303474626571
3300,624.008981420219,619.7622565172363,633.3659539426646
3400,619.3564837935775,615.2695677546627,628.7015604226723
3500,614.7921430071927,610.8427257404164,624.1196598810465
3600,610.3691478245604,606.5214586125923,619.6700238330053
3700,606.011944971343,602.2493335699914,615.2819531177431
3800,601.7205344475415,598.0263506126132,610.9554477352601
3900,597.494916253155,593.8525097404585,606.6905076855561
4000,593.3304963266949,589.724045168716,602.4775063670296
4100,589.2245028758708,585.6386848395732,598.3106356423382
4200,585.1808731605385,581.5996561528787,594.198145821607
4300,581.199607180697,577.6069591086323,590.1400369048359
4400,577.280704936347,573.6605937068339,586.1363088920249
4500,573.4221317668209,569.7601319873238,582.1850002649162
4600,569.6226600749782,565.9053157435727,578.2849275562892
4700,565.884033631071,562.0965117513329,574.4377718509766
4800,562.2062524350994,558.3337200106038,570.6435331489786
4900,558.5893164870635,554.616940521386,566.9022114502949
5000,555.022857523333,550.9410603988401,563.2061641299183
