% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2_halfduty.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:53"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,12240,2173.292482368327,2672.9817986307485,2581.8748844208903,2561.8560953245924,2672.9935128161646,0.06441543788487027,32.18770611343528
72,10,12420,2173.278189233328,2672.9799041632605,2580.534057453015,2560.5153199137144,2672.992760598712,0.06441568884340426,32.188630183442044
72,10,12600,2173.265622739308,2672.977849720695,2579.193230931986,2559.1745279280995,2672.991936881506,0.06441594904219472,32.189437348994616
72,10,12780,2173.255537889067,2672.975612425556,2577.8524047547585,2557.8337065685773,2672.9910308269946,0.0644162361162068,32.19008631335096
72,10,12960,2173.2465732346154,2672.9732055711615,2576.5115786740344,2556.492876216762,2672.990047595687,0.0644165353066134,32.190658255562106
72,10,13140,2173.2367796282674,2672.970584115305,2575.1707521780586,2555.1520620466727,2672.988965932203,0.06441687735671642,32.1912911946468
72,10,13320,2173.2253872572524,2672.9677341923934,2573.829925342882,2553.811277726272,2672.9877786033317,0.06441725534680703,32.19203037013358
72,10,13500,2173.2153375527314,2672.964662483558,2572.4890989586447,2552.4704871183303,2672.98648753605,0.06441764378873562,32.192673997055145
72,10,13680,2173.207275319175,2672.9613367698234,2571.1482728595533,2551.1296752606027,2672.985076861028,0.0644180699252736,32.193192075967296
72,10,13860,2173.200105888368,2672.9577765511553,2569.807446949208,2549.788855087611,2672.983554668483,0.06441851353505305,32.19364627183736
72,10,14040,2173.192186419328,2672.9539187637192,2568.4666206455754,2548.4480403344937,2672.9818899654865,0.064419018107459,32.19416008530836
72,10,14220,2173.182879964922,2672.9497459238232,2567.1257939377324,2547.107242404554,2672.9800732206977,0.06441957248956261,32.1947678495209
72,10,14400,2173.1747520412873,2672.945273293672,2565.7849677682616,2545.7664464666786,2672.9781102505713,0.06442013710793187,32.19528550158127
72,10,14580,2173.168362490762,2672.9404559929044,2564.44414191505,2544.4256395988964,2672.9759781520634,0.06442075337501862,32.19569477921827
72,10,14760,2173.1627017093924,2672.935321600522,2563.103316331597,2543.084828252957,2672.973689044334,0.06442139445992359,32.19604908627591
72,10,14940,2173.1563714976032,2672.9297897505226,2561.762490359572,2541.744019802323,2672.971201852465,0.0644221150948248,32.19646067202358
72,10,15120,2173.148851540766,2672.9238380247807,2560.421663928073,2540.4032239669546,2672.968503916111,0.06442290193350983,32.196954943080826
72,10,15300,2173.1422630674842,2672.917481281203,2559.0808380285316,2539.0624296315877,2672.965600719552,0.06442370885893212,32.197373153109886
72,10,15480,2173.137053959055,2672.9106648626307,2557.740012419057,2537.721621845769,2672.9624632207924,0.06442458385901628,32.1977069061808
72,10,15660,2173.1324515779324,2672.9034283216674,2556.399187232743,2536.3808087546627,2672.9591097554217,0.06442548969060594,32.19798990986753
72,10,15840,2173.1273418761084,2672.8956678555815,2555.058361685787,2535.039997461112,2672.9554853528834,0.06442649930440238,32.19832370607884
72,10,16020,2173.121294888508,2672.887355651222,2553.717535568964,2533.699198784965,2672.9515737493703,0.06442759620612133,32.198725960344035
72,10,16200,2173.115970949227,2672.8785116420054,2552.3767100135387,2532.3584066042604,2672.9473828178434,0.06442872086787509,32.19906123451502
72,10,16380,2173.111723468053,2672.8690670269416,2551.0358847315347,2531.01760403223,2672.9428747241327,0.06442993446855062,32.19933289567617
72,10,16560,2173.1079664293384,2672.859076007971,2549.6950600430578,2529.676798495982,2672.938075784465,0.06443118766994116,32.19955752952218
72,10,16740,2173.103783633072,2672.848394047279,2548.3542348018277,2528.3359882596947,2672.932907012538,0.06443258528759939,32.19983723253154
72,10,16920,2173.098809565726,2672.8369890878494,2547.0134086055837,2526.995182476584,2672.927348860567,0.06443409852847756,32.200179097770494
72,10,17100,2173.0948327441347,2672.8248935970328,2545.672582626841,2525.654379159445,2672.9214154829288,0.06443565062175982,32.200431606308115
