% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_topbottom.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 17:52"
% Table,Probe Table 1 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,19440,2172.9999999999995,2672.941042708366,2173.097356229699,2172.9999999999895,2672.941137434888,2172.9999999999977,2672.941231871036,2174.4533656704366,2176.1684726810945,2672.971194584895
20,20160,2172.9999999999995,2672.920567801515,2172.2772709377577,2172.9999999999895,2672.9206898185976,2172.9999999999977,2672.9208115957567,2173.6085905200475,2175.340122727581,2672.960678221639
20,20880,2172.9999999999995,2672.8944456977874,2171.7672882606153,2172.9999999999895,2672.894600814162,2172.9999999999977,2672.894755837067,2172.9572165423333,2174.7642821052114,2672.947049991889
20,21600,2172.9999999999995,2672.861456285891,2171.684029520179,2172.9999999999895,2672.8616512672465,2172.9999999999977,2672.861846372966,2172.6301223030737,2174.4420072399403,2672.9295667863253
20,22320,2172.9999999999995,2672.819681362797,2171.9891073812705,2172.9999999999895,2672.8199274331487,2172.9999999999977,2672.8201737898876,2172.66494868321,2174.290645175589,2672.9069704643916
20,23040,2172.9999999999995,2672.765839849343,2172.417368957225,2172.9999999999895,2672.7661571085787,2172.9999999999977,2672.766474511809,2172.914796456279,2174.134694602113,2672.877021944413
20,23760,2172.9999999999995,2672.697014080144,2172.751583360136,2172.9999999999895,2672.6974203777086,2172.9999999999977,2672.697826598616,2173.129998090098,2173.9539150814057,2672.8378047005763
20,24480,2172.9999999999995,2672.6101647599353,2172.9162885113064,2172.9999999999895,2672.6106762516806,2172.9999999999977,2672.6111870001755,2173.196238451698,2173.764757762319,2672.787285290177
20,25200,2172.9999999999995,2672.5027784388403,2172.9255312766923,2172.9999999999895,2672.5034097185994,2172.9999999999977,2672.504039361256,2173.114937840193,2173.5755688908725,2672.7237697405203
20,25920,2172.9999999999995,2672.3712647561806,2172.8585615231955,2172.9999999999895,2672.372033446177,2172.9999999999977,2672.3727994028327,2172.9771184459273,2173.4028302560205,2672.6447084526435
20,26640,2172.9999999999995,2672.210761017297,2172.8506310988882,2172.9999999999895,2672.2116940596097,2172.9999999999977,2672.2126235571554,2172.95192148144,2173.2813549185057,2672.5464540156768
20,27360,2172.9999999999995,2672.017899409944,2172.883284980766,2172.9999999999895,2672.019020178769,2172.9999999999977,2672.020135179029,2173.0028854878597,2173.2268529609128,2672.4265202946026
20,28080,2172.9999999999995,2671.786468186992,2172.920486294423,2172.9999999999895,2671.787805805066,2172.9999999999977,2671.789136477469,2173.038027658012,2173.2416714223914,2672.279915711752
20,28800,2172.9999999999995,2671.511253869338,2172.9839910641085,2172.9999999999895,2671.5128503355672,2172.9999999999977,2671.5144346561306,2173.0688844025512,2173.281635798673,2672.102482684241
20,29520,2172.9999999999995,2671.1875795580704,2173.0808371289795,2172.9999999999895,2671.189453034725,2172.9999999999977,2671.1913093895473,2173.104027758647,2173.31941503553,2671.890769326839
20,30240,2172.9999999999995,2670.810864719372,2173.200118738444,2172.9999999999895,2670.813034280803,2172.9999999999977,2670.815183892813,2173.1408429687913,2173.3309985223614,2671.6410667973632
20,30960,2172.9999999999995,2670.3761675856335,2173.3197318419393,2172.9999999999895,2670.378660773093,2172.9999999999977,2670.381132107045,2173.1751443309277,2173.3001735946896,2671.3493343551067
20,31680,2172.9999999999995,2669.8780379680475,2173.4048033316726,2172.9999999999895,2669.8808868603687,2172.9999999999977,2669.883712215992,2173.196012454092,2173.226438379676,2671.011072797756
20,32400,2172.9999999999995,2669.3103396504903,2173.420875651223,2172.9999999999895,2669.31357806475,2172.9999999999977,2669.3167921135155,2173.193151814374,2173.1237918779225,2670.621110770621
