hours,max_ff,time,inlet_T,outlet_T,mass_flow,SOC,power
1,1,0.0,2672.9999999999995,2173.000015211107,1.2238758605198246,0.0,146865.0987944172
1,1,0.092818702286945,2672.9999999999995,2173.0000181573128,1.2238490586184991,2.5781925470566612e-05,146861.88170098534
1,1,0.18563740457389,2672.9999999999995,2173.000020848402,1.2238491111169327,5.1563569043907915e-05,146861.88721036018
1,1,0.37127480914778,2672.9999999999995,2173.000025927698,1.2238489196252649,0.00010312685286188806,146861.8627394512
1,1,0.5569122137216701,2672.9999999999995,2173.0000305351628,1.2238490586234574,0.0001546901350745578,146861.8780659115
1,1,0.7425496182955601,2672.9999999999995,2173.0000349289508,1.2238490552035186,0.00020625341967918907,146861.87636495888
1,1,1.1138244274433402,2672.9999999999995,2173.000042919416,1.2238490552710186,0.0003093799874700609,146861.87402606927
1,1,1.4850992365911202,2672.9999999999995,2173.000050228234,1.2238490552577992,0.00041250655368545684,146861.87187770932
1,1,1.8563740457389,2672.9999999999995,2173.000056980433,1.2238490552580197,0.0005156331184502407,146861.8698944545
1,1,2.5989236640344604,2672.9999999999995,2173.0000689451936,1.2238490552579244,0.0007218862441193871,146861.86638010837
1,1,3.3414732823300204,2672.9999999999995,2173.0000797508083,1.2238490552579258,0.0009281393650920637,146861.86320624265
1,1,4.8265725189211395,2672.9999999999995,2173.0001076167,1.2238490552579242,0.0013406455910851768,146861.85502136758
1,1,6.31167175551226,2672.9999999999995,2173.000227671609,1.2238490552579238,0.0017531517560600272,146861.81975838664
1,1,9.2818702286945,2672.9999999999995,2173.0195752259838,1.2238490552579238,0.0025781480249866483,146856.1369217123
1,1,12.252068701876741,2672.9999999999995,2173.118507062932,1.2238490552579262,0.0034030467119243323,146827.0782892684
1,1,15.22226717505898,2672.9999999999995,2173.4098753900166,1.2238490552579242,0.004227623396306343,146741.4964848279
1,1,21.16266412142346,2672.9999999999995,2175.6599574377256,1.2238490552579266,0.00587258330787403,146080.59389562625
1,1,27.103061067787944,2672.9999999999995,2179.862749771988,1.2238490552579244,0.00750689581401428,144846.13387297018
1,1,38.983854960516894,2672.9999999999995,2192.4999747418287,1.2238490552579218,0.010719947920012018,141134.28047126878
1,1,50.86464885324586,2672.9999999999995,2206.1903944764363,1.2238490552579229,0.013846117470880237,137113.0787292808
1,1,74.6262366387038,2672.9999999999995,2229.2661781255006,1.2238490552579229,0.01985579592231966,130335.17248490233
1,1,98.3878244241617,2672.9999999999995,2247.452688643039,1.2238490552579229,0.025593139070852557,124993.36199322369
1,1,134.3878244241617,2672.9999999999995,2267.361874609921,1.2238490552579244,0.033904565029922534,119145.56076845835
1,1,170.3878244241617,2672.9999999999995,2282.2729313487744,1.2238490552579242,0.04186780650893449,114765.8289198
1,1,206.3878244241617,2672.9999999999995,2294.490827980403,1.2238490552579242,0.049559772437007696,111177.14221983413
1,1,242.3878244241617,2672.9999999999995,2304.315569920668,1.2238490552579222,0.05703132334054697,108291.38194581485
1,1,278.3878244241617,2672.9999999999995,2312.3596798481244,1.2238490552579229,0.06432419493534693,105928.63562538894
1,1,314.3878244241617,2672.9999999999995,2319.143787143041,1.2238490552579249,0.0714687920006615,103935.98203251255
1,1,350.3878244241617,2672.9999999999995,2325.027754391223,1.2238490552579258,0.07848671484990585,102207.72097062723
1,1,386.3878244241617,2672.9999999999995,2330.221441560877,1.2238490552579238,0.08539386686460052,100682.2115780144
1,1,422.3878244241617,2672.9999999999995,2334.8490995977013,1.2238490552579238,0.092202810489334,99322.95839807256
1,1,458.3878244241617,2672.9999999999995,2339.005151210426,1.2238490552579244,0.09892392154485895,98102.2272365119
1,1,494.3878244241617,2672.9999999999995,2342.77567257831,1.223849055257925,0.10556577095608065,96994.73547317239
1,1,530.3878244241616,2672.9999999999995,2346.2361060158623,1.2238490552579238,0.11213531454621628,95978.32390677281
1,1,566.3878244241616,2672.9999999999995,2349.444994633067,1.2238490552579226,0.1186381683532967,95035.79703415022
1,1,602.3878244241616,2672.9999999999995,2352.447206893209,1.2238490552579238,0.12507891435292032,94153.97592096821
1,1,638.3878244241616,2672.9999999999995,2355.2795505150493,1.2238490552579238,0.13146131780096254,93322.04926518702
1,1,674.3878244241616,2672.9999999999995,2357.9805410235763,1.2238490552579244,0.13778839075968416,92528.70414147794
1,1,710.3878244241616,2672.9999999999995,2360.566033011117,1.2238490552579238,0.1440626016181963,91769.28367915908
1,1,746.3878244241616,2672.9999999999995,2363.049031637311,1.2238490552579229,0.15028613018296522,91039.9679536691
1,1,782.3878244241616,2672.9999999999995,2365.453376370429,1.2238490552579258,0.15646078783316852,90333.75474643556
1,1,818.3878244241616,2672.9999999999995,2367.789253948889,1.2238490552579229,0.1625880457034546,89647.65197021222
1,1,854.3878244241616,2672.9999999999995,2370.058570884307,1.2238490552579226,0.1686692540022046,88981.09963721411
1,1,890.3878244241616,2672.9999999999995,2372.2788721676857,1.2238490552579258,0.1747055684327992,88328.94436648206
1,1,926.3878244241616,2672.9999999999995,2374.458849807404,1.2238490552579242,0.18069788234214823,87688.6331085173
1,1,962.3878244241616,2672.9999999999995,2376.604091674197,1.2238490552579229,0.18664694628573059,87058.52457284331
1,1,998.3878244241616,2672.9999999999995,2378.719032936399,1.2238490552579244,0.19255341059380043,86437.31604508225
1,1,1034.3878244241616,2672.9999999999995,2380.8074192275462,1.223849055257925,0.1984178437928098,85823.90734361806
1,1,1070.3878244241616,2672.9999999999995,2382.872114274206,1.2238490552579229,0.2042407483190163,85217.45732387782
