% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 26 2024, 13:19"
% Table,Accumulated Probe Table 2 - 
% k_C (W/(m*K)),D_C (m),H (m),k_Sn (W/(m*K)),U_Sn (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
10,0.2,1,60,0.01,8191.109669046074,2173.0000000000005,2619.4212870980878,2492.180079985953,2436.5317521909024,2639.190397252494
10,0.2,1,60,0.01,8418.640493186242,2173.0000000000005,2616.2146486937595,2487.610981052747,2432.3670622843174,2636.639094525321
10,0.2,1,60,0.01,8646.17131732641,2173.0000000000005,2612.9389369540922,2483.0730348175607,2428.241540721739,2634.0051383033247
10,0.2,1,60,0.01,8873.70214146658,2173.0000000000005,2609.5811270191753,2478.5746055064606,2424.172411275126,2631.270193665554
10,0.2,1,60,0.01,9101.232965606749,2173.0000000000005,2606.16070725884,2474.108383534247,2420.1443979460028,2628.4566525010687
10,0.2,1,60,0.01,9328.763789746918,2173.0000000000005,2602.6759398336058,2469.6771297591154,2416.155990650441,2625.5609777029053
10,0.2,1,60,0.01,9556.294613887085,2173.0000000000005,2599.1271339591094,2465.282865346826,2412.207995596567,2622.581614143029
10,0.2,1,60,0.01,9783.825438027254,2173.0000000000005,2595.5172771356233,2460.92642490901,2408.303726546769,2619.520205895265
10,0.2,1,60,0.01,10011.356262167423,2173.0000000000005,2591.8491570755036,2456.608416213881,2404.447243597056,2616.3791104722372
10,0.2,1,60,0.01,10238.887086307592,2173.0000000000005,2588.12480583466,2452.329403964218,2400.6395189043033,2613.1608856435964
10,0.2,1,60,0.01,10466.41791044776,2173.0000000000005,2584.3463328235403,2448.089919865416,2396.878116762902,2609.868198756055
10,0.2,1,60,0.01,10693.94873458793,2173.0000000000005,2580.516881759273,2443.890443490056,2393.1603436332202,2606.5038171891224
10,0.2,1,60,0.01,10921.479558728097,2173.0000000000005,2576.640497366507,2439.731412516779,2389.4858973860873,2603.070592810294
10,0.2,1,60,0.01,11149.010382868266,2173.0000000000005,2572.721209469095,2435.613235210555,2385.8569633222264,2599.5714355206164
10,0.2,1,60,0.01,11376.541207008435,2173.0000000000005,2568.762631898482,2431.536288883997,2382.275824853168,2596.009306906045
10,0.2,1,60,0.01,11604.072031148604,2173.0000000000005,2564.7680149109456,2427.5009138342525,2378.742531426326,2592.387235324983
10,0.2,1,60,0.01,11831.602855288773,2173.0000000000005,2560.7402109722457,2423.5074150574765,2375.2553549625936,2588.7083172859293
10,0.2,1,60,0.01,12059.133679428942,2173.0000000000005,2556.681415685384,2419.556084368706,2371.8127335844297,2584.975672534032
10,0.2,1,60,0.01,12286.66450356911,2173.0000000000005,2552.593181443578,2415.6472121873812,2368.4143649552498,2581.1923684001213
10,0.2,1,60,0.01,12514.195327709278,2173.0000000000005,2548.477256857127,2411.7810691099703,2365.061124308419,2577.361381261162
10,0.2,1,60,0.01,12741.726151849447,2173.0000000000005,2544.3367606152865,2407.95787637392,2361.75398753098,2573.4856430576165
10,0.2,1,60,0.01,12969.256975989616,2173.0000000000005,2540.176584656905,2404.177791573913,2358.4932393209147,2569.5681405201844
10,0.2,1,60,0.01,13196.787800129785,2173.0000000000005,2536.0020103863844,2400.4409323804994,2355.2784871767967,2565.6119668414913
10,0.2,1,60,0.01,13424.318624269954,2173.0000000000005,2531.816302196598,2396.747413892903,2352.108826953199,2561.620260754277
10,0.2,1,60,0.01,13651.849448410123,2173.0000000000005,2527.6199442179054,2393.0973568610725,2348.983292696716,2557.59608091609
10,0.2,1,60,0.01,13879.38027255029,2173.0000000000005,2523.412510089455,2389.4908656582256,2345.901451766578,2553.5423300824586
10,0.2,1,60,0.01,14106.911096690459,2173.0000000000005,2519.195448743551,2385.928000432524,2342.863389480226,2549.461793164739
