% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge_constP.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 2 2024, 10:00"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
4,2.5,10224,2673.0000000000014,2497.3440783765463,2639.3148182252025,2672.999999999993,2497.2457749310474,2672.9999999999964,2497.1505267802304,2621.9039203825832,2597.265646277664,2395.3902979790128,38.958333332299944,-1671595.784136949
4,2.5,10368,2673.0000000000014,2502.0557978671195,2640.649791854407,2672.999999999996,2501.9548363160407,2673.000000000001,2501.856874410345,2623.9284045130225,2600.1361591569716,2401.845280227601,38.95833333281848,-1626858.0279792408
4,2.5,10512,2673.0000000000014,2506.657766050812,2641.9324531498637,2672.999999999996,2506.5572596692514,2673.0000000000027,2506.4601250419105,2625.869158811993,2602.894489622816,2408.1879725143394,38.958333333297276,-1583100.294704173
4,2.5,10656,2673.0000000000014,2511.1429225593483,2643.160225677832,2672.999999999996,2511.044576597842,2673.0000000000023,2510.950195690103,2627.723833097407,2605.537441076899,2414.413153796805,38.95833333335828,-1540418.431469896
4,2.5,10800,2673.0000000000014,2515.5350209027138,2644.347670017996,2672.999999999996,2515.4389647394337,2673.000000000002,2515.3472146287686,2629.515872105905,2608.095830559123,2420.5441565416286,38.958333333350566,-1498621.1022751236
4,2.5,10944,2673.0000000000014,2519.8412296168726,2645.4969067422576,2672.999999999996,2519.747387463215,2673.000000000002,2519.6580121494303,2631.2486208693967,2610.5740991487214,2426.5860540371673,38.95833333333296,-1457643.3795093105
4,2.5,11088,2673.0000000000014,2524.0392122404814,2646.5913373277845,2672.999999999996,2523.9477045700655,2673.0000000000023,2523.860736583389,2632.899802020527,2612.942531133468,2432.5101400563776,38.958333333326486,-1417692.9814939315
4,2.5,11232,2673.0000000000014,2528.1291455879673,2647.6271186671693,2672.999999999996,2528.040019922671,2673.0000000000023,2527.955599188198,2634.4688152204785,2615.200380709461,2438.3137513026522,38.9583333333334,-1378767.9000499528
4,2.5,11376,2673.0000000000014,2532.1038757070546,2648.6039210241456,2672.999999999996,2532.017190103928,2673.0000000000023,2531.9351505535,2635.956321353426,2617.348295468043,2443.9948536733027,38.95833333333745,-1340938.948030124
4,2.5,11520,2673.0000000000014,2535.963050999751,2649.5253371423983,2672.999999999996,2535.879136091482,2673.0000000000023,2535.799368498027,2637.3687804068823,2619.394524987406,2449.557693343177,38.95833333333444,-1304206.3362856393
4,2.5,11664,2673.0000000000014,2539.7098773460248,2650.3958747380198,2672.999999999996,2539.628968161835,2673.0000000000023,2539.5515557974813,2638.7148722369025,2621.3503347698907,2455.005291526952,38.958333333331616,-1268538.6691814933
4,2.5,11808,2673.0000000000014,2543.354820477817,2651.2248454109595,2672.999999999996,2543.276143925911,2673.0000000000023,2543.2007740902695,2640.0044510354774,2623.228897351104,2460.3454340852404,38.958333333332504,-1233849.8082933016
4,2.5,11952,2673.0000000000014,2546.911917806786,2652.021144591415,2672.999999999996,2546.834289246142,2673.0000000000023,2546.7604210631644,2641.2461371685117,2625.041706876825,2465.585319026114,38.95833333333416,-1200012.3974435446
4,2.5,12096,2673.0000000000014,2550.389300940354,2652.79002262627,2672.999999999996,2550.3128519422,2673.0000000000023,2550.240587533154,2642.445638142361,2626.7960693488,2470.7251834736553,38.95833333333406,-1166930.5150075243
4,2.5,12240,2673.0000000000014,2553.7900122270116,2653.538258948071,2672.999999999996,2553.715680611884,2673.0000000000023,2553.645512628648,2643.606558196684,2628.4964673424597,2475.76806476849,38.958333333333144,-1134563.8645372589
4,2.5,12384,2673.0000000000014,2557.115828893873,2654.2693836947356,2672.999999999996,2557.043867771786,2673.0000000000023,2556.9757504794757,2644.729873194001,2630.143743688157,2480.717590087622,38.95833333333303,-1102907.1785669324
4,2.5,12528,2673.0000000000014,2560.3649414693646,2654.981335258501,2672.999999999996,2560.295235421818,2673.0000000000023,2560.229136925284,2645.814275775865,2631.73539485618,2485.5702104624274,38.95833333333345,-1071981.0292442054
4,2.5,12672,2673.0000000000014,2563.529151326499,2655.674209174651,2672.999999999996,2563.4620483559406,2673.0000000000023,2563.3981741508705,2646.858674343561,2633.2695898898014,2490.325331054255,38.95833333333363,-1041856.6895506538
4,2.5,12816,2673.0000000000014,2566.603677562211,2656.3460945596294,2672.999999999996,2566.5390241223836,2673.0000000000023,2566.4771599398473,2647.8620342495574,2634.7451250978893,2494.984129715135,38.95833333333343,-1012588.363804895
4,2.5,12960,2673.0000000000014,2569.5953531073847,2656.990906562977,2672.999999999996,2569.5319911798,2673.0000000000023,2569.47126577986,2648.8234542831397,2636.1608398000963,2499.540744075864,38.95833333333331,-984126.8927074168
4,2.5,13104,2673.0000000000014,2572.5134709567587,2657.607781441257,2672.999999999996,2572.450835666675,2673.0000000000023,2572.391098626739,2649.7442077007217,2637.5185177767953,2503.9941051006863,38.958333333333364,-956371.4483037299
4,2.5,13248,2673.0000000000014,2575.363220550862,2658.196193585624,2672.999999999996,2575.3012197810153,2673.0000000000023,2575.2430019753406,2650.626207641688,2638.8212530328524,2508.3489052415343,38.95833333333345,-929261.730389197
4,2.5,13392,2673.0000000000014,2578.13934634802,2658.752633660625,2672.999999999996,2578.0792407142385,2673.0000000000023,2578.0233098795943,2651.4709743497747,2640.071380084163,2512.6034551453104,38.95833333333343,-902832.5868360132
4,2.5,13536,2673.0000000000014,2580.830686795926,2659.2806968455,2672.999999999996,2580.7744490611703,2673.0000000000023,2580.7212489831004,2652.2815921457914,2641.2733174302225,2516.760248709077,38.95833333333338,-877186.4273746145
4,2.5,13680,2673.0000000000014,2583.4391043090664,2659.7845764423078,2672.999999999996,2583.3867879204145,2673.0000000000023,2583.3358843685146,2653.060781446642,2642.4315160455876,2520.8271840937214,38.95833333333336,-852332.1391733913
4,2.5,13824,2673.0000000000014,2585.9774637484516,2660.2641669242344,2672.999999999996,2585.9268727641197,2673.0000000000023,2585.877392170612,2653.809696598552,2643.54791193922,2524.802728768953,38.958333333333385,-828172.9895913004
4,2.5,13968,2673.0000000000014,2588.4610607539194,2660.7259566582725,2672.999999999996,2588.409365654974,2673.0000000000023,2588.3600366821215,2654.5306562752844,2644.625441964695,2528.688035852176,38.95833333333341,-804573.3846389462
4,2.5,14112,2673.0000000000014,2590.893784926864,2661.1750575763463,2672.999999999996,2590.8407215809902,2673.0000000000023,2590.791447635672,2655.2253445674855,2645.6662145409296,2532.4913574665316,38.95833333333339,-781460.7973496433
