% Model,LargeGraphiteBlockCharge_v3_rad_spacing_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 22 2023, 18:24"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.02,900,2672.9999999999995,2173.0021645513084,2199.1628970089305,2234.4722435660183,2173.0003359745574,0.2422973887177304,5.233893360880596E8,2230.5940281781773
5,0.02,990,2672.9999999999995,2173.003224503377,2201.759955064213,2236.8505830826325,2173.000424059972,0.24229738871773077,5.233893360880596E8,2232.9735573389394
5,0.02,1080,2672.9999999999995,2173.004550027585,2204.3438816292473,2239.2182065355523,2173.000535607264,0.24229738871773082,5.233893360880596E8,2235.3427262508835
5,0.02,1170,2672.9999999999995,2173.006999715736,2206.9189072123486,2241.622430684402,2173.0006974752496,0.24229738871773124,5.233893360880596E8,2237.747106267292
5,0.02,1260,2672.9999999999995,2173.0102545926475,2209.489460713202,2244.041780674625,2173.0009273613277,0.2422973887177306,5.233893360880596E8,2240.1669844017747
5,0.02,1350,2672.9999999999995,2173.01452393584,2212.0579415572265,2246.4826262030765,2173.001257013638,0.24229738871773082,5.233893360880596E8,2242.609749193475
5,0.02,1440,2672.9999999999995,2173.020040331026,2214.626537615171,2248.947437370212,2173.001723134858,0.24229738871773082,5.233893360880596E8,2245.075496237457
5,0.02,1530,2672.9999999999995,2173.026312155414,2217.1937229238247,2251.4145909315803,2173.002334740215,0.24229738871773068,5.233893360880596E8,2247.542954789012
5,0.02,1620,2672.9999999999995,2173.0345306001614,2219.7629411065604,2253.911554729628,2173.003187883744,0.2422973887177303,5.233893360880596E8,2250.040237415552
5,0.02,1710,2672.9999999999995,2173.0448301459182,2222.3352719473123,2256.4224383630676,2173.004318644692,0.24229738871773054,5.233893360880596E8,2252.5524096721833
5,0.02,1800,2672.9999999999995,2173.0562920256093,2224.907732063576,2258.9294117696054,2173.005731161567,0.24229738871773082,5.233893360880596E8,2255.060425739394
5,0.02,1890,2672.9999999999995,2173.071939037736,2227.484558012804,2261.4645904104023,2173.007630685904,0.24229738871773035,5.233893360880596E8,2257.595510602426
5,0.02,1980,2672.9999999999995,2173.0900684395524,2230.0624007183437,2263.994619765738,2173.010041720408,0.24229738871773068,5.233893360880596E8,2260.1256898070837
5,0.02,2070,2672.9999999999995,2173.110919425551,2232.6402693358723,2266.5211471760636,2173.0130829589975,0.24229738871773068,5.233893360880596E8,2262.6533811637723
5,0.02,2160,2672.9999999999995,2173.137778196101,2235.2194115697603,2269.0557515325577,2173.0169467425135,0.2422973887177304,5.233893360880596E8,2265.188225264991
5,0.02,2250,2672.9999999999995,2173.1667925777324,2237.79694230981,2271.5798338348172,2173.0216850647757,0.24229738871773054,5.233893360880596E8,2267.7126493949922
