% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk_Ar.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 20 2024, 16:10"
% Table,Accumulated Probe Table 24 - 
% run_num,H (m),D_C (m),k_C (W/(m*K)),U_Ar (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
1,2,0.2,30,25,201960,2172.9999999999995,2315.216663147762,2288.517272895842,2259.0720450822337,2331.51373253959
1,2,0.2,30,25,204549.23076923075,2172.9999999999995,2312.632395535621,2286.404230154008,2257.498131436626,2328.620938201653
1,2,0.2,30,25,207138.46153846153,2172.9999999999995,2310.08510267056,2284.3239914813926,2255.956457253368,2325.772190751649
1,2,0.2,30,25,209727.69230769228,2172.9999999999995,2307.5866974928394,2282.2888581742936,2254.4523363985086,2322.984781664891
1,2,0.2,30,25,212316.92307692306,2172.9999999999995,2305.1234804996225,2280.2856213198074,2252.9644334191053,2320.2408469138727
1,2,0.2,30,25,214906.15384615384,2172.9999999999995,2302.7031298183733,2278.3186841464744,2251.4940843960744,2317.545984190842
1,2,0.2,30,25,217495.3846153846,2172.9999999999995,2300.3633427561144,2276.3972878167538,2250.0645067197684,2314.912450785514
1,2,0.2,30,25,220084.61538461538,2172.9999999999995,2298.062505375056,2274.510107317787,2248.672698758638,2312.325390117137
1,2,0.2,30,25,222673.84615384613,2172.9999999999995,2295.7840536912536,2272.658094705889,2247.2978797309383,2309.785970319908
1,2,0.2,30,25,225263.0769230769,2172.9999999999995,2293.5325693768473,2270.8349751060823,2245.9350308777493,2307.2855843990424
1,2,0.2,30,25,227852.3076923077,2172.9999999999995,2291.3226897960944,2269.0448942922712,2244.5915774089103,2304.829937192192
1,2,0.2,30,25,230441.53846153844,2172.9999999999995,2289.1830551660773,2267.2947022983903,2243.28864705767,2302.428824831824
1,2,0.2,30,25,233030.76923076922,2172.9999999999995,2287.084345960704,2265.571817918385,2242.0161218698577,2300.065181274926
1,2,0.2,30,25,235619.99999999997,2172.9999999999995,2285.0218888617337,2263.8799815072566,2240.7713558162072,2297.7439478706897
1,2,0.2,30,25,238209.23076923075,2172.9999999999995,2282.9870996734808,2262.2258407700683,2239.5436882677004,2295.4737794106354
1,2,0.2,30,25,240798.46153846153,2172.9999999999995,2280.9762437385702,2260.5976643870304,2238.3265475025114,2293.238806545377
1,2,0.2,30,25,243387.69230769228,2172.9999999999995,2279.008582711895,2259.0049495822605,2237.1326745878946,2291.052222919548
1,2,0.2,30,25,245976.92307692306,2172.9999999999995,2277.0947151929504,2257.4421493980967,2235.9747577687885,2288.906729440784
1,2,0.2,30,25,248566.15384615381,2172.9999999999995,2275.225419196117,2255.9083728002747,2234.8431133140975,2286.801042358841
1,2,0.2,30,25,251155.3846153846,2172.9999999999995,2273.3819874304745,2254.3983025627354,2233.7251181267043,2284.7278289058318
1,2,0.2,30,25,253744.61538461538,2172.9999999999995,2271.5635678187855,2252.91541420184,2232.6211264312788,2282.6917954089236
1,2,0.2,30,25,256333.84615384613,2172.9999999999995,2269.7675218476274,2251.4656985524966,2231.5350580076483,2280.70085411763
1,2,0.2,30,25,258923.0769230769,2172.9999999999995,2267.9987797292706,2250.0388556088815,2230.4697821049203,2278.7409593821117
1,2,0.2,30,25,261512.3076923077,2172.9999999999995,2266.2871488034557,2248.643035682151,2229.4392930266677,2276.8236878326547
1,2,0.2,30,25,264101.53846153844,2172.9999999999995,2264.621855935248,2247.2732603945565,2228.428837637495,2274.9426196736504
1,2,0.2,30,25,266690.7692307692,2172.9999999999995,2262.9775148032386,2245.9246540221416,2227.4287526532817,2273.0906801810356
1,2,0.2,30,25,269280,2172.9999999999995,2261.3499236274297,2244.6052693932543,2226.44053823547,2271.2782872157054
1,2,0.2,30,25,271869.23076923075,2172.9999999999995,2259.747113149726,2243.310770882328,2225.4743577045037,2269.4995924384025
1,2,0.2,30,25,274458.4615384615,2172.9999999999995,2258.1748002172617,2242.0364497229816,2224.528874332459,2267.748650585422
1,2,0.2,30,25,277047.6923076923,2172.9999999999995,2256.6510320079474,2240.7896916766886,2223.6094479470567,2266.036015338676
1,2,0.2,30,25,279636.92307692306,2172.9999999999995,2255.15260221371,2239.5623504265996,2222.700411022532,2264.3502043565236
1,2,0.2,30,25,282226.1538461538,2172.9999999999995,2253.680777472829,2238.361585713522,2221.8013569581963,2262.7004934893566
1,2,0.2,30,25,284815.3846153846,2172.9999999999995,2252.227741260688,2237.1796195783845,2220.9173703669985,2261.0762149820266
1,2,0.2,30,25,287404.6153846154,2172.9999999999995,2250.7979799045593,2236.0190674055593,2220.0550699090236,2259.4811805378567
1,2,0.2,30,25,289993.8461538461,2172.9999999999995,2249.3988501325807,2234.8844502520633,2219.220822467,2257.9220335181853
1,2,0.2,30,25,292583.0769230769,2172.9999999999995,2248.024614240887,2233.7676006680667,2218.3971083135275,2256.3875903575486
1,2,0.2,30,25,295172.3076923077,2172.9999999999995,2246.6872763032407,2232.6749340984334,2217.580621005622,2254.8864892510883
1,2,0.2,30,25,297761.53846153844,2172.9999999999995,2245.374795336108,2231.602756494854,2216.778034114908,2253.413323100856
1,2,0.2,30,25,300350.7692307692,2172.9999999999995,2244.080118527184,2230.547241864644,2215.992255165196,2251.962830096794
1,2,0.2,30,25,302940,2172.9999999999995,2242.808885039324,2229.5145819982836,2215.2300856444685,2250.543589021733
1,2,0.2,30,25,305529.23076923075,2172.9999999999995,2241.5569595036077,2228.4980480922886,2214.4782296027224,2249.1465925530547
1,2,0.2,30,25,308118.4615384615,2172.9999999999995,2240.327977942877,2227.49988473795,2213.736283460092,2247.775004236391
1,2,0.2,30,25,310707.6923076923,2172.9999999999995,2239.133536217849,2226.5247008322135,2213.007962567587,2246.4350519685117
1,2,0.2,30,25,313296.92307692306,2172.9999999999995,2237.961596848492,2225.5671839367874,2212.2982882218344,2245.1193299856777
1,2,0.2,30,25,315886.1538461538,2172.9999999999995,2236.8066509434625,2224.62744183014,2211.6020079022105,2243.828035167839
1,2,0.2,30,25,318475.38461538457,2172.9999999999995,2235.6664678995926,2223.7022927582548,2210.914284361298,2242.5567722114456
1,2,0.2,30,25,321064.6153846154,2172.9999999999995,2234.5508256940084,2222.7972558664487,2210.238588004974,2241.3129966127112
1,2,0.2,30,25,323653.8461538461,2172.9999999999995,2233.4565809487426,2221.9064214330615,2209.5746537084815,2240.0886290962208
1,2,0.2,30,25,326243.0769230769,2172.9999999999995,2232.3920015334506,2221.034874941124,2208.929093122282,2238.8907932456495
1,2,0.2,30,25,328832.3076923077,2172.9999999999995,2231.342667783872,2220.176882140589,2208.294448814034,2237.711705470599
1,2,0.2,30,25,331421.53846153844,2172.9999999999995,2230.308485885287,2219.3343370848775,2207.670427923468,2236.553969553677
1,2,0.2,30,25,334010.7692307692,2172.9999999999995,2229.2886552656573,2218.5112570733854,2207.0553675527785,2235.422751305411
1,2,0.2,30,25,336600,2172.9999999999995,2228.2876766091254,2217.7006816533594,2206.450964005932,2234.308579504953
1,2,0.2,30,25,339189.23076923075,2172.9999999999995,2227.322030140209,2216.908258292551,2205.8657450807104,2233.219570385856
1,2,0.2,30,25,341778.4615384615,2172.9999999999995,2226.3684038137326,2216.1275406051845,2205.2881614038542,2232.1467461613965
1,2,0.2,30,25,344367.6923076923,2172.9999999999995,2225.4248974143193,2215.3642096172457,2204.7177645206284,2231.0975602446106
1,2,0.2,30,25,346956.92307692306,2172.9999999999995,2224.499716115826,2214.614739172351,2204.159285872513,2230.0674015215495
1,2,0.2,30,25,349546.1538461538,2172.9999999999995,2223.591718593719,2213.876891161685,2203.611017889433,2229.0533193428323
1,2,0.2,30,25,352135.38461538457,2172.9999999999995,2222.7036088881923,2213.152324082334,2203.074038950165,2228.0576205961065
1,2,0.2,30,25,354724.6153846154,2172.9999999999995,2221.834290082724,2212.441164706494,2202.547504162302,2227.080407677209
1,2,0.2,30,25,357313.8461538461,2172.9999999999995,2220.9833051002265,2211.7459391305883,2202.0309051442896,2226.124925026066
1,2,0.2,30,25,359903.0769230769,2172.9999999999995,2220.1422686319233,2211.06164536423,2201.5207800182516,2225.184277561323
1,2,0.2,30,25,362492.3076923077,2172.9999999999995,2219.3142146318287,2210.392254161656,2201.021616646689,2224.2640212259894
1,2,0.2,30,25,365081.53846153844,2172.9999999999995,2218.5008744362235,2209.733323922282,2200.532654837208,2223.3582739168796
1,2,0.2,30,25,367670.7692307692,2172.9999999999995,2217.712383589772,2209.08862557338,2200.0576062490736,2222.47236387499
1,2,0.2,30,25,370260,2172.9999999999995,2216.9393972764788,2208.456025190965,2199.5878738262004,2221.6030677180074
1,2,0.2,30,25,372849.23076923075,2172.9999999999995,2216.1759876247916,2207.833290334827,2199.1227886295073,2220.747150765414
1,2,0.2,30,25,375438.4615384615,2172.9999999999995,2215.4257898599617,2207.224069998235,2198.6677795964747,2219.909640934271
1,2,0.2,30,25,378027.69230769225,2172.9999999999995,2214.689282399404,2206.626244637932,2198.2261234846105,2219.0879244596713
1,2,0.2,30,25,380616.92307692306,2172.9999999999995,2213.964375108544,2206.037679023413,2197.791888507385,2218.2790921460733
1,2,0.2,30,25,383206.1538461538,2172.9999999999995,2213.256768507722,2205.461880399087,2197.363459766898,2217.487885705097
1,2,0.2,30,25,385795.38461538457,2172.9999999999995,2212.5616334541323,2204.89511806155,2196.939561113558,2216.7090115461488
1,2,0.2,30,25,388384.6153846154,2172.9999999999995,2211.8804974909885,2204.338613475298,2196.52325355976,2215.9441062905826
1,2,0.2,30,25,390973.8461538461,2172.9999999999995,2211.2143563497493,2203.7944766977744,2196.120870362488,2215.1961357068503
1,2,0.2,30,25,393563.0769230769,2172.9999999999995,2210.5560696679718,2203.258837408594,2195.7264946747423,2214.4599033356767
1,2,0.2,30,25,396152.3076923077,2172.9999999999995,2209.90751353923,2202.7348551831096,2195.3386858312006,2213.739738603401
1,2,0.2,30,25,398741.53846153844,2172.9999999999995,2209.270643027081,2202.2191042938684,2194.954221594224,2213.030892365897
1,2,0.2,30,25,401330.7692307692,2172.9999999999995,2208.6534646184386,2201.7145254489556,2194.575533121968,2212.3374277871253
1,2,0.2,30,25,403920,2172.9999999999995,2208.046865629605,2201.217791380377,2194.2046476512573,2211.6547578613704
1,2,0.2,30,25,406509.23076923075,2172.9999999999995,2207.4500811571206,2200.7299984815163,2193.843409575438,2210.9843800397493
1,2,0.2,30,25,409098.4615384615,2172.9999999999995,2206.8604064635783,2200.2533194591188,2193.4925602678372,2210.329095165018
