hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
1,10,25200.0,2673,2672.996107672739,2672.901718015221,2672.998667204425,2672.8421182316124,12.238490552579243,1.045289486853877,11.813780181783093
1,10,25236.0,2673,2672.996255711415,2672.9029628390845,2672.998735198804,2672.8440703458605,12.238490552579238,1.045290275930175,11.364461237586118
1,10,25272.0,2673,2672.99640468936,2672.904189924856,2672.998802461469,2672.8459954775426,12.238490552579222,1.0452910343163375,10.912291474299277
1,10,25308.0,2673,2672.996550990602,2672.905404472434,2672.9988684838445,2672.847901559117,12.238490552579243,1.0452917621918902,10.468245895677908
1,10,25344.0,2673,2672.9966931453,2672.906604918943,2672.998933112843,2672.849786230551,12.238490552579231,1.0452924602618654,10.036785681122769
1,10,25380.0,2673,2672.996830334877,2672.907788203623,2672.998996414909,2672.851644849013,12.238490552579238,1.045293129467753,9.620395332634603
1,10,25416.0,2673,2672.996966856152,2672.9089593999233,2672.999059523579,2672.853485074237,12.23849055257925,1.045293770391644,9.20603337717636
1,10,25452.0,2673,2672.9971039458,2672.910117034637,2672.999122549715,2672.8553046272204,12.238490552579231,1.0452943830438635,8.789946327489526
1,10,25488.0,2673,2672.997241746962,2672.911260863356,2672.9991852505605,2672.8571031149218,12.238490552579211,1.0452949672921632,8.37169972894469
1,10,25524.0,2673,2672.997378718139,2672.9123909562477,2672.999247017661,2672.8588806529283,12.238490552579231,1.0452955231487848,7.955972256711066
1,10,25560.0,2673,2672.997512583812,2672.913507438039,2672.999307408628,2672.860637457965,12.238490552579265,1.0452960510203744,7.549670440743482
1,10,25596.0,2673,2672.997642236262,2672.9146104527367,2672.9993664902913,2672.862373765909,12.238490552579231,1.0452965516631614,7.156156369772566
1,10,25632.0,2673,2672.997767482146,2672.915697580238,2672.999424530181,2672.864085883412,12.238490552579243,1.0452970259678114,6.776016868305657
1,10,25668.0,2673,2672.997892768287,2672.916773599715,2672.9994825276267,2672.865781041835,12.23849055257925,1.0452974743854866,6.395755182469568
1,10,25704.0,2673,2672.9980208472816,2672.917834752055,2672.999540831507,2672.867453439148,12.238490552579243,1.0452978966234472,6.0070167778001995
1,10,25740.0,2673,2672.9981486245497,2672.918885109649,2672.9995984534053,2672.869109318433,12.238490552579243,1.04529829242429,5.619194157572379
1,10,25776.0,2673,2672.998273461469,2672.919923288298,2672.999654796516,2672.8707465939683,12.238490552579252,1.045298662123012,5.240295923695902
1,10,25812.0,2673,2672.998393880909,2672.9209490380513,2672.999709734871,2672.8723649095377,12.238490552579231,1.045299006479883,4.8748053833299
1,10,25848.0,2673,2672.9985094628305,2672.9219600275533,2672.9997633870653,2672.873960711013,12.238490552579234,1.0452993264512038,4.523997416670788
1,10,25884.0,2673,2672.998625128647,2672.922960685297,2672.999817010691,2672.875540705964,12.238490552579231,1.0452996225281568,4.172934816544102
1,10,25920.0,2673,2672.998744110797,2672.9239475207605,2672.999871137971,2672.877099483703,12.238490552579234,1.045299894359403,3.8118066604932244
1,10,25956.0,2673,2672.998863151741,2672.924924326296,2672.99992474038,2672.878642862839,12.238490552579204,1.0453001415961969,3.4505000566037958
