% Model,tin_tegs_model_3_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 3 2024, 18:36"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
0,793.6515918829881,771.0825592129659,844.8265900691762
1,793.6553269300546,771.0911994904343,842.9939770879195
2,793.6635862143522,771.0908697451405,841.565935341724
3,793.6733535777267,771.0875499922603,840.2727506738819
4,793.6850919862818,771.082015935389,839.0911930895044
5,793.7027435303801,771.0698389665507,838.2445167555194
6,793.7203950744781,771.057661997711,837.3978404215346
7,793.7380466185762,771.0454850288714,836.5511640875499
8,793.7556981626743,771.0333080600325,835.7044877535649
9,793.7709944150064,771.0214545413533,834.9304116519985
10,793.7792247920402,771.0105713731504,834.3741362476877
11,793.7874551690737,770.9996882049477,833.8178608433767
12,793.7956855461072,770.9888050367449,833.2615854390659
13,793.8039159231412,770.977921868542,832.7053100347549
14,793.8121463001742,770.9670387003389,832.1490346304441
15,793.8203766772081,770.9561555321364,831.5927592261331
16,793.8286070542417,770.945272363934,831.0364838218221
17,793.8368374312753,770.9343891957313,830.4802084175113
18,793.8450678083091,770.9235060275283,829.9239330132003
19,793.8459256539772,770.9120957753129,829.4131625096983
20,793.8246659055495,770.8991042710578,829.0389067086222
21,793.8034061571216,770.8861127668032,828.6646509075466
22,793.7821464086937,770.8731212625484,828.2903951064708
23,793.7608866602662,770.8601297582937,827.9161393053947
24,793.7396269118381,770.8471382540387,827.5418835043191
25,793.7183671634101,770.8341467497842,827.1676277032433
26,793.6971074149822,770.8211552455292,826.7933719021672
27,793.675847666555,770.8081637412746,826.4191161010914
28,793.6545879181273,770.7951722370201,826.0448603000158
29,793.6333281696999,770.7821807327655,825.6706044989397
30,793.6120684212713,770.7691892285105,825.2963486978639
31,793.5908086728433,770.7561977242553,824.9220928967883
32,793.5695489244156,770.7432062200006,824.5478370957122
33,793.5482891759879,770.7302147157453,824.1735812946364
34,793.52702942756,770.7172232114916,823.7993254935608
35,793.5057696791324,770.7042317072369,823.4250696924847
36,793.4845099307049,770.6912402029822,823.0508138914089
37,793.4632501822769,770.6782486987269,822.6765580903331
38,793.4419904338491,770.6652571944719,822.3023022892572
39,793.4152234218244,770.6497836905176,821.9617069469981
40,793.371934619009,770.6268641874636,821.7220929811889
41,793.3286458161937,770.603944684409,821.4824790153797
42,793.2853570133782,770.5810251813547,821.2428650495705
43,793.2420682105628,770.5581056783004,821.003251083761
44,793.1987794077475,770.5351861752464,820.7636371179518
45,793.155490604932,770.5122666721921,820.5240231521424
46,793.1122018021169,770.4893471691379,820.2844091863332
