% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
56,1065.1103768712765,1043.3977649131732,1081.1688518736369
57,1065.0679171183806,1043.3740534534743,1081.0754574739208
58,1065.0254573654847,1043.350341993776,1080.9820630742063
59,1064.9829976125889,1043.3266305340753,1080.8886686744895
60,1064.9405378596925,1043.3029190743762,1080.7952742747746
61,1064.8980781067962,1043.279207614677,1080.701879875057
62,1064.8556183539004,1043.255496154978,1080.6084854753417
63,1064.8131586010043,1043.2317846952787,1080.515091075626
64,1064.7706988481086,1043.2080732355805,1080.4216966759107
65,1064.7282390952118,1043.184361775881,1080.3283022761943
66,1064.6857793423164,1043.1606503161813,1080.2349078764794
67,1064.6433195894206,1043.136938856482,1080.1415134767615
68,1064.6008598365238,1043.113227396783,1080.0481190770463
69,1064.5584000836275,1043.0895159370837,1079.954724677331
70,1064.5159403307318,1043.0658044773838,1079.8613302776148
71,1064.4734805778355,1043.042093017685,1079.7679358778992
72,1064.4310208249392,1043.018381557986,1079.6745414781835
73,1064.3885610720426,1042.9946700982864,1079.5811470784683
74,1064.3461013191472,1042.9709586385875,1079.4877526787525
75,1064.3036415662514,1042.947247178888,1079.394358279035
76,1064.2611818133557,1042.9235357191892,1079.3009638793192
77,1064.2187220604592,1042.8998242594905,1079.2075694796038
78,1064.1762623075629,1042.876112799791,1079.114175079888
79,1064.1338025546665,1042.8524013400915,1079.0207806801725
80,1064.0913428017707,1042.8286898803915,1078.9273862804566
81,1064.0454301347163,1042.7947250983345,1078.8463003482523
82,1063.9995174676615,1042.7607603162776,1078.7652144160468
83,1063.953604800606,1042.7267955342195,1078.6841284838413
84,1063.9076921335513,1042.6928307521623,1078.6030425516374
85,1063.8617794664967,1042.6588659701054,1078.521956619431
86,1063.8158667994414,1042.6249011880475,1078.4408706872268
87,1063.7699541323861,1042.5909364059903,1078.3597847550197
88,1063.7240414653322,1042.5569716239327,1078.2786988228168
89,1063.6781287982772,1042.523006841875,1078.1976128906113
90,1063.6322161312216,1042.4890420598176,1078.1165269584067
91,1063.586303464167,1042.4550772777607,1078.0354410262007
92,1063.5403907971122,1042.4211124957037,1077.954355093995
93,1063.4944781300574,1042.387147713646,1077.8732691617902
94,1063.4485654630023,1042.3531829315896,1077.7921832295865
