% Model,tin_tegs_model_6_Rcont_2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 6 2024, 15:40"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),T-50 (degC),"Temperature (degC), Point: 43"
0,805.3660187494665,773.0972044064714,862.5494505457599
100,804.8489839426264,770.9974824866482,847.326959486331
200,804.4516835065584,766.0924626595476,833.1285241871509
300,800.8571131724076,759.7542739627132,820.8114865401698
400,795.1928966884834,752.4105064243837,809.5619660388362
500,788.2081701675382,744.8205610629407,799.2705501658949
600,780.6106785221399,737.1272004145188,789.4313095720221
700,772.9777264557964,729.4612096141775,779.667332181811
800,764.937825084717,722.1093194463425,770.7670870199819
900,756.8979237136376,714.7574292785042,761.866841858153
1000,748.9043170856266,707.6061831584235,753.308280007347
1100,740.9589342837836,700.6639418419006,745.1056392720577
1200,733.0565063958102,693.7974451675503,736.9934626473204
1300,725.3821781673444,687.3331685312132,729.3616695446434
1400,717.7298478249746,680.8869929809822,721.7607739487203
1500,710.4204263403274,674.7229819411418,714.6415168475694
1600,703.1110048556804,668.5589709013017,707.5222597464186
1700,696.1652468708595,662.6071356276162,700.8050885916011
1800,689.2338170916304,656.6636599995956,694.1037594723667
1900,682.9147687365692,651.0406957601019,687.964226105029
2000,676.6921923992264,645.4682235491592,681.9131956993948
2100,670.469616061884,639.8957513382177,675.8621652937607
2200,664.2470397245414,634.3232791272745,669.8111348881266
2300,658.4374302166736,628.964247745005,664.107634405897
2400,652.8335078851892,623.7115252433543,658.5772288154407
2500,647.2295855537049,618.4588027417049,653.0468232249845
2600,641.6256632222204,613.2060802400543,647.5164176345281
2700,636.3011025935583,608.1490141004282,642.2242500590248
2800,631.2901220314125,603.3115698144702,637.1995017175144
2900,626.2791414692666,598.4741255285126,632.1747533760042
3000,621.2681609071208,593.6366812425557,627.1500050344939
3100,616.2571803449752,588.7992369565978,622.1252566929837
3200,611.4732328301973,584.111811651366,617.2949162147022
3300,606.9441271114711,579.5927808020658,612.6827961655875
3400,602.4150213927448,575.073749952766,608.0706761164729
3500,597.8859156740187,570.5547191034667,603.4585560673582
3600,593.3568099552924,566.0356882541666,598.8464360182436
3700,589.0098479419511,561.6325167528212,594.3898837102502
3800,584.8673399918307,557.3593959408558,590.1079542733083
3900,580.7248320417101,553.0862751288909,585.8260248363665
4000,576.5823240915896,548.8131543169252,581.5440953994247
4100,572.4398161414691,544.5400335049602,577.2621659624828
4200,568.4440102546275,540.3660715645204,573.1068406495573
4300,564.6128756247849,536.3034142346064,569.0936269046433
4400,560.7817409949425,532.2407569046918,565.0804131597292
4500,556.9506063651002,528.1780995747774,561.0671994148154
4600,553.1194717352578,524.1154422448632,557.0539856699014
4700,549.409167428701,520.1497098422535,553.1497945372662
4800,545.8344936700345,516.2927744753309,549.3679799425205
4900,542.2598199113679,512.4358391084079,545.5861653477746
5000,538.6851461527012,508.5789037414846,541.8043507530288
