% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:12"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,4500,2174.99606346235,2672.9999753635348,2639.5304436637084,2619.511665208336,2672.9999973917033,0.06441311132512427,32.077981417638405
72,10,4680,2174.88641323378,2672.9999682624234,2638.189615334649,2618.1710071770394,2672.999996197838,0.06441311224358932,32.08504433011339
72,10,4860,2174.8024336742847,2672.9999596540224,2636.848788458871,2616.830082090215,2672.999994687465,0.06441311335052587,32.09045371188441
72,10,5040,2174.736443717477,2672.9999491838944,2635.5079612831514,2615.4889694888952,2672.9999927743606,0.06441311472045462,32.09470433862418
72,10,5220,2174.645267985372,2672.999935497108,2634.167131214993,2614.148259247502,2672.9999901352635,0.06441311637815922,32.100577196032326
72,10,5400,2174.561878798158,2672.999918829756,2632.826304407803,2612.807505275531,2672.9999867943393,0.06441311848323315,32.10594852910584
72,10,5580,2174.4966588234142,2672.9998987701015,2631.4854797861094,2611.466551667687,2672.999982629282,0.06441312105935144,32.110149543164916
72,10,5760,2174.431882489796,2672.999876018152,2630.1446541005375,2610.125647278949,2672.9999777979187,0.06441312407873546,32.114322028828205
72,10,5940,2174.3549257267578,2672.9998497114407,2628.803826110042,2608.784998385845,2672.9999720715796,0.0644131275242009,32.11927907792088
72,10,6120,2174.2933806822903,2672.9998189751705,2627.462999383681,2607.44414220545,2672.999965204177,0.06441313148066148,32.12324338001165
72,10,6300,2174.24445522306,2672.999782908343,2626.1221726635636,2606.1031130612173,2672.999956933712,0.06441313615606656,32.12639483075574
72,10,6480,2174.182990441737,2672.9997390870208,2624.781343179059,2604.7623494906475,2672.999946561082,0.06441314108589094,32.130353606494104
72,10,6660,2174.1232567855322,2672.999688053046,2623.4405149151303,2603.421614534497,2672.9999341780203,0.06441314707290634,32.134200938441055
72,10,6840,2174.080797610548,2672.999626992592,2622.0996885537947,2602.0806511943842,2672.99991894138,0.06441315596708691,32.13693637190202
72,10,7020,2174.0360681448424,2672.999555675932,2620.7588616128833,2600.739764619963,2672.999900708232,0.0644131654385794,32.13981767015061
72,10,7200,2173.987705846734,2672.999474783604,2619.418034233238,2599.398969788856,2672.9998796123064,0.06441317491310783,32.14293235622992
72,10,7380,2173.94181931464,2672.999382607264,2618.0772073046383,2598.058170467838,2672.999855087076,0.06441318588093412,32.145887589653874
72,10,7560,2173.9001306077316,2672.999277103675,2616.7363810118427,2596.7173417903964,2672.999826446599,0.06441319903591147,32.148572661896715
72,10,7740,2173.8627402598945,2672.9991565608034,2615.395554954723,2595.376478676209,2672.999793080628,0.06441321435119708,32.150980973678834
