% Model,LargeGraphiteBlockDischarge_v3_finemesh_transient_k_10.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 9 2022, 18:29"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,1000,2175.4398359300767,2590.1239216058757,2662.9396010613227,2672.0568155025767,2672.9283246585796,2672.99536279397,2609.2863796641122,2666.189859788135,2672.4071796285375,2672.9566958923583,2672.997261934472,2436.904180979762,2638.025448700863,2669.1192886657973,2672.6610400529535,2672.9755869701034
10,1100,2175.3652988207327,2585.8126433365724,2661.760795217441,2671.8667374911647,2672.90687415583,2672.993494885774,2603.3833517400863,2665.11745112552,2672.2675657872805,2672.942621408231,2672.996108933985,2432.4984468263906,2635.4805027866573,2668.5636058109017,2672.582641695056,2672.9675223172517
10,1200,2175.293830703363,2581.613397024844,2660.5850550228247,2671.6665938960523,2672.8825128873186,2672.991193432895,2597.5408063692603,2664.0006221079757,2672.113818234384,2672.9260686381717,2672.9946530521825,2428.226874337883,2632.983752714333,2667.9997231778493,2672.498033241106,2672.9581193330223
10,1300,2175.2252091246582,2577.4844682187327,2659.4041023146515,2671.456736376056,2672.855302029344,2672.988430480088,2591.7576344018603,2662.840830472264,2671.946051400776,2672.906933535201,2672.992859461505,2424.0559830617954,2630.5111857811476,2667.425500080338,2672.407474286884,2672.9473682987486
10,1400,2175.158964433254,2573.3997174738115,2658.2110187126023,2671.2370642401984,2672.8252693753047,2672.985181450624,2586.033125801649,2661.63912239752,2671.764278919833,2672.885113556482,2672.9906941602585,2419.9661671936237,2628.0461466296624,2666.838651258246,2672.3110330082964,2672.9352561701276
10,1500,2175.0946957250467,2569.3435524549946,2657.0003514719865,2671.0072223984976,2672.7924047107535,2672.9814236978514,2580.366815085183,2660.39630892214,2671.5684338274013,2672.860503562254,2672.9881234974473,2415.946082960954,2625.577507484462,2666.2370392413186,2672.2086411125415,2672.921761409406
10,1600,2175.0323211726604,2565.3055660144914,2655.768097787727,2670.766728991626,2672.756662604679,2672.977134105802,2574.758401842452,2659.1130534557637,2671.3583897119124,2672.8329935612087,2672.9851137019145,2411.9893590168135,2623.0977490669,2665.618823585827,2672.10013558434,2672.906851599797
10,1700,2174.9719621073314,2561.2798932807273,2654.511244229942,2670.5150238725673,2672.7179667206924,2672.9722876356363,2569.2076761127523,2657.7899483924184,2671.1339768890302,2672.8024673877303,2672.981630452562,2408.0923478900154,2620.6022426609447,2664.9824615112448,2671.9852857502624,2672.890482824775
10,1800,2174.913663110895,2557.2648605293134,2653.227585920017,2670.251576591033,2672.676217136098,2672.96685669378,2563.714464136572,2656.4275664315724,2670.8949961699705,2672.768803057256,2672.977638540696,2404.252718865423,2618.0885100583137,2664.326725728252,2671.863839572417,2672.8726006408306
10,1900,2174.8572901362854,2553.259576577763,2651.9156326450097,2669.9758936187236,2672.6313003440578,2672.9608116854824,2558.2786196724005,2655.026465979766,2670.641229955457,2672.7318730127636,2672.9731016781857,2400.468932370503,2615.5551788722623,2663.6506727505434,2671.7355352608206,2672.8531430682915
