% Model,LargeGraphiteBlockDischarge_v3_finemesh_transient_k_10.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 10 2022, 23:49"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
1,0,2174.8733761871554,2367.296098444727,2575.266144965545,2663.7512822923445,2672.564748231296,2674.69225791427,2669.6501827704674,2671.9100318939327,2672.8456520946183,2672.9901432324004,2673.0300645359393,2273.5188208393515,2474.600350940814,2633.254360272184,2670.174255512026,2673.529179662801
1,100,2174.283275580898,2258.046587045631,2332.489520954445,2398.0416066151774,2454.839968207244,2503.188560554455,2655.088313288137,2659.3015605959913,2662.678594720259,2665.330200278219,2667.3971709115744,2218.6684335318237,2297.0874525935064,2366.9502990837173,2427.984162015276,2480.4226933098
1,200,2174.0706289827986,2244.4101258492615,2307.2580547625917,2363.2469670707624,2412.7068082482006,2456.0264936760373,2644.6667818976416,2650.025282101543,2654.5078039402006,2658.2044361175303,2661.2475879295766,2211.3352613979837,2277.3357849453755,2336.63402450072,2389.2405823729628,2435.5267858554816
1,300,2173.9730818951066,2237.915253112431,2295.317238747056,2346.8055768680865,2392.712057288342,2433.403306469463,2635.5293052502097,2641.8132577747797,2647.1764925851594,2651.696683062275,2655.5038539077,2207.8299594781906,2267.963714232532,2322.301609295791,2370.896020789804,2414.107482191652
1,400,2173.9061384398724,2233.608486590134,2287.4098839500534,2335.913383088069,2379.433191401324,2418.30782715684,2627.0001787437423,2634.1092632333443,2640.254468438491,2645.503976112646,2649.986786183333,2205.5026919609363,2261.7536904532553,2312.808745817381,2358.727848455917,2399.8484860585936
1,500,2173.8574162085124,2230.6274530062783,2281.939067404295,2328.3712679119612,2370.2182074248176,2407.7929733447418,2618.968900864895,2626.823137875436,2633.67297504532,2639.5790443674055,2644.670041935647,2203.8904422453675,2257.4563499670585,2306.238307851709,2350.29274819675,2389.9344565400474
1,600,2173.821655121843,2228.2141900316183,2277.5097567935636,2322.2609571859534,2362.7431163924757,2399.2470361279707,2611.199133294196,2619.757134692458,2627.271988821924,2633.7976439610634,2639.462772551689,2202.585344401551,2253.977289842139,2300.9169532269516,2343.4545812143356,2381.8844451359846
1,700,2173.791823239201,2226.185343858597,2273.786217202172,2317.122375475727,2356.4515756203086,2392.0448582039076,2603.6462706194384,2612.874098002252,2621.021788066251,2628.1372051418216,2634.3491540035498,2201.4880176779725,2251.052478344864,2296.442608315603,2337.7014468301613,2375.1045415098206
1,800,2173.7677127143415,2224.5205274672912,2270.7320761170095,2312.9067946880796,2351.2862224566575,2386.1239550070463,2596.3242381701702,2606.1858618529386,2614.9324243912793,2622.6062639537945,2629.3364335816436,2200.5872395067686,2248.6530224232265,2292.7722782152873,2332.9798857402407,2369.534455776558
1,900,2173.7458107791163,2223.1273817530378,2268.178946919837,2309.3837401169367,2346.968289082713,2381.1704330582807,2589.2074142259685,2599.6708127671795,2608.9863191547297,2617.191140287807,2624.4146175606743,2199.832916414189,2246.6463569021794,2289.7045664327197,2329.03352988251,2364.876307268744
