time,T_in
186,774.3512929999999
187,774.3508870000001
188,774.342246
189,774.332545
190,774.338845
191,774.324021
192,774.328813
193,774.328931
194,774.316185
195,774.307092
196,774.305975
197,774.287453
198,774.270904
199,774.269133
200,774.266814
201,774.264197
202,774.253247
203,774.254174
204,774.2573610000001
205,774.243604
206,774.23677
207,774.218438
208,774.241619
209,774.225216
210,774.215525
211,774.2038980000001
212,774.206906
213,774.197739
214,774.18899
215,774.198403
216,774.201245
217,774.202089
218,774.175423
219,774.163334
220,774.1426240000001
221,774.156272
222,774.137751
223,774.1443469999999
224,774.1496139999999
225,774.159017
226,774.146332
227,774.139803
228,774.139044
229,774.135882
230,774.148031
231,774.1259650000001
232,774.116207
233,774.118869
234,774.126941
235,774.112473
236,774.119936
237,774.093214
238,774.106658
239,774.074383
240,774.0648480000001
241,774.067974
242,774.066595
243,774.053805
244,774.0463030000001
245,774.061554
246,774.052212
247,774.046541
248,774.0408940000001
249,774.027818
250,774.029959
251,774.016323
252,774.00087
253,774.0178080000001
254,774.01164
255,773.986307
256,773.9736230000001
257,773.970045
258,773.9885059999999
259,773.973433
260,773.954568
261,773.9628650000001
262,773.969867
263,773.961274
264,773.941944
265,773.929176
266,773.931554
267,773.941492
268,773.920999
269,773.914079
270,773.9117269999999
271,773.907125
272,773.887202
273,773.862941
274,773.881329
275,773.884943
276,773.885313
277,773.879095
278,773.858376
279,773.864546
280,773.8453480000001
281,773.8434570000001
282,773.8440410000001
283,773.8483679999999
284,773.8530049999999
285,773.830929
286,773.842448
287,773.847025
288,773.839014
289,773.822657
290,773.809665
291,773.8232519999999
292,773.817392
293,773.812875
294,773.8086900000001
295,773.812851
296,773.81682
297,773.802154
298,773.8000040000001
299,773.798982
300,773.796938
301,773.763831
302,773.779213
303,773.770345
304,773.770261
305,773.766839
306,773.758766
307,773.767538
308,773.766054
309,773.772545
310,773.7677639999999
311,773.7603230000001
312,773.7581610000001
313,773.753096
314,773.75287
315,773.732875
316,773.7268730000001
317,773.735825
318,773.725922
319,773.731936
320,773.720371
321,773.727611
322,773.717671
323,773.704334
324,773.704594
325,773.6958
326,773.692564
327,773.675483
328,773.660733
329,773.678943
330,773.684743
331,773.670135
332,773.6639650000001
333,773.677408
334,773.67975
335,773.670229
336,773.653848
337,773.64731
338,773.6524919999999
339,773.637145
340,773.633591
341,773.62684
342,773.631832
343,773.637229
344,773.6320820000001
345,773.6220969999999
346,773.621705
347,773.622928
348,773.610259
349,773.610735
350,773.599714
351,773.606956
352,773.5875570000001
353,773.596543
354,773.5878769999999
355,773.5937849999999
356,773.590029
357,773.5819349999999
358,773.573675
359,773.575957
360,773.584289
361,773.579367
362,773.56899
363,773.562964
364,773.56312
365,773.568101
366,773.555002
367,773.555725
368,773.5541099999999
369,773.545183
370,773.533989
371,773.518596
372,773.539147
373,773.539349
374,773.527106
375,773.528972
376,773.525906
377,773.524991
378,773.508243
379,773.505699
380,773.4959299999999
381,773.517608
382,773.494645
383,773.504783
384,773.502835
385,773.511902
386,773.522245
387,773.504702
388,773.500197
389,773.490142
390,773.497417
391,773.481168
392,773.477271
393,773.496814
394,773.488241
395,773.485543
396,773.460415
397,773.462484
398,773.463707
399,773.45938
400,773.4435589999999
401,773.455719
402,773.4655019999999
403,773.430021
404,773.422331
405,773.416959
406,773.411527
407,773.3981570000001
408,773.399296
409,773.386577
410,773.379528
411,773.392175
412,773.408949
413,773.407414
414,773.399817
415,773.385626
416,773.392663
417,773.366894
418,773.37154
419,773.378911
420,773.3839849999999
421,773.3741660000001
422,773.363054
423,773.359405
424,773.368804
425,773.353308
426,773.331496
427,773.322758
428,773.331984
429,773.330081
430,773.317708
431,773.2923549999999
432,773.303005
433,773.318648
434,773.2927589999999
435,773.2937099999999
436,773.293271
437,773.287863
438,773.301057
439,773.286508
440,773.275634
441,773.289897
442,773.283276
443,773.270914
444,773.270037
445,773.268588
446,773.258921
447,773.270868
448,773.271473
449,773.2664110000001
450,773.263867
451,773.248787
452,773.2455769999999
453,773.2400759999999
454,773.237851
455,773.236866
456,773.22667
457,773.229522
458,773.233387
459,773.226315
460,773.218493
461,773.212693
462,773.213584
463,773.193904
464,773.201486
465,773.190598
466,773.184263
467,773.181613
468,773.1800450000001
469,773.163346
470,773.175672
471,773.161705
472,773.166517
473,773.1589349999999
474,773.173152
475,773.14553
476,773.143272
477,773.117922
478,773.128831
479,773.127762
480,773.121665
481,773.107332
482,773.111231
483,773.103208
484,773.119848
485,773.099549
486,773.0932280000001
487,773.07868
488,773.100322
489,773.089283
490,773.088841
491,773.097245
492,773.09594
493,773.081274
494,773.083566
495,773.073454
496,773.096394
497,773.088608
498,773.0977849999999
499,773.0915219999999
500,773.096932
501,773.086496
502,773.0632730000001
503,773.0656730000001
504,773.0579849999999
505,773.06206
506,773.054836
507,773.048357
508,773.046053
509,773.0251480000001
510,773.018554
511,773.012622
512,773.007525
513,773.025936
514,773.018508
515,773.012259
516,773.00917
517,773.00117
518,772.9866480000001
519,772.981909
520,772.9801980000001
521,772.97856
522,772.966044
523,772.972679
524,772.9646190000001
525,772.9705650000001
526,772.960155
527,772.9445049999999
528,772.9425349999999
529,772.941607
530,772.9367480000001
531,772.912004
532,772.912374
533,772.9136110000001
534,772.909085
535,772.896796
536,772.886341
537,772.9144610000001
