% Model,tin_tegs_model_5_insulation.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 5 2024, 18:48"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51",Temperature (degC)
0,797.7011916281898,771.0830904244564,805.603553200165,855.1547994099927
100,802.9270417686226,768.866953132679,806.1737891015854,838.9085582443212
200,799.8977733558442,763.9283500014632,802.7636494219227,831.4574140227272
300,795.5836112516237,757.6813554547506,798.0975232601558,825.0919713035008
400,790.2892604437413,750.4047108582499,792.5716559751044,819.106242881196
500,784.5616935624283,742.863515796693,786.6701551137531,813.1696976045365
600,778.0669398071415,735.2224882850397,780.1118541316376,807.1286455631731
700,771.5721860518544,727.5814607733855,773.5535531495219,801.0967951739855
800,765.0743778098386,719.9467370658523,766.9926164358764,795.0723281544787
900,758.3352651161906,712.8100138836974,760.223456931354,788.7972580029851
1000,751.5961524225421,705.6732907015421,753.4542974268314,782.5221878514914
1100,744.8570397288935,698.5365675193872,746.6851379223092,776.2471176999981
1200,738.2418794945693,692.010677574455,740.0436161363543,769.8383827116674
1300,731.6553236739352,685.6257491458045,733.4315492085302,763.3988019917591
1400,725.0687678533005,679.2408207171547,726.8194822807061,756.9592212718507
1500,718.4822120326662,672.8558922885043,720.207415352882,750.5196405519422
1600,711.8956562120323,666.4709638598545,713.595348425058,744.0800598320338
1700,705.6032054003025,660.6107893988759,707.2763133097176,737.7095399142775
1800,699.3786249752427,654.8717120073596,701.0249009203352,731.3549571047101
1900,693.1540445501829,649.132634615844,694.7734885309526,725.0003742951426
2000,686.9294641251233,643.3935572243274,688.5220761415702,718.645791485575
2100,680.7048837000638,637.6544798328118,682.2706637521877,712.2917416042324
2200,674.8125067396539,632.2898780730801,676.3534873876541,706.1508501043663
2300,668.9967921172404,627.0116937668373,670.5134424134701,700.0589453233912
2400,663.1810774948274,621.7335094605942,664.6733974392862,693.9670405424163
2500,657.3653628724142,616.4553251543507,658.8333524651022,687.8751357614414
2600,651.5496482500005,611.177140848108,652.9933074909181,681.7832309804663
2700,645.8879061443454,606.0993587839655,647.3058075576449,675.803099657318
2800,640.3207890014301,601.1447354178207,641.7120553211427,669.8916595493598
2900,634.8188777547765,596.2749804949815,636.1829044584589,664.0275544376027
3000,629.3821724043853,591.4900940154464,630.7183549695934,658.2107843220468
3100,624.0106729502552,586.7900759792165,625.318406854546,652.4413492026923
3200,618.7302549408782,582.1267929312369,620.0136439049413,646.771122793684
3300,613.5309448397808,577.5187975514532,614.7922778272335,641.1801107602066
3400,608.4077986836032,572.9752865546046,609.648465068184,635.6584017474485
3500,603.3608164723462,568.4962599406887,604.5822056277929,630.2059957554096
3600,598.3899982060087,564.0817177097081,599.5934995060603,624.8228927840901
3700,593.4864558095577,559.6981555122603,594.6746053275576,619.5261265417289
3800,588.6536151249834,555.3584873490231,589.8285069474955,614.3091315129917
3900,583.8931743700965,551.0691147954427,585.056683487234,609.1686531183888
4000,579.2051335448958,546.8300378515167,580.3591349467725,604.1046913579196
4100,574.5894926493818,542.6412565172469,575.7358613261115,599.1172462315849
4200,570.0186147583919,538.4682914682563,571.1603992754393,594.2095826157015
4300,565.503152317852,534.3244325020282,566.6429488948486,589.3804420881326
4400,561.0483858320763,530.2162674795499,562.1885664571323,584.6292008387627
4500,556.6543153010614,526.1437964008205,557.7972519622905,579.9558588675917
4600,552.3209407248095,522.1070192658401,553.4690054103229,575.3604161746198
4700,548.0372578340696,518.1307442340199,549.1883960315142,570.8218953531212
4800,543.8075081420527,514.2054091860163,544.9613715005439,566.3499449222141
4900,539.6337942014427,510.32627410129845,540.7908801282508,561.947100943674
5000,535.5161160122404,506.4933389798633,536.6769219146349,557.6133634175005
