% Model,tin_tegs_model_4_constin.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 4 2024, 17:34"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
0,793.6520623095888,772.0000000000001,844.8267928395725
1,793.674065103053,772.0000000000001,843.5643637588161
2,793.6960678965174,772.0000000000001,842.3019346780599
3,793.718070689982,772.0000000000001,841.0395055973037
4,793.7400734834465,772.0000000000001,839.7770765165473
5,793.7620762769104,772.0000000000001,838.5146474357911
6,793.7849643828532,772.0000000000001,837.4456537678501
7,793.8011417005617,772.0000000000001,836.5434467880342
8,793.8150820888583,772.0000000000001,835.6968353709268
9,793.8294713738225,769.3166120124881,834.8876385567131
10,793.8452073487903,758.5830600624404,834.1906855511803
11,793.8609433237574,747.8495081123926,833.4937325456477
12,793.8778981098142,722.4769663422173,832.8393748694813
13,793.8964421138729,678.016522968,832.2405576005239
14,793.9149861179309,633.5560795937831,831.6417403315664
15,793.9327301967411,592.0639559947449,831.088656914026
16,793.9499800120014,552.4059191055835,830.5638318565778
17,793.9657534952116,518.1749758643939,830.0530631350413
18,793.9743934539903,510.1673372669521,829.6102135618918
19,793.983033412768,502.15969866951036,829.1673639887425
20,793.9812911978104,499.65360230752884,828.7835015351674
21,793.9756079519043,499.2358690152945,828.4220303524097
22,793.9556861411684,499.2657578017331,828.1151023315734
23,793.9227724748762,499.70407548949385,827.8579417479565
24,793.8777657033851,500.00710809127486,827.6323267684296
25,793.8071710385939,500.023889950329,827.4734593726081
26,793.7296060601346,500.0365244310521,827.3263167474948
27,793.6004253714093,500.0184472553764,827.2659969536959
28,793.4712446826842,500.000370079701,827.2056771598967
29,793.3018104588219,499.99040594002344,827.1730508338381
30,793.1017537221538,499.98661371910765,827.1614920629062
31,792.8735491929538,499.98849464101875,827.1692982988433
32,792.6171968712226,499.9960487057552,827.1964695416497
33,792.3160896333582,500.001805710804,827.2292072948247
34,791.9611156134035,500.0016669642043,827.2599407078375
35,791.5648288463447,500.00127951152456,827.2991006543294
36,791.1272293321822,500.00064335276386,827.3466871343006
37,790.6466544807848,499.9998438200212,827.3966422815025
38,790.1074598496571,499.99968386110413,827.3919635079798
39,789.5202044618547,499.99962153631634,827.3711240057706
40,788.8848883173781,499.99965684565774,827.3341237748751
41,788.2015114162263,499.999789789128,827.2809628152933
42,787.4656408345712,499.999860941473,827.1724181250291
43,786.6777591244371,499.99988765714767,827.0127593779606
44,785.8393562125439,499.99992351973606,826.815169611045
45,784.9504320988914,499.999968529239,826.5796488242833
46,784.0191128410572,500.0000103571258,826.2996083221382
47,783.0635694342677,500.00002143508976,825.9603148647803
48,782.0689665453605,500.00002427070524,825.5737971010923
49,781.035304174336,500.00001886397206,825.1400550310735
50,779.9625823211952,500.0000052148902,824.6590886547243
51,778.9019023779136,500.0000022595501,824.151554348047
52,777.8283832909879,500.00000077804776,823.6073946081716
53,776.7372865905006,499.9999990145005,823.0246940348992
54,775.6286122764507,499.9999969689084,822.4034526282304
55,774.5023603488376,499.9999946412708,821.7436703881646
56,773.3585308076633,499.99999203158853,821.0453473147023
57,772.1971236529262,499.9999891398608,820.308483407843
58,771.0181388846265,499.9999859660887,819.5330786675871
59,769.8298782378306,499.9999829889188,818.7112157357423
60,768.7179630429634,499.9999847464878,817.7913676861805
61,767.606047848096,499.99998650405735,816.8715196366187
62,766.4941326532283,499.9999882616268,815.9516715870569
63,765.3822174583611,499.99999001919605,815.0318235374954
64,764.2703022634931,499.99999177676466,814.1119754879336
65,763.1583870686259,499.9999935343344,813.1921274383718
66,762.0464718737587,499.99999529190353,812.27227938881
67,760.9345566788912,499.99999704947294,811.3524313392483
68,759.8643243226396,499.99999836452076,810.423315516253
69,758.9003400170179,499.9999985515972,809.470576473397
70,757.9363557113963,499.9999987386733,808.5178374305411
71,756.9723714057747,499.99999892575,807.5650983876855
72,756.0083871001528,499.99999911282634,806.6123593448295
73,755.0444027945309,499.9999992999027,805.6596203019736
74,754.0804184889093,499.9999994869796,804.706881259118
75,753.1164341832875,499.9999996740561,803.7541422162623
76,752.1524498776661,499.99999986113227,802.8014031734064
77,751.2652581047571,499.9999999617072,801.8761402604749
78,750.4633038379565,499.99999996626656,800.9813750627451
79,749.6613495711556,499.99999997082625,800.0866098650152
80,748.8593953043553,499.99999997538634,799.1918446672854
