time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right,mass_flow,SOC,power
0.0,2672.9999999999995,2173.0000326686113,2173.003067411315,2177.1704894144805,2172.999999999993,4.895367680284909,0.0,607025.5526939618
0.014403648704360872,2672.9999999999995,2173.0000434368194,2173.0044668663704,2178.6852078508678,2172.9999999999914,4.895396221832514,1.6536620749322135e-05,607029.0787724017
0.028807297408721743,2672.9999999999995,2173.000052881744,2173.006091786964,2180.149964234583,2172.999999999989,4.8953962097987365,3.307328935079552e-05,607029.0658135245
0.057614594817443486,2672.9999999999995,2173.0000691083114,2173.009781536533,2182.982114580664,2172.999999999986,4.8953962229296675,6.614662570840649e-05,607029.0477417617
0.08642189222616524,2672.9999999999995,2173.0000815394915,2173.014350997348,2185.6198559982627,2172.9999999999845,4.895396221162017,9.921996115659525e-05,607029.0324303962
0.115229189634887,2672.9999999999995,2173.000093579997,2173.0193859909477,2188.1547934561167,2172.9999999999845,4.895396221004501,0.0001322932957889204,607029.0177929888
0.17284378445233048,2672.9999999999995,2173.000118423662,2173.0308491065925,2192.917373602,2172.9999999999864,4.895396221033939,0.00019843996261293987,607028.9876349823
0.230458379269774,2672.9999999999995,2173.0001437792034,2173.043332667695,2197.45500136039,2172.9999999999895,4.895396221031357,0.00026458662611662993,607028.9568515577
0.34568756890466096,2672.9999999999995,2173.0001944346577,2173.070946032178,2205.9470904986138,2172.9999999999977,4.895396221031729,0.00039687994306823005,607028.8953529311
0.460916758539548,2672.9999999999995,2173.0002441146953,2173.1004128324184,2214.0307309345208,2173.000000000006,4.895396221031687,0.0005291732467461153,607028.8350384657
0.5761459481744349,2672.9999999999995,2173.000292781474,2173.1313589738184,2221.788352315256,2173.000000000012,4.895396221031693,0.0006614665374133688,607028.7759541618
0.8066043274442088,2672.9999999999995,2173.000385997412,2173.197693794701,2236.324526350252,2173.0000000000155,4.895396221031687,0.000926053081207593,607028.662784581
1.0370627067139828,2672.9999999999995,2173.000494732062,2173.26764632552,2250.0634311310428,2173.0000000000127,4.8953962210316835,0.0011906395715683726,607028.5307743802
1.2675210859837571,2672.9999999999995,2173.0007359641127,2173.3407597660025,2263.1057525224373,2173.000000000001,4.895396221031692,0.00145522596933261,607028.2379046172
1.7284378445233048,2672.9999999999995,2173.032075891326,2173.497243098987,2286.926301397997,2172.9999999997945,4.895396221031692,0.001984382052950183,606990.189407028
2.189354603062853,2672.9999999999995,2173.208586204129,2173.661743392238,2308.9581891469197,2172.999999999295,4.895396221031696,0.0025134281477398337,606775.8956032975
2.6502713616024005,2672.9999999999995,2173.789259509502,2173.833352555577,2329.351899111182,2172.9999999987494,4.895396221031696,0.003042073561064408,606070.9243789131
3.5721048786814964,2672.9999999999995,2179.8106246633906,2174.1947452844315,2364.6816868104847,2172.9999999970164,4.895396221031696,0.004092377140819032,598760.6362604029
4.493938395760591,2672.9999999999995,2192.6751397325047,2174.566138817006,2394.769960289635,2172.9999999964634,4.895396221031696,0.005122692907907486,583142.3654436258
5.415771912839688,2672.9999999999995,2211.9927863145335,2174.9397253068455,2419.8541529096537,2173.0000000119585,4.895396221031701,0.006118948784184395,559689.6169925578
6.337605429918782,2672.9999999999995,2235.420042483409,2175.3094816050257,2440.325779585867,2173.000000052863,4.8953962210317,0.00706996572541934,531247.5630656306
8.181272464076978,2672.9999999999995,2280.662388734228,2176.014784980436,2468.214304674609,2172.9999999801057,4.895396221031698,0.00882664708708341,476320.71877064725
10.024939498235169,2672.9999999999995,2317.4668630346623,2176.6827582071687,2487.230721225741,2172.9999999198694,4.895396221031693,0.010409660453433618,431637.94263761054
11.868606532393358,2672.9999999999995,2345.1930464660377,2177.316701130431,2500.749948140525,2173.0000003964687,4.895396221031693,0.01185608217748408,397976.74054640107
15.555940600709741,2672.9999999999995,2379.915762863039,2178.486345813399,2517.956555187261,2172.999999394041,4.8953962210317,0.014484555229026495,355821.3397972102
19.243274669026125,2672.9999999999995,2403.009241607885,2179.5800529557387,2529.741155927613,2172.999993170139,4.8953962210317,0.016868269918465482,327784.51110986754
26.61794280565889,2672.9999999999995,2431.052752784141,2181.575055107439,2544.407148808406,2172.999996307956,4.895396221031708,0.021202733901911228,293738.0546479656
33.99261094229166,2672.9999999999995,2449.610281580079,2183.429404025659,2554.245610028981,2173.0000151488857,4.895396221031687,0.02514263735822692,271208.1334758123
48.741947215557204,2672.9999999999995,2471.969995840689,2186.8011451889497,2566.2006454900547,2173.000181628381,4.895396221031687,0.032329570077547005,244062.13762351725
63.491283488822724,2672.9999999999995,2486.621615077285,2189.9340701146625,2574.0790089197603,2173.001812282658,4.895396221031698,0.03888976951953435,226274.21822569697
81.49128348882273,2672.9999999999995,2498.854658965245,2193.5146299531293,2580.6791789171507,2173.014095395288,4.895396221031696,0.04634020916004182,211422.5902141296
99.49128348882273,2672.9999999999995,2508.3630045496398,2196.9436838098177,2585.816958811189,2173.047257972737,4.8953962210317,0.053341349910346274,199878.90469168674
117.49128348882273,2672.9999999999995,2515.5841829157152,2200.2256770683484,2589.724343197603,2173.1187045417514,4.895396221031696,0.05999676498593576,191111.97342908548
135.49128348882272,2672.9999999999995,2521.170868761374,2203.3912079261263,2592.7511073027026,2173.231965500726,4.895396221031689,0.0663874978440653,184329.41131640665
153.49128348882272,2672.9999999999995,2525.715078542532,2206.4596635899825,2595.214018983096,2173.409282136046,4.895396221031693,0.07256886965065398,178812.47588362347
171.49128348882272,2672.9999999999995,2529.5896619649466,2209.4453865846967,2597.313153304625,2173.6765074000673,4.895396221031701,0.07857626203205353,174108.50586467196
