% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk_Ar.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 20 2024, 16:05"
% Table,Accumulated Probe Table 24 - 
% run_num,H (m),D_C (m),k_C (W/(m*K)),U_Ar (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
1,2,0.2,10,5,427223.0769230769,2172.9999999999995,2476.1218363085436,2398.9701215541645,2380.396713793042,2480.1441253868215
1,2,0.2,10,5,440169.2307692307,2172.9999999999995,2469.1774902959173,2393.662597010937,2375.5119838577716,2473.120677868097
1,2,0.2,10,5,453115.3846153845,2172.9999999999995,2462.3706324470854,2388.480012725851,2370.7443896064547,2466.234800553761
1,2,0.2,10,5,466061.5384615384,2172.9999999999995,2455.702973275489,2383.41938156718,2366.0900950776154,2459.4869985325963
1,2,0.2,10,5,479007.69230769225,2172.9999999999995,2449.174537929134,2378.478221330613,2361.552063123993,2452.8776426704426
1,2,0.2,10,5,491953.84615384607,2172.9999999999995,2442.784713048501,2373.652907246565,2357.1240227345957,2446.4071426893815
1,2,0.2,10,5,504899.9999999999,2172.9999999999995,2436.5588713852376,2368.962392203565,2352.818783706569,2440.1019057726453
1,2,0.2,10,5,517846.15384615376,2172.9999999999995,2430.473360173157,2364.386053030584,2348.6163173259642,2433.9381963943983
1,2,0.2,10,5,530792.3076923076,2172.9999999999995,2424.5217472230843,2359.9176588692053,2344.511633129844,2427.9096399655164
1,2,0.2,10,5,543738.4615384615,2172.9999999999995,2418.7009934361695,2355.553969422631,2340.502477576418,2422.013294618362
1,2,0.2,10,5,556684.6153846153,2172.9999999999995,2413.0088106129288,2351.2924092761423,2336.587435475216,2416.2469237666
1,2,0.2,10,5,569630.7692307691,2172.9999999999995,2407.4431836004865,2347.130576354979,2332.76545499093,2410.608475584939
1,2,0.2,10,5,582576.923076923,2172.9999999999995,2402.002231356971,2343.06614432001,2329.0348923089996,2405.0959634076335
1,2,0.2,10,5,595523.0769230768,2172.9999999999995,2396.6840487530258,2339.0968235863415,2325.392815957201,2399.707394445495
1,2,0.2,10,5,608469.2307692306,2172.9999999999995,2391.4866281297104,2335.2203546289375,2321.8358428571496,2394.4407151975956
1,2,0.2,10,5,621415.3846153845,2172.9999999999995,2386.4078245077535,2331.434516372376,2318.3613692891927,2389.293777387324
1,2,0.2,10,5,634361.5384615384,2172.9999999999995,2381.4453526852917,2327.7371598711547,2314.967971812816,2384.2643310975986
1,2,0.2,10,5,647307.6923076923,2172.9999999999995,2376.5968172824932,2324.1262105214155,2311.654388172302,2379.350043157491
1,2,0.2,10,5,660253.846153846,2172.9999999999995,2371.859758412443,2320.5996637745106,2308.418966669632,2374.548530485173
1,2,0.2,10,5,673199.9999999999,2172.9999999999995,2367.231696541417,2317.155569067808,2305.259690402104,2369.8573965689825
1,2,0.2,10,5,686146.1538461538,2172.9999999999995,2362.710184227235,2313.7920167511065,2302.1743972172767,2365.274261922266
1,2,0.2,10,5,699092.3076923075,2172.9999999999995,2358.2928546305657,2310.507129677208,2299.160960838511,2360.796785595552
1,2,0.2,10,5,712038.4615384614,2172.9999999999995,2353.9774541840043,2307.2990640880444,2296.217509077161,2356.422678651918
1,2,0.2,10,5,724984.6153846153,2172.9999999999995,2349.7618223282734,2304.1660122000712,2293.3424707697645,2352.1497057415627
