% Model,tin_tegs_model_6_Rcont.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 6 2024, 12:18"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
0,798.0091125457526,771.0934808321169,852.3925860501109
100,822.9347250247873,768.8814007223903,839.8302305936285
200,823.566743877993,763.9188080548826,825.6500523204583
300,817.541336882606,757.6845431567366,812.9063584356769
400,808.3678673544819,750.3522202524097,801.3695431448997
500,798.6249330600511,742.8237319999856,790.4978733041245
600,788.581003345025,735.1956768351816,780.7237867879988
700,778.5370736299986,727.5676216703772,770.9497002718737
800,768.6626933367294,720.0190629162331,761.365520498635
900,759.5625681691807,712.8335281275596,752.648558481527
1000,750.4624430016318,705.6479933388881,743.9315964644185
1100,741.4091910400583,698.4918482013271,735.2579368244664
1200,733.3147750994364,691.9368963370268,727.4700685048662
1300,725.2203591588144,685.3819444727264,719.6822001852661
1400,717.1259432181926,678.8269926084254,711.894331865666
1500,709.4368200324918,672.5461738565015,704.4688223014343
1600,701.9958284161063,666.4331870693715,697.2651589102051
1700,694.7741002060625,660.4685063135762,690.2575316288127
1800,687.7716354023605,654.6521315891142,683.4459404572572
1900,680.9884340049999,648.9840628959861,676.8303853955388
2000,674.411496697599,643.3308587266123,670.3842530781511
2100,668.0479885615802,637.7660705846887,664.122212501922
2200,661.8989314602629,632.3001881742829,658.0463557170203
2300,655.9643253936478,626.933211495398,652.1566827234461
2400,650.2441703617342,621.6651405480311,646.4531935211991
2500,644.6100925265761,616.44109076208,640.8248790574095
2600,639.1328501476345,611.2913139140273,635.3329263113806
2700,633.8225345645133,606.2201244252906,629.9860615942483
2800,628.6791457772129,601.2275222958701,624.7842849060125
2900,623.7026837857328,596.3135075257667,619.7275962466736
3000,618.7669914529298,591.4832798074532,614.7151184747288
3100,613.9416052169569,586.733973127145,609.8024539704319
3200,609.2364421647751,582.0651787421937,604.9975325854525
3300,604.6515022963841,577.4768966525979,600.300354319791
3400,600.1867856117846,572.9691268583584,595.710919173447
3500,595.7587598744115,568.4724455594818,591.1589478160337
3600,591.4134671420762,564.0251183974046,586.6831774480106
3700,587.1574738007381,559.6326027079333,582.2891326575756
3800,582.9907798503979,555.2948984910669,577.9768134447291
3900,578.9133852910547,551.0120057468049,573.746219809471
4000,574.8637463135257,546.7570646327262,569.5434732005369
4100,570.8757851942498,542.5448800010452,565.3982708877973
4200,566.9543398308002,538.3775632772364,561.3148482105303
4300,563.099410223177,534.2551144612996,557.293205168736
4400,559.3109963713797,530.1775335532357,553.3333417624143
4500,555.5451789792618,526.1336032932634,549.3982045027582
4600,551.8261658838858,522.1295065126417,545.5082168687011
4700,548.1574095373998,518.1661249889947,541.6662915981118
4800,544.538909939804,514.2434587223219,537.87242869099
4900,540.9706670910983,510.36150771262317,534.1266281473357
5000,537.4277676722807,506.52271098891237,530.4109521801936
