% Model,LargeGraphiteBlockDischarge_v3_finemesh.mph
% Version,COMSOL 5.6.0.401
% Date,"Apr 30 2022, 12:31"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s) (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,1000,2178.5201097420204,2659.625249014932,2672.87064141551,2672.9992293406017,2673.0000005694137,2673.0000040860555,2602.039951325829,2672.1445099692287,2672.994269755146,2672.9999745565365,2673.0000018697033,2524.6313025458107,2670.0996747531262,2672.9750081310685,2672.9998635453935,2673.000003264463
10,1100,2178.1900359188276,2657.5559311544666,2672.8324666054114,2672.9988867531506,2672.999998695803,2673.000004265063,2595.122485349951,2671.9305250662537,2672.9919806499456,2672.9999596329612,2673.000001990595,2518.040634770644,2669.565708025651,2672.96692288913,2672.9997977392754,2673.0000030814153
10,1200,2177.8778029986115,2655.339069432058,2672.78702727353,2672.998436364044,2672.999995912223,2673.000004438246,2588.2365384337027,2671.6856951422883,2672.989064543489,2672.9999385608967,2673.0000020712214,2511.5049376200154,2668.978407668388,2672.957094912778,2672.9997095143135,2673.0000027224037
10,1300,2177.5844947213973,2652.9760133474592,2672.7334919885616,2672.997854549908,2672.9999919169486,2673.0000046031328,2581.384206898422,2671.4080328067093,2672.985409188217,2672.9999095324233,2673.0000020950547,2505.0270753615537,2668.336086448508,2672.9452837384374,2672.999593455341,2673.0000021260457
10,1400,2177.3126389713907,2650.4684026787277,2672.670996189565,2672.9971143280563,2672.999986336417,2673.0000047561452,2574.5675709675725,2671.095584305851,2672.980890383009,2672.999870366487,2673.000002040517,2498.608815466488,2667.637179947492,2672.931232146301,2672.999443250032,2673.0000012146556
10,1500,2177.062061892642,2647.817463890963,2672.5986314001607,2672.996185039716,2672.9999787109123,2673.000004892784,2567.788696333479,2670.746425079909,2672.975371392507,2672.999818457655,2673.0000018796354,2492.2516640603376,2666.8801207807733,2672.914664534681,2672.9992515958625,2672.999999890778
10,1600,2176.829636984193,2645.024657376792,2672.515460206279,2672.9950318132724,2672.9999684789927,2673.000005007819,2561.0496220160235,2670.358669645923,2672.968702590419,2672.9997507178614,2673.0000015767732,2485.9572058186804,2666.0634537054257,2672.8952880578463,2672.999010070032,2672.999998034287
10,1700,2176.61173803467,2642.091791671205,2672.4205307279517,2672.9936157086213,2672.999954965593,2673.000005093911,2554.3523605283594,2669.93047210836,2672.96072126256,2672.9996635207713,2673.000001087006,2479.7270530087662,2665.1857883349044,2672.8727942627274,2672.9987090815375,2672.9999954984332
10,1800,2176.406399415004,2639.0210145558876,2672.3128491953503,2672.9918932412893,2672.999937362459,2673.0000051412926,2547.698893271138,2669.460031905142,2672.951251069813,2672.9995526382954,2673.0000003542323,2473.562693736938,2664.2458200016263,2672.846855563521,2672.9983377398985,2672.9999921044628
10,1900,2176.213569549258,2635.8158413918095,2672.1913632129626,2672.9898156777417,2672.999914706934,2673.000005138045,2541.0911533534804,2668.9456111610584,2672.9401014183313,2672.9994131689377,2672.999999309097,2467.465540688172,2663.24244345047,2672.8171227643134,2672.9978836985733,2672.9999876373313
10,2000,2176.033505898618,2632.4795545514185,2672.054993864073,2672.987328997136,2672.999885867859,2673.000005069736,2534.5310297629985,2668.3855311835787,2672.927067166385,2672.9992394663486,2672.999997866689,2461.437059242023,2662.1746543508984,2672.783227871608,2672.9973330605512,2672.9999818407186
10,2100,2175.8655050695784,2629.014834498448,2671.9026594106213,2672.9843737837227,2672.999849523156,2673.0000049179703,2528.02036947309,2667.778170727381,2672.91192854127,2672.9990250652486,2672.9999959238507,2455.4786210110933,2661.0415362780996,2672.744787870404,2672.9966702710303,2672.9999744104266
10,2200,2175.7080958686497,2625.4243333620375,2671.733244478236,2672.980884327637,2672.999804128007,2673.0000046601176,2521.560976814513,2667.1219673418454,2672.8944506278453,2672.998762593479,2672.999993356068,2449.5915053535387,2659.8421758282802,2672.7014004174234,2672.9958779363023,2672.9999649869765
10,2300,2175.55999075154,2621.7122028631507,2671.5456454050327,2672.9767891050774,2672.9997478921478,2673.0000042693173,2515.1545987246045,2666.4154319096115,2672.87438363032,2672.9984436921472,2672.999990014223,2443.776837601059,2658.575853665854,2672.652648940813,2672.994936757708,2672.999953148879
10,2400,2175.4205292988895,2617.8821799193133,2671.33871153628,2672.972010219363,2672.999678758356,2673.000003712655,2508.802930378292,2665.6571434074,2672.8514623616743,2672.9980589278184,2672.999985720847,2438.0356647578733,2657.2419280133095,2672.59809826399,2672.993825361974,2672.9999384053244
10,2500,2175.2894343435446,2613.9386133475264,2671.1112488588988,2672.9664623719036,2672.9995943540084,2673.0000029503294,2502.5076027790346,2664.845761017218,2672.825405875852,2672.9975976924343,2672.999980265674,2432.3691410576153,2655.839914000018,2672.537292638953,2672.992520121876,2672.999920184256
10,2600,2175.1663676339977,2609.886408600283,2670.8620761318894,2672.9600528587825,2672.9994919876485,2673.0000019349254,2496.270179127334,2663.980028972927,2672.7959178639735,2672.9970481055057,2672.9999734013545,2426.778110906602,2654.3695290823994,2672.46976362726,2672.9909950713954,2672.9998978279846
10,2700,2175.0507610437385,2605.7291392878024,2670.5900249055985,2672.95268242715,2672.9993685822374,2673.000000609563,2490.0921715904874,2663.058760692552,2672.762686524787,2672.996396925372,2672.9999648381363,2421.2632084931215,2652.830417288586,2672.395026473889,2672.989221840081,2672.9998705781377
10,2800,2174.9419488089243,2601.4709774960897,2670.2938462337725,2672.9442432515057,2672.999220650516,2672.9999989062744,2483.9750290708794,2662.0808505785617,2672.7253834443068,2672.9956294304498,2672.999954238235,2415.825144935226,2651.22233072653,2672.3125693600828,2672.987169327243,2672.999837564604
10,2900,2174.839366222769,2597.116738622022,2669.9723655852376,2672.934619903889,2672.9990442307376,2672.9999967443187,2477.920129540574,2661.0452797761413,2672.6836652078755,2672.994729323765,2672.99994120926,2410.46461382864,2649.54516459045,2672.221878063977,2672.9848036977546,2672.999797791785
10,3000,2174.7426207128574,2592.6706579315673,2669.6244091130548,2672.9236886058397,2672.998834905837,2672.999994030936,2471.928791009799,2659.9511061765006,2672.6371733799656,2672.9936786104613,2672.9999252981006,2405.1822066057503,2647.7988582128814,2672.1224283535803,2672.9820881162645,2672.9997501341636
10,3100,2174.651429258312,2588.1380269420283,2669.248723986602,2672.9113157163933,2672.9985876516967,2672.999990654625,2466.002255940798,2658.797480206003,2672.58553353135,2672.9924574652464,2672.9999059823167,2399.9785156057733,2645.983604473677,2672.0136699000623,2672.978982464551,2672.999693305302
10,3200,2174.5655066161708,2583.524530937676,2668.844079243292,2672.8973598731795,2672.99829693756,2672.999986487268,2460.141690667657,2657.5836463935834,2672.528355677522,2672.9910441363936,2672.9998826636347,2394.8540234506117,2644.099700614656,2671.8950377380274,2672.9754436646667,2672.9996258639158
10,3300,2174.4845076264587,2578.8342194454767,2668.4093330138444,2672.8816727733497,2672.9979566300967,2672.9999813802883,2454.3481997467916,2656.308928423659,2672.465235463666,2672.9894148515327,2672.999854659042,2389.808976441486,2642.147392812855,2671.7659661381585,2672.971425423195,2672.999546189036
10,3400,2174.4080595645446,2574.071397137323,2667.9432356404013,2672.864093671994,2672.997559837764,2672.9999751608825,2448.6228237340283,2654.9727331070494,2672.395752694607,2672.9875436522425,2672.9998211905063,2384.8434835146036,2640.1269800493396,2671.6258626475596,2672.9668775188898,2672.9994524528665
10,3500,2174.3358342476513,2569.241445841848,2667.4446219492174,2672.8444518907036,2672.997098870815,2672.9999676304815,2442.966521811763,2653.574564096929,2672.3194731286167,2672.9854022803984,2672.9997813747123,2379.9576368942685,2638.0389728517953,2671.4741321721963,2672.96174617557,2672.999342605594
10,3600,2174.267583406519,2564.3487728713253,2666.9123678781752,2672.822567608604,2672.9965652730057,2672.999958562409,2437.3801969656542,2652.1139972385313,2672.2359487986673,2672.982960040634,2672.999734212756,2375.1516048595618,2635.8838308310524,2671.310174542811,2672.955973660259,2672.9992143674
10,3700,2174.203109083622,2559.3988130149437,2666.345346761744,2672.7982477342507,2672.995949634718,2672.9999476952175,2431.864672593689,2650.5907033195967,2672.144718029828,2672.980183615295,2672.9996785764583,2370.4255665198257,2633.662259513172,2671.133375777454,2672.949497566308,2672.999065182763
10,3800,2174.142207965574,2554.3969215727916,2665.7425221601507,2672.7712931496367,2672.9952417916065,2672.9999347327657,2426.4206951993347,2649.004444975599,2672.045307190131,2672.977036998796,2672.999613198011,2365.7795426426405,2631.37507351909,2670.9431247656844,2672.942251885639,2672.9988922313046
10,3900,2174.0846496683,2549.346994232956,2665.102797820329,2672.741498384778,2672.994430641337,2672.9999193355147,2421.0489538772435,2647.35505931058,2671.937229970123,2672.9734813976215,2672.9995366567337,2361.2134380057946,2629.022971542671,2670.738795722653,2672.934166734987,2672.998692398764
10,4000,2174.0302025158358,2544.253397895864,2664.4249398897146,2672.7086432949295,2672.9935037323003,2672.9999011220148,2415.750074306146,2645.6424647462304,2671.819985765323,2672.969475055104,2672.9994473617508,2356.727115251205,2626.606679808676,2670.5197355077794,2672.9251674715247,2672.998462213672
10,4100,2173.978669019459,2539.121875812876,2663.707758761875,2672.6724984115212,2672.9924475625703,2672.999879660405,2410.5245968209238,2643.8666803202655,2671.693060393402,2672.964973176162,2672.9993435385104,2352.32033041498,2624.1273067412158,2670.285279921313,2672.9151757044037,2672.9981978657056
10,4200,2173.9298919478206,2533.9568569169464,2662.9503193006253,2672.632820568183,2672.991247659549,2672.999854454116,2405.373006465452,2642.027794772588,2671.5559294423274,2672.959927719344,2672.9992232142386,2347.992714937078,2621.5858183064843,2670.0347831614454,2672.904107681504,2672.997895172815
10,4300,2173.883730551508,2528.763008045301,2662.151701868424,2672.589351317673,2672.9898880435644,2672.9998249532086,2400.2957177631997,2640.1259809019402,2671.4080585885245,2672.954287189253,2672.999084196426,2343.7439098706636,2618.9832679238402,2669.7675963472575,2672.891873240922,2672.9975495128497
10,4400,2173.840037190057,2523.5446016771043,2661.3110144070633,2672.5418266763395,2672.988351534051,2672.999790541666,2395.2930781224063,2638.1614910868384,2671.248904734221,2672.947996568533,2672.9989240585705,2339.5735629824107,2616.3208226884917,2669.4830789518414,2672.8783781534576,2672.9971558600087
10,4500,2173.7986572596747,2518.305225499893,2660.427421704313,2672.489982352048,2672.9866195469062,2672.999750526735,2390.365382450234,2636.1346420470104,2671.077916825527,2672.9409973030492,2672.9987401214607,2335.4813265093776,2613.599627808955,2669.180595978674,2672.8635241585202,2672.9967087356895
10,4600,2173.7594456868806,2513.049496513171,2659.499964102707,2672.4335326616665,2672.9846714389937,2672.999704143443,2385.512862901766,2634.045827563446,2670.8945332324924,2672.933227031638,2672.9985294244075,2331.466819824025,2610.820876009892,2668.859476040543,2672.8472068988017,2672.99620208425
10,4700,2173.722278473167,2507.7830591125426,2658.5277648053375,2672.3721783736873,2672.982485083049,2672.999650524013,2380.735676743932,2631.8955281485805,2670.69818435788,2672.9246194996886,2672.9982887060382,2327.5295295591845,2607.9859090014033,2668.5190488291687,2672.829316713837,2672.995629303449
10,4800,2173.687048611861,2502.5087043177464,2657.5099857639984,2672.305612501997,2672.9800370141156,2672.9995887154696,2376.0339417157847,2629.6842774427973,2670.488292886055,2672.9151044339064,2672.998014384686,2323.6688983017325,2605.095895046847,2668.1586493668597,2672.8097384462967,2672.9949832250063
10,4900,2173.6536539081094,2497.230542399812,2656.445923287803,2672.2335140473883,2672.977301678791,2672.9995176403927,2371.4077048083445,2627.4126886427325,2670.2642761246398,2672.9046073317036,2672.9977025308394,2319.884345057433,2602.1523113047333,2667.7776364327856,2672.788351013385,2672.994256062987
10,5000,2173.6219902341877,2491.95332841098,2655.3348334369807,2672.155558588914,2672.9742525410707,2672.999436111451,2366.8569515037966,2625.0814465968174,2670.02554583014,2672.8930494383517,2672.9973488558408,2316.1752427608426,2599.156637691561,2667.3753673652286,2672.7650286916287,2672.993439541861
10,5100,2173.5919549881983,2486.680108154333,2654.176051567198,2672.0714157210814,2672.9708612354743,2672.9993428306007,2362.3816289146125,2622.6912856817953,2669.771508431734,2672.880347665694,2672.9969486873583,2312.5408233165995,2596.1102600355707,2666.9511827974397,2672.7396397878406,2672.9925247431147
10,5200,2173.5634542709927,2481.4140714778605,2652.96892088645,2671.980724630933,2672.9670955360643,2672.9992363722727,2357.981630509643,2620.243003430279,2669.5015660002236,2672.8664142161406,2672.996496918227,2308.980351189284,2593.014630010908,2666.5044336832534,2672.712044651657,2672.991501772797
10,5300,2173.5364053487265,2476.1597067513608,2651.712930473656,2671.883134960273,2672.9629213756734,2672.9991151270888,2353.6567829553765,2617.7374704815093,2669.215117934322,2672.8511568218173,2672.9959879844027,2305.493160489193,2589.8713785650766,2666.034494766736,2672.682100732819,2672.9903599699305
10,5400,2173.510732767337,2470.920181055346,2650.407690291416,2671.778288946453,2672.9583029207656,2672.99897735396,2349.4068729390833,2615.1756035588,2668.9115625305462,2672.8344785540085,2672.995415835947,2302.0784749031864,2586.682106934627,2665.5407560423537,2672.6496583983158,2672.9890878775564
10,5500,2173.4863632331353,2465.698416662708,2649.0525411282456,2671.66580102844,2672.953202511613,2672.9988211290683,2345.231641381849,2612.558374233932,2668.590295092459,2672.816277504428,2672.9947739107056,2298.7355497374137,2583.448372290622,2665.0225750749287,2672.614560439321,2672.987673244266
10,5600,2173.463224342279,2460.4979371782233,2647.6470192348197,2671.545269046806,2672.94758040634,2672.9986443713487,2341.130782060341,2609.8868078921164,2668.2507112625867,2672.7964466876274,2672.9940551043474,2295.463648394601,2580.1716536463746,2664.479337863528,2672.5766441230926,2672.986102965639
10,5700,2173.4412470905936,2455.321511619427,2646.1908738811817,2671.416304729245,2672.9413943780246,2672.9984447440193,2337.1039510495043,2607.161971307808,2667.8922082828212,2672.774874213859,2672.9932517441343,2292.2618910530846,2576.853442490484,2663.9104617583266,2672.535743686925,2672.984363065304
10,5800,2173.4203683686596,2450.1719756088587,2644.683811693584,2671.278502402656,2672.934597374717,2672.9982197455283,2333.1507615285727,2604.38497964713,2667.514183025537,2672.7514430050887,2672.9923555364644,2289.129388852148,2573.49539009428,2663.3153554624596,2672.4916846792366,2672.9824383368214
