% Model,tin_tegs_model_5_insulation.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 5 2024, 16:00"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51",Temperature (degC)
0,797.7010822634174,775.4694133508408,805.6024089209719,855.2052168870206
100,796.7184480396832,774.8404828181975,805.3890872778501,842.1168452890198
200,794.6279509693251,774.2873590382213,803.7191215159438,835.7301247530498
300,792.5151074294772,773.8095641719324,801.0550185835006,830.5122692142039
400,790.4327182571867,773.4327488576423,798.1890296003538,825.777152877285
500,788.3837187079941,773.0489921662077,795.2718551142842,821.0949730554822
600,786.3652337950407,772.6596028674132,792.3625684895693,816.4481015226248
700,784.4037788758968,772.2992285588705,789.5282482464023,811.8630561000958
800,782.4645925350426,771.9431695688171,786.726168947548,807.3038708409375
900,780.5988683791879,771.6448722263433,784.0198539781037,803.018814375844
1000,778.7502617073542,771.360033972779,781.3358531336552,799.0514431759574
1100,776.7578544300292,770.3560259298893,778.6524092598969,795.2111033666437
1200,774.7638887603308,768.9637608891054,775.969953326687,791.3742340766904
1300,772.1716258560645,764.1072792951852,773.1760030379588,787.5673160645414
1400,768.3950382294624,757.6204426308354,769.788495449991,783.7696283485772
1500,763.7225282195714,750.2516044422782,765.7649046310868,779.9074119270969
1600,758.421840307972,742.5978619429625,761.217941004014,775.9375612479781
1700,752.7425273088866,734.9257337485473,756.3023472536835,771.8456137805046
1800,746.7205714921126,727.3575044531149,750.980020210506,767.5227484207618
1900,740.6355794239751,719.8574130902481,745.5653610955727,763.1266575411202
2000,734.4555017960939,712.5710663356209,739.9767625598398,758.5596826677898
2100,728.270916031838,705.4285529353228,734.331382797328,753.8978768080918
2200,722.0824433971421,698.4100512256001,728.6370468246345,749.1543086131335
2300,716.0166755641126,691.8415063756038,722.9223379569593,744.1915375565131
2400,709.9692459902133,685.3402076755469,717.2045843557256,739.1960065848383
2500,703.9218164163138,678.838908975491,711.4868307544921,734.2004756131636
2600,697.9850096377604,672.5794418262291,705.8130460968972,729.1259005579209
2700,692.1439892992987,666.5293725978959,700.1773334168964,723.9828825443199
2800,686.3029689608359,660.4793033695611,694.5416207368954,718.8398645307188
2900,680.511781404663,654.5142008481052,688.9362852048974,713.6861676810933
3000,674.9175835967644,648.8849730145666,683.4510310021664,708.4902572298256
3100,669.323385788866,643.2557451810276,677.9657767994353,703.2943467785576
3200,663.7291879809673,637.6265173474889,672.4805225967042,698.09843632729
3300,658.3228319708512,632.2405005213391,667.1387595134742,692.920587822972
3400,652.9450778560029,626.8915164314773,661.8188452307791,687.7594231990588
3500,647.5673237411544,621.5425323416156,656.4989309480839,682.5999944478378
3600,642.3384313195995,616.36799819331,651.3087228842602,677.5157020070468
3700,637.2395419165517,611.3458136419971,646.231789092678,672.4928454275697
3800,632.1406525135036,606.3236290906838,641.154855301096,667.4699888480925
3900,627.0417631104556,601.3014445393696,636.0779215095138,662.4471322686153
4000,621.9428737074076,596.2792599880569,631.0009877179315,657.4242756891383
4100,617.0075687410181,591.4593778569026,626.0684579467397,652.4914269702933
4200,612.2151243727833,586.8161692855471,621.2620382453717,647.6371833869449
4300,607.4226800045483,582.1729607141926,616.4556185440035,642.7829398035964
4400,602.6302356363135,577.529752142838,611.6491988426354,637.9286962202481
4500,597.8377912680791,572.8865435714829,606.8427791412674,633.0744526368997
4600,593.1966447954275,568.3970274800264,602.1805801293845,628.3329956508126
4700,588.6876289111401,564.0417332012249,597.6443310818573,623.6900367925296
4800,584.1786130268528,559.686438922422,593.1080820343302,619.0470779342467
4900,579.6695971425646,555.33114464362,588.5718329868031,614.4158080878763
5000,575.1605812582771,550.9758503648176,584.035583939276,609.7858532779871
