% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:13"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
0,1066.169848514648,1044.262846196926,1123.0245779016152
1,1066.183941402927,1044.255769640607,1122.7377416050015
2,1066.1980342912066,1044.2486930842879,1122.4509053083877
3,1066.2121271794858,1044.2416165279687,1122.1640690117738
4,1066.226220067764,1044.2345399716503,1121.87723271516
5,1066.2403129560435,1044.227463415332,1121.5903964185463
6,1066.2430214738451,1044.2116864010418,1121.3289977329346
7,1066.2457299916462,1044.1959093867515,1121.067599047323
8,1066.2484385094479,1044.1801323724615,1120.8062003617113
9,1066.2511470272493,1044.1643553581705,1120.5448016760997
10,1066.253855545051,1044.148578343881,1120.283402990488
11,1066.2586139139507,1044.1349281395242,1120.031509933008
12,1066.2640555665503,1044.1219868718126,1119.7827854182383
13,1066.2701805028487,1044.1097545407451,1119.5372294461793
14,1066.2769887228471,1044.0982311463226,1119.2948420168307
15,1066.2844802265452,1044.0874166885453,1119.0556231301928
16,1066.2926550139416,1044.0773111674112,1118.819572786265
17,1066.3015130850386,1044.0679145829215,1118.586690985048
18,1066.3110544398337,1044.0592269350782,1118.3569777265418
19,1066.3212790783296,1044.0512482238778,1118.1304330107457
20,1066.3321870005245,1044.0439784493228,1117.9070568376603
21,1066.305064296379,1044.0306369402747,1117.7291595341005
22,1066.277941592233,1044.0172954312275,1117.5512622305405
23,1066.2508188880881,1044.0039539221793,1117.3733649269807
24,1066.223696183942,1043.9906124131303,1117.1954676234207
25,1066.1965734797973,1043.9772709040826,1117.0175703198609
26,1066.1694507756513,1043.963929395035,1116.8396730163008
27,1066.142328071506,1043.9505878859857,1116.661775712741
28,1066.1152053673604,1043.9372463769387,1116.483878409181
29,1066.0880826632147,1043.9239048678903,1116.3059811056212
30,1066.0609599590694,1043.9105633588426,1116.1280838020614
31,1066.0338372549238,1043.8972218497952,1115.9501864985014
32,1066.0067145507783,1043.8838803407464,1115.7722891949415
33,1065.9795918466332,1043.870538831698,1115.5943918913817
34,1065.9524691424872,1043.85719732265,1115.4164945878217
35,1065.9253464383419,1043.843855813602,1115.238597284262
36,1065.8982237341963,1043.8305143045538,1115.0606999807019
37,1065.8711010300506,1043.8171727955062,1114.882802677142
38,1065.843978325905,1043.8038312864576,1114.7049053735823
39,1065.8168556217597,1043.7904897774094,1114.5270080700222
40,1065.7897329176144,1043.7771482683615,1114.3491107664624
41,1065.7472731647174,1043.7534368086624,1114.2136323930367
42,1065.704813411822,1043.7297253489628,1114.0781540196108
43,1065.6623536589257,1043.7060138892637,1113.942675646185
44,1065.6198939060293,1043.6823024295643,1113.8071972727596
45,1065.5774341531335,1043.658590969865,1113.6717188993339
46,1065.5349744002374,1043.6348795101658,1113.536240525908
47,1065.4925146473417,1043.6111680504666,1113.4007621524822
48,1065.4500548944457,1043.587456590768,1113.2652837790565
49,1065.4075951415496,1043.563745131068,1113.129805405631
50,1065.365135388654,1043.5400336713687,1112.994327032205
51,1065.3226756357574,1043.5163222116696,1112.8588486587794
52,1065.2802158828613,1043.4926107519705,1112.7233702853537
53,1065.2377561299652,1043.468899292271,1112.587891911928
54,1065.195296377069,1043.4451878325724,1112.4524135385022
55,1065.1528366241728,1043.4214763728735,1112.3169351650765
56,1065.1103768712765,1043.3977649131732,1112.1814567916508
57,1065.0679171183806,1043.3740534534743,1112.045978418225
58,1065.0254573654847,1043.350341993776,1111.9105000447994
59,1064.9829976125889,1043.3266305340753,1111.7750216713737
60,1064.9405378596925,1043.3029190743762,1111.639543297948
61,1064.8980781067962,1043.279207614677,1111.5040649245223
62,1064.8556183539004,1043.255496154978,1111.3685865510965
63,1064.8131586010043,1043.2317846952787,1111.2331081776708
64,1064.7706988481086,1043.2080732355805,1111.097629804245
65,1064.7282390952118,1043.184361775881,1110.9621514308192
66,1064.6857793423164,1043.1606503161813,1110.8266730573937
67,1064.6433195894206,1043.136938856482,1110.691194683968
68,1064.6008598365238,1043.113227396783,1110.555716310542
69,1064.5584000836275,1043.0895159370837,1110.4202379371163
70,1064.5159403307318,1043.0658044773838,1110.2847595636906
71,1064.4734805778355,1043.042093017685,1110.149281190265
72,1064.4310208249392,1043.018381557986,1110.0138028168392
73,1064.3885610720426,1042.9946700982864,1109.8783244434135
74,1064.3461013191472,1042.9709586385875,1109.7428460699878
75,1064.3036415662514,1042.947247178888,1109.607367696562
76,1064.2611818133557,1042.9235357191892,1109.4718893231363
77,1064.2187220604592,1042.8998242594905,1109.3364109497106
78,1064.1762623075629,1042.876112799791,1109.200932576285
79,1064.1338025546665,1042.8524013400915,1109.0654542028592
80,1064.0913428017707,1042.8286898803915,1108.9299758294335
81,1064.0454301347163,1042.7947250983345,1108.8163574443238
82,1063.9995174676615,1042.7607603162776,1108.702739059214
83,1063.953604800606,1042.7267955342195,1108.5891206741044
84,1063.9076921335513,1042.6928307521623,1108.475502288995
85,1063.8617794664967,1042.6588659701054,1108.3618839038852
86,1063.8158667994414,1042.6249011880475,1108.2482655187755
87,1063.7699541323861,1042.5909364059903,1108.1346471336658
88,1063.7240414653322,1042.5569716239327,1108.021028748556
89,1063.6781287982772,1042.523006841875,1107.9074103634466
90,1063.6322161312216,1042.4890420598176,1107.793791978337
91,1063.586303464167,1042.4550772777607,1107.6801735932272
92,1063.5403907971122,1042.4211124957037,1107.5665552081175
93,1063.4944781300574,1042.387147713646,1107.4529368230078
94,1063.4485654630023,1042.3531829315896,1107.3393184378983
95,1063.4026527959477,1042.3192181495306,1107.2257000527886
96,1063.3567401288929,1042.2852533674736,1107.112081667679
97,1063.3108274618378,1042.2512885854164,1106.9984632825692
98,1063.264914794783,1042.217323803359,1106.8848448974595
99,1063.219002127728,1042.1833590213023,1106.77122651235
100,1063.1730894606726,1042.149394239244,1106.6576081272403
101,1063.1271767936182,1042.1154294571866,1106.5439897421306
102,1063.0812641265634,1042.081464675129,1106.430371357021
103,1063.0353514595085,1042.0474998930722,1106.3167529719112
104,1062.9894387924537,1042.013535111015,1106.2031345868018
105,1062.9435261253984,1041.9795703289574,1106.089516201692
106,1062.8976134583436,1041.9456055468995,1105.9758978165823
107,1062.851700791289,1041.9116407648437,1105.8622794314726
108,1062.805788124234,1041.8776759827854,1105.748661046363
109,1062.7598754571795,1041.843711200728,1105.6350426612535
110,1062.7139627901242,1041.8097464186715,1105.5214242761438
111,1062.6680501230692,1041.7757816366131,1105.407805891034
112,1062.6221374560146,1041.741816854555,1105.2941875059244
113,1062.5762247889597,1041.7078520724986,1105.1805691208147
114,1062.5303121219047,1041.6738872904405,1105.0669507357052
115,1062.4841963815045,1041.6379782830088,1104.9563597510041
116,1062.4372683477225,1041.594292374078,1104.8578783679382
117,1062.3903403139416,1041.5506064651456,1104.7593969848724
118,1062.3434122801598,1041.5069205562138,1104.6609156018067
119,1062.2964842463775,1041.4632346472815,1104.5624342187407
120,1062.2495562125964,1041.4195487383497,1104.4639528356752
121,1062.2026281788144,1041.3758628294177,1104.3654714526092
122,1062.1557001450333,1041.3321769204867,1104.2669900695435
123,1062.108772111251,1041.288491011555,1104.1685086864777
124,1062.0618440774697,1041.2448051026224,1104.0700273034117
125,1062.014916043688,1041.201119193691,1103.971545920346
126,1061.9679880099065,1041.1574332847588,1103.8730645372802
127,1061.9210599761254,1041.1137473758272,1103.7745831542143
128,1061.8741319423432,1041.0700614668956,1103.6761017711485
129,1061.8272039085616,1041.0263755579642,1103.5776203880828
130,1061.7802758747798,1040.9826896490313,1103.4791390050168
131,1061.7333478409985,1040.9390037400997,1103.380657621951
132,1061.686419807217,1040.8953178311679,1103.2821762388853
133,1061.639491773435,1040.8516319222358,1103.1836948558193
134,1061.5925637396535,1040.8079460133038,1103.0852134727536
135,1061.545635705871,1040.7642601043724,1102.9867320896878
136,1061.49870767209,1040.7205741954406,1102.8882507066219
137,1061.4517796383086,1040.6768882865092,1102.7897693235564
138,1061.4048516045268,1040.6332023775763,1102.6912879404904
139,1061.3579235707452,1040.5895164686451,1102.5928065574246
140,1061.3109955369637,1040.5458305597128,1102.494325174359
141,1061.2640675031819,1040.5021446507815,1102.395843791293
142,1061.2171394694,1040.4584587418506,1102.2973624082272
143,1061.1702114356187,1040.414772832918,1102.1988810251614
144,1061.123283401837,1040.3710869239867,1102.1003996420955
145,1061.0763553680556,1040.3274010150535,1102.0019182590297
146,1061.0294273342736,1040.2837151061221,1101.903436875964
147,1060.9824993004925,1040.24002919719,1101.804955492898
148,1060.9355712667111,1040.196343288259,1101.7064741098322
149,1060.8886432329289,1040.152657379327,1101.6079927267665
150,1060.8412930727447,1040.1053524607655,1101.514149296065
151,1060.7933097229547,1040.052619027758,1101.4272627939101
152,1060.7453263731659,1039.9998855947513,1101.340376291755
153,1060.697343023376,1039.9471521617452,1101.2534897896
154,1060.6493596735868,1039.8944187287377,1101.1666032874452
155,1060.6013763237986,1039.8416852957312,1101.0797167852902
156,1060.5533929740088,1039.788951862724,1100.9928302831354
157,1060.5054096242197,1039.736218429718,1100.9059437809804
158,1060.4574262744304,1039.6834849967106,1100.8190572788253
159,1060.4094429246413,1039.6307515637045,1100.7321707766705
160,1060.361459574852,1039.5780181306973,1100.6452842745155
161,1060.3134762250631,1039.525284697691,1100.5583977723606
162,1060.2654928752736,1039.4725512646828,1100.4715112702056
163,1060.2175095254838,1039.4198178316765,1100.3846247680506
164,1060.169526175694,1039.3670843986697,1100.2977382658958
165,1060.1215428259056,1039.3143509656634,1100.2108517637407
166,1060.0735594761165,1039.2616175326566,1100.123965261586
167,1060.025576126327,1039.2088840996498,1100.0370787594309
168,1059.9775927765377,1039.1561506666428,1099.950192257276
169,1059.9296094267484,1039.103417233636,1099.863305755121
170,1059.8816260769597,1039.0506838006293,1099.776419252966
171,1059.8336427271688,1038.9979503676227,1099.6895327508112
172,1059.78565937738,1038.9452169346152,1099.6026462486561
173,1059.7376760275913,1038.8924835016082,1099.5157597465013
174,1059.6896926778024,1038.8397500686017,1099.4288732443463
175,1059.6417093280131,1038.787016635595,1099.3419867421912
176,1059.593725978224,1038.7342832025884,1099.2551002400364
177,1059.5457426284345,1038.6815497695814,1099.1682137378814
178,1059.4977592786452,1038.6288163365743,1099.0813272357266
179,1059.4497759288565,1038.5760829035673,1098.9944407335715
180,1059.4017925790672,1038.5233494705608,1098.9075542314165
181,1059.353809229278,1038.4706160375538,1098.8206677292617
182,1059.3058258794883,1038.4178826045472,1098.7337812271066
183,1059.257842529699,1038.3651491715402,1098.6468947249518
