% Model,tin_tegs_model_5_insulation.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 5 2024, 20:41"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51",Temperature (degC)
0,881.7704611756247,771.0851561007446,861.3921381082531,893.9638259189238
100,876.2410949746799,768.9182460614398,856.3100788484204,886.0141131261661
200,869.8564799201392,763.9026088305478,850.2152908932666,879.4233823985174
300,863.30464682749,757.6664139375965,843.922855279645,872.6596940646604
400,856.248335421205,750.3248975998982,836.9734901013879,865.4811541769417
500,849.0756059425407,742.7283070826435,829.8725257928301,858.2068793152554
600,841.902876463877,735.1317165653887,822.7715614842724,850.9326044535691
700,834.4883695128437,727.6404850058212,815.4215508115784,843.4391924464857
800,826.9209013037803,720.2159091133625,807.9139801942266,835.807142653539
900,819.3534330947173,712.7913332209025,800.4064095768748,828.1750928605924
1000,811.7874294228797,705.6768577868379,792.938063674003,820.540202082832
1100,804.2235116070898,699.0040405813957,785.5255832735726,812.9012650539729
1200,796.6595937912998,692.3312233759531,778.1131028731421,805.262328025114
1300,789.0956759755101,685.6584061705107,770.7006224727116,797.6233909962549
1400,781.5317581597208,678.9855889650687,763.2881420722812,789.984453967396
1500,774.1244809838935,672.6207740516573,756.0607943134465,782.4964111845203
1600,766.9402980528616,666.6946290693202,749.0971203168848,775.2232783883479
1700,759.7561151218301,660.7684840869827,742.133446320323,767.9501455921755
1800,752.5719321907987,654.8423391046464,735.1697723237612,760.6770127960032
1900,745.387749259767,648.9161941223092,728.2060983271994,753.4038799998308
2000,738.4270605541734,643.2073171391814,721.4718129430297,746.3544351621804
2100,731.784681806022,637.8078824579596,715.0642325522671,739.6235762048489
2200,725.1423030578709,632.4084477767382,708.6566521615043,732.8927172475172
2300,718.4999243097196,627.0090130955151,702.2490717707417,726.1634914009318
2400,711.8575455615685,621.6095784142944,695.841491379979,719.4415450947317
2500,705.307926905616,616.303069333749,689.5263601963096,712.8119778937631
2600,698.9491061970226,611.1876986344439,683.4013875013852,706.3724249892368
2700,692.6733794194347,606.1555701276418,677.3592302484647,700.0156247298893
2800,686.4807465728534,601.2066838133422,671.3998884375479,693.7415771157213
2900,680.371207657278,596.3410396915461,665.5233620686353,687.5502821467321
3000,674.3659197860333,591.5426664209873,659.7462874684968,681.4649782680293
3100,668.4872438468955,586.7946839403752,654.0862475195515,675.5102261205262
3200,662.7106142532476,582.1156366211095,648.5239257337707,669.6590434771407
3300,657.0360310050897,577.5055244631901,643.059322111154,663.9114303378727
3400,651.4634941024212,572.9643474666173,637.6924366517017,658.2673867027224
3500,645.9896360940581,568.4772123276837,632.4168742875635,652.7249423918732
3600,640.610897931234,564.0283783596684,627.2258760912661,647.2820151283576
3700,635.3311895714436,559.6351382213858,622.1268673949318,641.9408924937652
3800,630.150511014686,555.2974919128342,617.1198481985606,636.7015744880962
3900,625.0688622609607,551.0154394340151,612.2048185021526,631.5640611113504
4000,620.0691014479474,546.773656552778,607.3636932799968,626.5112959646544
4100,615.1331113942651,542.55594713546,602.5773585242345,621.52525219268
4200,610.2807955667593,538.3801041931596,597.8668128115032,616.6257340304127
4300,605.5121539654298,534.2461277258766,593.232056141803,611.8127414778526
4400,600.8271865902761,530.1540177336112,588.6730885151339,607.0862745349992
4500,596.2112590920949,526.1045702007463,584.177263380584,602.4310981183297
4600,591.6489044723759,522.098626400717,579.7312146375247,597.8311103150868
4700,587.1571147170991,518.1352621137147,575.3496262334811,593.3040006256381
4800,582.7358898262646,514.2144773397383,571.0324981684533,588.849769049983
4900,578.3852297998718,510.3362720787862,566.7798304424413,584.4684155881221
5000,574.0862395316551,506.4998929768509,562.5761656815562,580.1400793385128
