hours,max_flowrate_factor,time,inlet_T,outlet_T,mass_flowrate
1,1,0.0,2672.9999999999995,2173.000015211107,1.2238758605198246
1,1,0.092818702286945,2672.9999999999995,2173.000018157313,1.223849058618499
1,1,0.18563740457389,2672.9999999999995,2173.000020848402,1.2238491111169327
1,1,0.37127480914778,2672.9999999999995,2173.000025927698,1.2238489196252649
1,1,0.5569122137216701,2672.9999999999995,2173.0000305351628,1.2238490586234574
1,1,0.7425496182955601,2672.9999999999995,2173.0000349289508,1.2238490552035186
1,1,1.1138244274433402,2672.9999999999995,2173.000042919416,1.2238490552710186
1,1,1.4850992365911202,2672.9999999999995,2173.000050228234,1.2238490552577992
1,1,1.8563740457389,2672.9999999999995,2173.000056980433,1.2238490552580197
1,1,2.5989236640344604,2672.9999999999995,2173.0000689451936,1.2238490552579244
1,1,3.3414732823300204,2672.9999999999995,2173.0000797508083,1.2238490552579258
1,1,4.82657251892114,2672.9999999999995,2173.0001076167,1.2238490552579242
1,1,6.31167175551226,2672.9999999999995,2173.0002276716086,1.2238490552579238
1,1,9.2818702286945,2672.9999999999995,2173.019575225984,1.2238490552579238
1,1,12.25206870187674,2672.9999999999995,2173.118507062932,1.2238490552579262
1,1,15.22226717505898,2672.9999999999995,2173.4098753900166,1.2238490552579242
1,1,21.16266412142346,2672.9999999999995,2175.6599574377256,1.2238490552579266
1,1,27.10306106778794,2672.9999999999995,2179.862749771988,1.2238490552579244
1,1,38.9838549605169,2672.9999999999995,2192.499974741829,1.2238490552579218
1,1,50.86464885324586,2672.9999999999995,2206.1903944764363,1.223849055257923
1,1,74.62623663870379,2672.9999999999995,2229.2661781255006,1.223849055257923
1,1,98.3878244241617,2672.9999999999995,2247.452688643039,1.223849055257923
1,1,134.3878244241617,2672.9999999999995,2267.361874609921,1.2238490552579244
1,1,170.3878244241617,2672.9999999999995,2282.2729313487744,1.2238490552579242
1,1,206.3878244241617,2672.9999999999995,2294.490827980403,1.2238490552579242
1,1,242.3878244241617,2672.9999999999995,2304.315569920668,1.2238490552579222
1,1,278.3878244241617,2672.9999999999995,2312.3596798481244,1.223849055257923
1,1,314.3878244241617,2672.9999999999995,2319.1437871430417,1.2238490552579249
1,1,350.3878244241617,2672.9999999999995,2325.027754391223,1.2238490552579258
1,1,386.3878244241617,2672.9999999999995,2330.2214415608773,1.2238490552579238
1,1,422.3878244241617,2672.9999999999995,2334.8490995977018,1.2238490552579238
1,1,458.3878244241617,2672.9999999999995,2339.005151210426,1.2238490552579244
1,1,494.3878244241617,2672.9999999999995,2342.77567257831,1.223849055257925
1,1,530.3878244241616,2672.9999999999995,2346.2361060158623,1.2238490552579238
1,1,566.3878244241616,2672.9999999999995,2349.444994633067,1.2238490552579226
1,1,602.3878244241616,2672.9999999999995,2352.447206893209,1.2238490552579238
1,1,638.3878244241616,2672.9999999999995,2355.279550515049,1.2238490552579238
1,1,674.3878244241616,2672.9999999999995,2357.9805410235763,1.2238490552579244
1,1,710.3878244241616,2672.9999999999995,2360.566033011117,1.2238490552579238
1,1,746.3878244241616,2672.9999999999995,2363.0490316373107,1.223849055257923
1,1,782.3878244241616,2672.9999999999995,2365.453376370429,1.2238490552579258
1,1,818.3878244241616,2672.9999999999995,2367.7892539488894,1.223849055257923
1,1,854.3878244241616,2672.9999999999995,2370.0585708843064,1.2238490552579226
1,1,890.3878244241616,2672.9999999999995,2372.278872167686,1.2238490552579258
1,1,926.3878244241616,2672.9999999999995,2374.458849807404,1.2238490552579242
1,1,962.3878244241616,2672.9999999999995,2376.604091674197,1.223849055257923
1,1,998.3878244241616,2672.9999999999995,2378.719032936399,1.2238490552579244
1,1,1034.3878244241616,2672.9999999999995,2380.807419227546,1.223849055257925
1,1,1070.3878244241616,2672.9999999999995,2382.872114274206,1.223849055257923
1,1,1106.3878244241616,2672.9999999999995,2384.915491801587,1.2238490552579242
1,1,1142.3878244241616,2672.9999999999995,2386.9392318682726,1.2238490552579258
1,1,1178.3878244241616,2672.9999999999995,2388.94491625849,1.2238490552579249
1,1,1214.3878244241616,2672.9999999999995,2390.933883360827,1.2238490552579238
1,1,1250.3878244241616,2672.9999999999995,2392.9071402960094,1.223849055257923
1,1,1286.3878244241616,2672.9999999999995,2394.8657982924788,1.223849055257923
1,1,1322.3878244241616,2672.9999999999995,2396.8103464751243,1.2238490552579242
1,1,1358.3878244241616,2672.9999999999995,2398.741461552943,1.2238490552579238
1,1,1394.3878244241616,2672.9999999999995,2400.6595426885474,1.223849055257926
1,1,1430.3878244241616,2672.9999999999995,2402.56484904053,1.223849055257925
1,1,1466.3878244241616,2672.9999999999995,2404.457958333236,1.2238490552579229
1,1,1502.3878244241616,2672.9999999999995,2406.338829650789,1.223849055257925
1,1,1538.3878244241616,2672.9999999999995,2408.208034430123,1.223849055257926
1,1,1574.3878244241616,2672.9999999999995,2410.065693378971,1.2238490552579258
1,1,1610.3878244241616,2672.9999999999995,2411.9118367717106,1.2238490552579229
1,1,1646.3878244241616,2672.9999999999995,2413.74684098291,1.2238490552579226
1,1,1682.3878244241616,2672.9999999999995,2415.570392679177,1.2238490552579238
1,1,1718.3878244241616,2672.9999999999995,2417.38294349134,1.2238490552579258
1,1,1754.3878244241616,2672.9999999999995,2419.1843849013217,1.2238490552579242
1,1,1790.3878244241616,2672.9999999999995,2420.97484959462,1.223849055257923
1,1,1826.3878244241616,2672.9999999999995,2422.754762045229,1.2238490552579242
1,1,1862.3878244241616,2672.9999999999995,2424.523771940781,1.2238490552579249
