% Model,,,,,,,,,,,
% Version,,,,,,,,,,,
% Date,,,,,,,,,,,
% Table,,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,194.4,2673.0000000000014,2173.002511269862,2200.8503504835544,2672.9999999999955,2173.001899066894,2673.000000000002,2173.0013224177337,2187.370153,2179.667403196057,2173.0013822214382
4,201.6,2673.0000000000014,2173.0037880633686,2201.797207472151,2672.9999999999955,2173.002840265322,2673.000000000002,2173.0019418982374,2187.9850285237267,2180.0419837786203,2173.0015190510135
4,208.8,2673.0000000000014,2173.0057431197793,2202.7418966744076,2672.9999999999955,2173.0042888851763,2673.000000000002,2173.0029036607393,2188.599458995249,2180.416959878002,2173.001674630766
4,216,2673.0000000000014,2173.0086875257853,2203.6844272554126,2672.9999999999955,2173.0064853875597,2673.000000000002,2173.004379185337,2189.213444223072,2180.7923258405244,2173.0018555722236
4,223.20000000000002,2673.0000000000014,2173.013042207327,2204.6248081912963,2672.9999999999955,2173.009759413486,2673.000000000002,2173.006609020249,2189.8269872065152,2181.1680491918537,2173.002070969283
4,230.4,2673.0000000000014,2173.0193601649207,2205.5630483129657,2672.9999999999955,2173.0145505729406,2673.000000000002,2173.009921951386,2190.440090668347,2181.544090101033,2173.002333024626
4,237.6,2673.0000000000014,2173.028346830828,2206.4991563010794,2672.9999999999955,2173.0214287363087,2673.000000000002,2173.014755240936,2191.052754893693,2181.9204119904603,2173.002657715176
4,244.8,2673.0000000000014,2173.0408753568263,2207.433140720686,2672.9999999999955,2173.0311117271003,2673.000000000002,2173.0216744305108,2191.6649783744692,2182.2969895727433,2173.003065460523
4,252,2673.0000000000014,2173.0579941209194,2208.3650099976976,2672.9999999999955,2173.044477994342,2673.000000000002,2173.0313906310857,2192.2767589895916,2182.6738079251636,2173.0035817097914
4,259.2,2673.0000000000014,2173.080920937512,2209.2947723942916,2672.9999999999955,2173.062570095007,2673.000000000002,2173.0447727419855,2192.888094415012,2183.050863,2173.004237375486
4,266.40000000000003,2673.0000000000014,2173.111020464691,2210.222436011062,2672.9999999999955,2173.0865852454363,2673.000000000002,2173.0628508605328,2193.498982638273,2183.4281573332933,2173.0050690381054
4,273.6,2673.0000000000014,2173.149761796628,2211.1480087667796,2672.9999999999955,2173.1178496939997,2673.000000000002,2173.086807180692,2194.1094220332393,2183.805697,2173.0061188456225
4,280.8,2673.0000000000014,2173.1986556376605,2212.0714984589454,2672.9999999999955,2173.157775118822,2673.0000000000023,2173.117951,2194.7194111860194,2184.183485454257,2173.0074340349247
4,288,2673.0000000000014,2173.2591715417057,2212.9929127445657,2672.9999999999955,2173.2077962407066,2673.0000000000023,2173.1576779359966,2195.3289489231397,2184.561523788844,2173.0090660199153
4,295.2,2673.0000000000014,2173.3293102769107,2213.9125150384257,2672.9999999999955,2173.266978,2673.0000000000023,2173.2060785294834,2195.9380926820036,2184.939784606425,2173.0110055450064
4,302.40000000000003,2673.0000000000014,2173.412990497033,2214.8302163540598,2672.9999999999955,2173.337392615633,2673.0000000000023,2173.263459721953,2196.546822,2185.3182797993554,2173.0133155791764
4,309.6,2673.0000000000014,2173.511608721463,2215.7459162644013,2672.9999999999955,2173.4209450305507,2673.0000000000023,2173.332212416717,2197.155112807879,2185.6970161914774,2173.0160689011136
4,316.8,2673.0000000000014,2173.625139201084,2216.659576401044,2672.9999999999955,2173.5188843818146,2673.0000000000023,2173.4147620104886,2197.762949829463,2186.0759921845374,2173.019330007988
