% Model,LargeGraphiteBlockCharge_v3_mdotbnd_discharge_full_gridindep.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 20 2024, 15:22"
% Table,Accumulated Probe Table 25 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,648,2173,2493.8258872194215,2605.9318273486338,2357.793413770866,2660.201945490304,1.2238490552579242
1,1,684,2173,2491.2086917603956,2602.6727464780847,2355.954519640397,2658.4899200869986,1.2238490552579242
1,1,720,2173,2488.693190858572,2599.439519394881,2354.182399523229,2656.732291223831,1.2238490552579249
1,1,756,2173,2486.2625586247123,2596.2312608421635,2352.466357632435,2654.936006351301,1.223849055257926
1,1,792,2173,2483.903363120469,2593.0472280817967,2350.7975272903177,2653.1070043713426,1.2238490552579244
1,1,828,2173,2481.604353733916,2589.886793027526,2349.1687664753917,2651.2503449575756,1.2238490552579249
1,1,864,2173,2479.356293394972,2586.7494235010863,2347.5745232022387,2649.3703273303922,1.2238490552579238
1,1,900,2173,2477.151768956843,2583.6346657588174,2346.010284760221,2647.4705973613527,1.2238490552579255
1,1,936,2173,2474.984795170714,2580.542128689401,2344.472351645538,2645.5542425366593,1.2238490552579249
1,1,972,2173,2472.8502878963986,2577.471473182556,2342.9578149139347,2643.623875121807,1.2238490552579242
1,1,1008,2173,2470.7442067846687,2574.422403075069,2341.464352008081,2641.6817044315485,1.2238490552579258
1,1,1044,2173,2468.6633519388433,2571.3946564041057,2339.9900340991794,2639.7295992316754,1.2238490552579253
1,1,1080,2173,2466.604988736771,2568.387999147852,2338.5332963455635,2637.769141272732,1.2238490552579273
1,1,1116,2173,2464.56688372282,2565.4022205307824,2337.0929346063604,2635.8016709903777,1.2238490552579262
1,1,1152,2173,2462.5473552462618,2562.4371284177364,2335.6679356520012,2633.828326386375,1.2238490552579249
1,1,1188,2173,2460.544894326107,2559.4925458528987,2334.257440106178,2631.8500759787084,1.2238490552579244
1,1,1224,2173,2458.5583213779473,2556.5683084467755,2332.8607951589374,2629.8677466076438,1.2238490552579258
1,1,1260,2173,2456.586726973674,2553.6642616109893,2331.4774523751853,2627.8820468362464,1.2238490552579255
1,1,1296,2173,2454.6292868694404,2550.7802593016386,2330.1069241066843,2625.8935866075567,1.2238490552579242
1,1,1332,2173,2452.6853585907807,2547.916162195428,2328.7488372260864,2623.9028937122016,1.2238490552579258
1,1,1368,2173,2450.7544317990223,2545.0718364612035,2327.4028776762334,2621.910427543186,1.223849055257927
1,1,1404,2173,2448.836086098398,2542.247152793115,2326.0687540583394,2619.9165905652376,1.223849055257924
1,1,1440,2173,2446.9299409615974,2539.4419857502417,2324.7462269701655,2617.9217378621506,1.2238490552579238
1,1,1476,2173,2445.0356976998464,2536.6562129653557,2323.4351130111113,2615.9261850663042,1.2238490552579244
1,1,1512,2173,2443.153177752267,2533.889714412233,2322.135210901469,2613.930214934595,1.223849055257926
1,1,1548,2173,2441.2820941256973,2531.142372494749,2320.84635809073,2611.934082797169,1.223849055257926
1,1,1584,2173,2439.4222919129816,2528.4140715509698,2319.5684305238847,2609.9380210647173,1.2238490552579249
1,1,1620,2173,2437.5737222525477,2525.7046967897195,2318.3012841076657,2607.942242950306,1.223849055257926
1,1,1656,2173,2435.736191310147,2523.0141348190705,2317.044796011904,2605.946945542189,1.2238490552579244
1,1,1692,2173,2433.9095433668062,2520.3422740782753,2315.7988527929965,2603.9523123435333,1.2238490552579255
1,1,1728,2173,2432.093785612027,2517.68900327589,2314.5633569645292,2601.9585153689195,1.223849055257926
1,1,1764,2173,2430.2887981654385,2515.0542120774708,2313.3381854704103,2599.965716869158,1.2238490552579249
1,1,1800,2173,2428.4944312139537,2512.4377913898497,2312.1232683969906,2597.9740707486685,1.2238490552579258
1,1,1836,2173,2426.7107072158565,2509.839632569775,2310.91851346745,2595.9837237289544,1.2238490552579258
1,1,1872,2173,2424.9375859756155,2507.259627185437,2309.7238101191256,2593.9948162997675,1.2238490552579255
1,1,1908,2173,2423.174942448378,2504.6976677126236,2308.5390906131647,2592.0074834974334,1.223849055257924
1,1,1944,2173,2421.4227287736876,2502.153647419373,2307.364269802772,2590.021855552117,1.223849055257926
1,1,1980,2173,2419.6809768871194,2499.6274595270665,2306.199254894533,2588.0380584298186,1.2238490552579238
1,1,2016,2173,2417.9495560849864,2497.118998061664,2305.0439582128884,2586.0562142786057,1.2238490552579249
1,1,2052,2173,2416.228405918473,2494.6281577662403,2303.8983222814168,2584.0764417930686,1.2238490552579238
1,1,2088,2173,2414.517568521797,2492.154833410363,2302.762261691744,2582.098856516368,1.2238490552579244
1,1,2124,2173,2412.816967910015,2489.6989201601236,2301.6356889833546,2580.1235710883525,1.223849055257926
1,1,2160,2173,2411.126509896019,2487.2603140524916,2300.5185271467208,2578.150695446507,1.223849055257926
1,1,2196,2173,2409.4461993920604,2484.8389113726494,2299.4107172091444,2576.1803369952227,1.2238490552579249
1,1,2232,2173,2407.776024272019,2482.4346084821373,2298.3121607299054,2574.2126007541465,1.2238490552579262
1,1,2268,2173,2406.1158484930324,2480.0473027716653,2297.222805137861,2572.2475894834884,1.2238490552579229
1,1,2304,2173,2404.4657020159734,2477.6768917497097,2296.142576242686,2570.285403785168,1.2238490552579253
1,1,2340,2173,2402.825555538657,2475.323273232682,2295.0713888324294,2568.3261421849884,1.223849055257926
1,1,2376,2173,2401.1953592683176,2472.986345334072,2294.0091691302573,2566.36990120182,1.2238490552579242
